volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
25300,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2020-02-21 05:00:00,4,NESRW
28241,0.4562,0.51,0.51,0.51,0.429679,2020-02-24 05:00:00,76,NESRW
3000,0.5001,0.5,0.5001,0.5001,0.5,2020-02-27 05:00:00,2,NESRW
10000,0.5,0.5,0.5,0.5,0.5,2020-02-28 05:00:00,3,NESRW
1262,0.6244000000000001,0.653361,0.607001,0.653361,0.56,2020-03-02 05:00:00,9,NESRW
2000,0.6515000000000001,0.65,0.653,0.653,0.65,2020-03-03 05:00:00,2,NESRW
3000,0.65,0.65,0.65,0.65,0.65,2020-03-04 05:00:00,2,NESRW
560400,0.5122,0.51,0.53,0.561,0.51,2020-03-06 05:00:00,6,NESRW
1650,0.41400000000000003,0.33,0.47000000000000003,0.5,0.33,2020-03-09 04:00:00,14,NESRW
10520,0.42660000000000003,0.33,0.55,0.55,0.24,2020-03-12 04:00:00,30,NESRW
1403357,0.3126,0.47000000000000003,0.5,0.6229,0.30000000000000004,2020-03-13 04:00:00,29,NESRW
34875,0.3508,0.35000000000000003,0.34,0.4358,0.21,2020-03-16 04:00:00,25,NESRW
5201,0.489,0.34,0.5,0.5,0.25,2020-03-17 04:00:00,5,NESRW
582,0.4087,0.26,0.46,0.47000000000000003,0.26,2020-03-18 04:00:00,9,NESRW
10599,0.43,0.27,0.54,0.6091,0.27,2020-03-19 04:00:00,10,NESRW
2719,0.4741,0.22,0.49,0.49,0.22,2020-03-20 04:00:00,6,NESRW
4451,0.2647,0.22,0.39790000000000003,0.39790000000000003,0.2116,2020-03-23 04:00:00,5,NESRW
31000,0.442,0.39,0.26,0.48,0.26,2020-03-24 04:00:00,13,NESRW
110,0.28,0.28,0.28,0.28,0.28,2020-03-25 04:00:00,2,NESRW
13542,0.32370000000000004,0.316,0.228,0.35000000000000003,0.218,2020-03-27 04:00:00,42,NESRW
12980,0.2114,0.188,0.33,0.33,0.15,2020-03-30 04:00:00,66,NESRW
9090,0.3255,0.32,0.33,0.33,0.25,2020-03-31 04:00:00,9,NESRW
12200,0.2179,0.2,0.38,0.39,0.2,2020-04-03 04:00:00,23,NESRW
135800,0.3478,0.35000000000000003,0.39,0.39,0.28,2020-04-06 04:00:00,27,NESRW
100,0.38,0.38,0.38,0.38,0.38,2020-04-07 04:00:00,1,NESRW
17900,0.4056,0.39,0.39,0.48,0.39,2020-04-09 04:00:00,13,NESRW
132302,0.3934,0.4,0.41000000000000003,0.49,0.39,2020-04-23 04:00:00,404,NESRW
13000,0.48140000000000005,0.46,0.49,0.49,0.46,2020-04-27 04:00:00,17,NESRW
290,0.3869,0.38,0.4,0.4,0.38,2020-04-28 04:00:00,2,NESRW
7000,0.23040000000000002,0.23,0.23,0.233,0.23,2020-04-29 04:00:00,7,NESRW
281029,0.3003,0.23,0.3249,0.4,0.22,2020-04-30 04:00:00,63,NESRW
1470,0.32,0.32010099999999997,0.32,0.32010099999999997,0.32,2020-05-06 04:00:00,7,NESRW
5833,0.34340000000000004,0.35000000000000003,0.34,0.35000000000000003,0.34,2020-05-08 04:00:00,4,NESRW
22400,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,2020-05-11 04:00:00,3,NESRW
52698,0.22160000000000002,0.22,0.35000000000000003,0.35000000000000003,0.22,2020-05-13 04:00:00,8,NESRW
58498,0.2091,0.22,0.35000000000000003,0.35000000000000003,0.2,2020-05-14 04:00:00,11,NESRW
83600,0.22080000000000002,0.223,0.32,0.35000000000000003,0.22,2020-05-20 04:00:00,10,NESRW
105132,0.3037,0.30000000000000004,0.30000000000000004,0.325,0.30000000000000004,2020-05-21 04:00:00,197,NESRW
2000,0.307,0.30000000000000004,0.30000000000000004,0.37,0.30000000000000004,2020-05-26 04:00:00,4,NESRW
13190,0.34950000000000003,0.34700000000000003,0.4,0.4,0.34,2020-05-29 04:00:00,11,NESRW
1000,0.4,0.4,0.4,0.4,0.4,2020-06-01 04:00:00,1,NESRW
2100,0.5,0.5,0.5,0.5,0.5,2020-06-04 04:00:00,2,NESRW
101540,0.5028,0.5,0.5,0.89,0.5,2020-06-08 04:00:00,6,NESRW
10500,0.4988,0.5,0.5,0.5,0.45,2020-06-09 04:00:00,8,NESRW
3733,0.4843,0.4,0.49,0.49,0.4,2020-06-10 04:00:00,5,NESRW
1000,0.45,0.45,0.45,0.45,0.45,2020-06-16 04:00:00,1,NESRW
1296,0.6071000000000001,0.8,0.55,0.8,0.55,2020-06-17 04:00:00,5,NESRW
420,0.6545000000000001,0.78,0.56,0.78,0.55,2020-06-18 04:00:00,4,NESRW
531,0.6757000000000001,0.93,0.599899,0.93,0.596251,2020-06-22 04:00:00,5,NESRW
5163,0.48950000000000005,0.24,0.47900000000000004,0.81,0.24,2020-06-25 04:00:00,19,NESRW
3334,0.4057,0.35000000000000003,0.5443,0.5700000000000001,0.2901,2020-06-29 04:00:00,30,NESRW
118500,0.5367000000000001,0.33,0.55,0.7000000000000001,0.33,2020-06-30 04:00:00,88,NESRW
500,0.67,0.65,0.6900000000000001,0.6900000000000001,0.65,2020-07-01 04:00:00,4,NESRW
18499,0.5744,0.5700000000000001,0.72,0.77,0.3851,2020-07-02 04:00:00,82,NESRW
22350,0.6926,0.5,0.74,0.74,0.5,2020-07-06 04:00:00,64,NESRW
16151,0.6939000000000001,0.6900000000000001,0.72,0.72,0.6126,2020-07-07 04:00:00,34,NESRW
2901,0.5381,0.5,0.65,0.65,0.5,2020-07-08 04:00:00,8,NESRW
100,0.64,0.64,0.64,0.64,0.64,2020-07-09 04:00:00,1,NESRW
17008,0.6386000000000001,0.72,0.6900000000000001,0.72,0.5,2020-07-13 04:00:00,14,NESRW
9300,0.6902,0.61,0.8,0.8,0.61,2020-07-14 04:00:00,20,NESRW
27200,0.7299,0.645,0.8,0.8,0.55,2020-07-15 04:00:00,43,NESRW
16050,0.7254,0.62,0.8,0.8200000000000001,0.62,2020-07-22 04:00:00,25,NESRW
40201,0.7373000000000001,0.5728,0.81,0.81,0.5728,2020-07-27 04:00:00,32,NESRW
744500,0.621,0.65,0.7493000000000001,0.8,0.59,2020-07-28 04:00:00,5555,NESRW
500,0.75,0.74,0.79,0.79,0.74,2020-07-29 04:00:00,3,NESRW
100,0.8,0.8,0.8,0.8,0.8,2020-07-30 04:00:00,1,NESRW
