volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1347778,23.4927,22.8,23.67,23.93,22.49,2020-02-20 05:00:00,12113,NKTR
1228849,23.6056,23.49,23.53,23.8899,23.21,2020-02-21 05:00:00,12342,NKTR
1756846,22.1258,22.5,22.36,22.8,21.6,2020-02-24 05:00:00,17533,NKTR
2076327,22.103,22.56,22.15,22.68,21.695,2020-02-25 05:00:00,18972,NKTR
1493916,21.7102,22.42,21.405,22.69,21.14,2020-02-26 05:00:00,14573,NKTR
2066972,20.707,20.91,20.53,21.68,19.77,2020-02-27 05:00:00,18095,NKTR
3243636,19.6244,18.51,20.81,20.94,18.0602,2020-02-28 05:00:00,27070,NKTR
2436651,20.0688,20.83,20.1,20.95,19.63,2020-03-02 05:00:00,21466,NKTR
1763095,19.8104,20.1,19.43,21.08,19.02,2020-03-03 05:00:00,16874,NKTR
1811643,20.3618,20.02,20.38,20.92,19.78,2020-03-04 05:00:00,16576,NKTR
1206494,20.1427,19.75,20.15,20.5,19.59,2020-03-05 05:00:00,12412,NKTR
1459459,19.7883,19.4,19.71,20.55,19.23,2020-03-06 05:00:00,15042,NKTR
1805008,17.7213,18.21,17.72,18.63,17.03,2020-03-09 04:00:00,15162,NKTR
1750951,17.5458,18.75,17.98,18.75,16.705,2020-03-10 04:00:00,15611,NKTR
1634320,16.6997,17.0843,16.47,17.87,16.18,2020-03-11 04:00:00,15219,NKTR
2046694,15.2419,14.67,16.11,16.3,14.1,2020-03-12 04:00:00,16438,NKTR
1938093,15.964,16.91,16.6,17.23,14.945,2020-03-13 04:00:00,17375,NKTR
2130735,14.708,14.0,14.47,15.56,13.63,2020-03-16 04:00:00,19052,NKTR
2350008,15.6716,14.66,15.9,16.49,14.26,2020-03-17 04:00:00,20884,NKTR
1963711,15.3012,15.0,16.31,16.31,14.54,2020-03-18 04:00:00,19049,NKTR
2015940,17.623,16.04,17.21,18.94,15.9001,2020-03-19 04:00:00,18692,NKTR
2144086,16.5047,17.42,16.27,17.67,15.82,2020-03-20 04:00:00,17995,NKTR
1948412,16.1652,16.45,16.07,16.83,15.78,2020-03-23 04:00:00,19948,NKTR
1644082,16.8468,16.9,16.86,17.49,16.08,2020-03-24 04:00:00,17832,NKTR
1444172,17.0294,16.88,16.93,17.645,16.45,2020-03-25 04:00:00,14563,NKTR
1253237,17.3795,16.94,17.51,17.805,16.85,2020-03-26 04:00:00,10880,NKTR
1244074,17.127,16.91,17.23,17.53,16.41,2020-03-27 04:00:00,12185,NKTR
1576199,18.0183,17.14,18.06,18.49,17.14,2020-03-30 04:00:00,15155,NKTR
1122550,17.7045,17.84,17.85,18.07,17.18,2020-03-31 04:00:00,12708,NKTR
1110774,17.6553,17.39,17.58,18.1,16.93,2020-04-01 04:00:00,12327,NKTR
1046952,17.2567,17.47,17.08,18.05,16.67,2020-04-02 04:00:00,11077,NKTR
858536,16.9762,17.02,16.86,17.67,16.6,2020-04-03 04:00:00,8972,NKTR
1190143,17.851,17.31,18.06,18.39,17.31,2020-04-06 04:00:00,11425,NKTR
1180311,18.0892,18.36,17.59,18.85,17.54,2020-04-07 04:00:00,12600,NKTR
1310212,18.3322,17.84,18.44,18.76,17.44,2020-04-08 04:00:00,15093,NKTR
1709006,18.7971,18.7,18.78,19.21,18.33,2020-04-09 04:00:00,13969,NKTR
