volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3826888,23.199,23.2,23.385,23.43,22.85,2020-02-20 05:00:00,20148,NUAN
3074716,23.1197,23.26,23.2,23.305,22.855,2020-02-21 05:00:00,21694,NUAN
3588344,22.8073,22.28,22.815,23.0,22.1613,2020-02-24 05:00:00,25728,NUAN
6789968,22.3425,22.88,22.1,22.99,22.02,2020-02-25 05:00:00,31099,NUAN
3060284,22.2484,22.06,22.27,22.69,21.94,2020-02-26 05:00:00,25373,NUAN
4475327,21.8451,21.91,21.49,22.15,21.41,2020-02-27 05:00:00,28517,NUAN
6429690,21.4083,20.81,21.62,21.82,20.72,2020-02-28 05:00:00,38166,NUAN
3601869,21.9692,21.74,22.38,22.4066,21.25,2020-03-02 05:00:00,28388,NUAN
6292383,21.931,22.38,21.78,22.67,21.51,2020-03-03 05:00:00,39462,NUAN
4000212,22.2471,22.15,22.4,22.47,21.95,2020-03-04 05:00:00,20290,NUAN
5467025,21.7978,22.02,21.54,22.4,21.415,2020-03-05 05:00:00,33240,NUAN
8228328,21.0383,21.13,21.05,21.44,20.705,2020-03-06 05:00:00,33340,NUAN
5438135,19.5457,19.83,19.41,20.04,19.1,2020-03-09 04:00:00,44426,NUAN
5386453,19.6219,19.82,20.17,20.18,19.07,2020-03-10 04:00:00,39113,NUAN
3607840,19.3937,19.68,19.16,19.91,18.935,2020-03-11 04:00:00,33090,NUAN
11411855,18.0924,18.11,17.89,18.83,17.61,2020-03-12 04:00:00,47724,NUAN
4975548,17.6637,18.67,18.03,18.79,17.14,2020-03-13 04:00:00,43735,NUAN
3887176,15.81,16.0,15.0,16.58,14.9,2020-03-16 04:00:00,29971,NUAN
8943514,14.8223,15.2,14.9,15.34,14.3,2020-03-17 04:00:00,40455,NUAN
4595045,14.0828,14.05,14.18,14.59,13.62,2020-03-18 04:00:00,31590,NUAN
4774375,15.4163,14.11,15.88,16.34,13.51,2020-03-19 04:00:00,40417,NUAN
4253584,15.3694,16.23,14.6,16.57,14.53,2020-03-20 04:00:00,28646,NUAN
3751849,14.813,14.81,14.79,15.38,14.17,2020-03-23 04:00:00,27772,NUAN
3777129,16.283,15.49,16.42,16.5,15.25,2020-03-24 04:00:00,25229,NUAN
7670834,16.7439,16.92,16.62,17.16,16.24,2020-03-25 04:00:00,23189,NUAN
4674008,16.4257,16.74,16.29,17.17,16.045,2020-03-26 04:00:00,25252,NUAN
4097011,16.024,15.89,16.07,16.35,15.47,2020-03-27 04:00:00,34097,NUAN
3242619,16.2672,16.21,16.52,16.64,15.64,2020-03-30 04:00:00,26628,NUAN
2624519,16.8379,16.45,16.78,17.13,16.45,2020-03-31 04:00:00,19666,NUAN
2368117,16.3834,16.21,16.34,16.78,16.08,2020-04-01 04:00:00,20556,NUAN
2303229,16.2672,16.21,16.32,16.46,16.01,2020-04-02 04:00:00,18430,NUAN
2709916,15.7497,16.12,15.79,16.4461,15.52,2020-04-03 04:00:00,19476,NUAN
3213147,16.812,16.46,17.06,17.11,15.79,2020-04-06 04:00:00,21385,NUAN
3915128,16.9274,17.69,16.59,17.86,16.475,2020-04-07 04:00:00,22367,NUAN
3297390,16.7159,16.88,16.6,16.92,16.555,2020-04-08 04:00:00,19783,NUAN
3466737,16.9963,16.83,16.99,17.37,16.62,2020-04-09 04:00:00,25329,NUAN
2478954,16.8863,16.87,17.13,17.23,16.45,2020-04-13 04:00:00,17423,NUAN
2467589,17.8637,16.93,18.01,18.09,16.83,2020-04-14 04:00:00,19812,NUAN
4704385,18.1222,17.55,18.26,18.395,17.41,2020-04-15 04:00:00,31355,NUAN
3601278,18.1757,18.45,18.18,18.5,17.935,2020-04-16 04:00:00,21762,NUAN
3301709,18.7347,18.5,19.0,19.07,18.2,2020-04-17 04:00:00,21054,NUAN
