volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1178107,125.0223,125.56,129.8,129.8,118.67,2021-10-06 04:00:00,11927,NVEI
347349,136.0324,129.71,137.01,140.23,129.62,2021-10-07 04:00:00,3913,NVEI
105553,132.5035,138.88,132.36,138.88,130.85,2021-10-08 04:00:00,1422,NVEI
43612,132.4206,131.25,130.6,136.0,129.71,2021-10-11 04:00:00,571,NVEI
131300,126.1221,129.92,126.66,132.43,122.94,2021-10-12 04:00:00,1470,NVEI
47864,125.7837,124.97,125.91,128.34,123.66,2021-10-13 04:00:00,986,NVEI
70347,126.6651,127.12,126.06,128.88,125.39,2021-10-14 04:00:00,1311,NVEI
60144,126.8328,127.02,125.99,128.635,125.5133,2021-10-15 04:00:00,1180,NVEI
92903,124.8048,125.73,123.98,127.04,123.135,2021-10-18 04:00:00,1234,NVEI
120623,125.4439,125.2,126.17,127.925,123.1,2021-10-19 04:00:00,1697,NVEI
132884,126.8488,126.0,126.45,128.1,125.34,2021-10-20 04:00:00,1689,NVEI
120162,129.716,126.47,130.03,132.9,126.145,2021-10-21 04:00:00,1528,NVEI
66174,127.3363,128.76,128.3,128.76,125.26,2021-10-22 04:00:00,987,NVEI
66213,129.1001,128.5,128.7,130.23,127.69,2021-10-25 04:00:00,1006,NVEI
209446,132.5554,127.88,131.81,135.28,127.88,2021-10-26 04:00:00,3071,NVEI
265858,126.9072,130.37,125.95,130.44,125.84,2021-10-27 04:00:00,2711,NVEI
221659,124.7402,125.5,125.98,126.215,123.54,2021-10-28 04:00:00,1682,NVEI
236333,121.2019,123.99,120.42,124.9202,119.715,2021-10-29 04:00:00,2501,NVEI
89030,122.4762,121.0,122.75,125.54,120.89,2021-11-01 04:00:00,1441,NVEI
84701,120.7192,122.75,119.15,124.55,119.11,2021-11-02 04:00:00,2212,NVEI
213978,117.2691,117.78,117.01,121.16,115.21,2021-11-03 04:00:00,3068,NVEI
413737,110.6413,116.2,108.22,116.8,107.55,2021-11-04 04:00:00,5318,NVEI
257331,108.607,110.06,109.96,110.79,106.01,2021-11-05 04:00:00,3462,NVEI
264447,113.9715,111.64,116.34,116.34,111.35,2021-11-08 05:00:00,4417,NVEI
394844,112.8456,121.11,112.16,123.0,106.9,2021-11-09 05:00:00,4498,NVEI
183445,112.2671,112.87,108.75,115.31,107.89,2021-11-10 05:00:00,2052,NVEI
105499,106.8213,109.59,106.02,109.59,105.79,2021-11-11 05:00:00,1652,NVEI
