volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
179596,30.8057,30.02,30.11,34.61,30.0,2021-07-02 04:00:00,2284,NYXH
44315,30.7846,29.65,33.0,33.0,29.65,2021-07-06 04:00:00,531,NYXH
47412,35.5308,33.0,34.83,36.99,31.8091,2021-07-07 04:00:00,431,NYXH
18448,34.2848,33.95,34.25,35.8329,33.5001,2021-07-08 04:00:00,173,NYXH
91883,34.707,34.25,35.5,35.5,32.896,2021-07-09 04:00:00,604,NYXH
66090,34.522,34.49,34.62,35.5,34.0,2021-07-12 04:00:00,746,NYXH
37111,34.9208,33.95,35.5,35.55,33.95,2021-07-13 04:00:00,319,NYXH
36803,34.8817,35.605,35.0,35.605,34.17,2021-07-14 04:00:00,361,NYXH
47900,34.5293,36.0,34.29,36.0,33.83,2021-07-15 04:00:00,446,NYXH
47657,33.7383,34.0,33.79,34.0,33.05,2021-07-16 04:00:00,447,NYXH
63995,32.6707,31.9,32.92,33.2,30.85,2021-07-19 04:00:00,594,NYXH
14818,32.8194,32.35,33.0,33.39,32.2,2021-07-20 04:00:00,147,NYXH
1965,32.9352,32.7,33.2,33.2,32.55,2021-07-21 04:00:00,21,NYXH
13823,33.0376,33.3914,33.0,33.46,32.9,2021-07-22 04:00:00,99,NYXH
3126,33.2159,31.39,32.99,33.85,31.39,2021-07-23 04:00:00,30,NYXH
53342,32.4136,32.03,32.69,32.89,31.7871,2021-07-26 04:00:00,561,NYXH
50725,32.83,32.26,32.8,33.99,31.82,2021-07-27 04:00:00,439,NYXH
35147,32.8238,33.5,33.0,33.5,32.485,2021-07-28 04:00:00,325,NYXH
75754,32.5802,33.0,32.5,33.0,32.4,2021-07-29 04:00:00,488,NYXH
2851,32.4774,32.45,32.425,32.49,32.025,2021-07-30 04:00:00,20,NYXH
17530,32.4235,32.27,32.92,32.92,32.03,2021-08-02 04:00:00,184,NYXH
61478,32.4507,32.5,32.43,32.85,32.0,2021-08-03 04:00:00,152,NYXH
7964,32.3002,32.7,32.32,32.7,31.72,2021-08-04 04:00:00,123,NYXH
27420,32.3552,32.65,32.52,32.65,32.0,2021-08-05 04:00:00,240,NYXH
5602,32.2464,32.17,37.0,37.0,31.3966,2021-08-06 04:00:00,89,NYXH
15457,33.0698,34.41,33.15,34.41,32.5,2021-08-09 04:00:00,271,NYXH
3177,32.8058,33.31,32.3201,33.31,32.32,2021-08-10 04:00:00,75,NYXH
11448,31.4162,31.65,30.98,31.94,30.68,2021-08-11 04:00:00,305,NYXH
5282,31.0543,31.95,30.69,32.295,30.55,2021-08-12 04:00:00,165,NYXH
455,30.6307,30.75,30.525,30.75,30.525,2021-08-13 04:00:00,22,NYXH
439,30.8506,30.75,30.75,30.75,30.75,2021-08-16 04:00:00,14,NYXH
1882,30.6183,30.5,31.23,31.23,30.5,2021-08-18 04:00:00,44,NYXH
5059,28.1741,30.16,28.29,30.16,27.0,2021-08-19 04:00:00,82,NYXH
512,29.3284,28.711,29.905,29.905,28.711,2021-08-20 04:00:00,20,NYXH
