volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
155191,17.9331,17.72,17.94,18.05,17.68,2020-02-20 05:00:00,1554,OPCH
151743,17.3409,17.95,17.22,17.9927,17.08,2020-02-21 05:00:00,1523,OPCH
220322,16.2787,16.51,16.23,16.91,16.0,2020-02-24 05:00:00,1949,OPCH
232127,15.7059,16.22,15.49,16.42,15.36,2020-02-25 05:00:00,2205,OPCH
243670,15.2355,15.53,14.98,15.72,14.97,2020-02-26 05:00:00,2280,OPCH
319262,14.5803,14.67,14.53,14.91,13.93,2020-02-27 05:00:00,2972,OPCH
394431,14.3319,14.0,14.75,14.8,13.91,2020-02-28 05:00:00,3632,OPCH
341717,15.2276,14.61,15.39,15.6,14.61,2020-03-02 05:00:00,3370,OPCH
476250,14.9758,15.4,14.88,16.3,14.42,2020-03-03 05:00:00,3376,OPCH
318935,15.3249,15.18,15.49,15.62,14.8,2020-03-04 05:00:00,3149,OPCH
570142,14.6516,15.0,14.27,15.82,14.12,2020-03-05 05:00:00,5540,OPCH
415551,13.5867,14.12,13.51,14.37,12.9414,2020-03-06 05:00:00,3953,OPCH
608212,12.9455,11.83,13.34,13.445,11.76,2020-03-09 04:00:00,5480,OPCH
420862,12.8861,13.91,13.0,13.965,12.32,2020-03-10 04:00:00,5147,OPCH
461253,13.0392,12.95,13.14,13.36,12.73,2020-03-11 04:00:00,5007,OPCH
733579,12.1336,12.26,11.81,12.9557,11.73,2020-03-12 04:00:00,5601,OPCH
690769,12.0096,12.5,12.13,13.17,11.8,2020-03-13 04:00:00,3909,OPCH
660676,9.1775,10.6,9.1,10.6,8.87,2020-03-16 04:00:00,5842,OPCH
600113,8.6199,9.3,8.23,10.63,7.8,2020-03-17 04:00:00,4704,OPCH
464943,6.4375,7.8,6.16,8.12,5.74,2020-03-18 04:00:00,3616,OPCH
594191,6.8934,6.17,6.77,7.46,5.93,2020-03-19 04:00:00,4270,OPCH
657392,7.2937,7.01,7.52,7.54,6.7988,2020-03-20 04:00:00,5014,OPCH
321105,7.7792,7.51,8.14,8.18,7.25,2020-03-23 04:00:00,3406,OPCH
476522,9.0412,8.63,9.37,9.6,8.28,2020-03-24 04:00:00,4441,OPCH
401943,9.5196,9.42,9.37,9.96,8.5,2020-03-25 04:00:00,4058,OPCH
382524,9.704,9.6,9.81,9.95,9.12,2020-03-26 04:00:00,3298,OPCH
204841,9.4733,9.43,9.32,10.03,8.9925,2020-03-27 04:00:00,2395,OPCH
310273,9.3473,9.44,9.4,9.69,9.09,2020-03-30 04:00:00,3392,OPCH
220162,9.335,9.34,9.47,9.6,9.005,2020-03-31 04:00:00,2354,OPCH
281389,8.9505,9.2,8.95,9.38,8.7,2020-04-01 04:00:00,3351,OPCH
313220,9.3786,8.89,9.5,9.78,8.72,2020-04-02 04:00:00,3791,OPCH
317539,8.4326,9.52,8.0,9.52,7.93,2020-04-03 04:00:00,3413,OPCH
302411,8.4027,8.37,8.67,8.85,8.035,2020-04-06 04:00:00,2557,OPCH
390860,9.1929,8.98,8.85,9.53,8.71,2020-04-07 04:00:00,4389,OPCH
407524,9.9367,9.1,10.05,10.35,9.07,2020-04-08 04:00:00,4264,OPCH
279803,10.9065,10.33,11.17,11.27,10.1,2020-04-09 04:00:00,2873,OPCH
341429,10.6304,11.21,10.57,11.61,10.19,2020-04-13 04:00:00,2868,OPCH
259722,10.9042,10.75,10.93,11.09,10.42,2020-04-14 04:00:00,2701,OPCH
304722,11.0053,10.47,11.37,11.42,10.22,2020-04-15 04:00:00,3694,OPCH
374886,11.9164,11.45,12.31,12.33,11.01,2020-04-16 04:00:00,5096,OPCH
452446,13.0602,12.9,13.21,13.6,12.41,2020-04-17 04:00:00,4802,OPCH
238527,12.5542,13.01,12.31,13.36,12.07,2020-04-20 04:00:00,2851,OPCH
215078,12.1907,11.85,12.17,12.62,11.76,2020-04-21 04:00:00,2700,OPCH
192218,12.2055,12.34,12.13,12.58,12.08,2020-04-22 04:00:00,2097,OPCH
159533,12.6969,12.15,12.88,12.98,12.11,2020-04-23 04:00:00,1945,OPCH
152998,12.9828,12.9,13.15,13.21,12.51,2020-04-24 04:00:00,1934,OPCH
224246,13.2727,13.4,13.19,13.75,13.08,2020-04-27 04:00:00,2336,OPCH
256866,13.4973,13.48,13.79,13.9,12.9,2020-04-28 04:00:00,2985,OPCH
302827,14.6617,14.0,14.64,15.14,13.81,2020-04-29 04:00:00,4466,OPCH
167353,14.3265,14.38,14.3,14.77,14.0,2020-04-30 04:00:00,1977,OPCH
288553,12.3233,13.74,11.88,14.1604,11.76,2020-05-01 04:00:00,3472,OPCH
217052,11.598,11.81,11.61,12.2956,11.29,2020-05-04 04:00:00,3459,OPCH
217601,12.3138,11.91,12.35,12.62,11.77,2020-05-05 04:00:00,2616,OPCH
201397,12.4014,12.28,12.28,12.695,11.8314,2020-05-06 04:00:00,2163,OPCH
300335,12.5225,13.32,12.33,13.4,12.18,2020-05-07 04:00:00,3836,OPCH
230428,13.1243,12.47,13.36,13.65,12.42,2020-05-08 04:00:00,2582,OPCH
268538,12.3337,13.13,12.21,13.23,12.17,2020-05-11 04:00:00,2856,OPCH
262400,13.0365,12.28,13.09,13.54,12.28,2020-05-12 04:00:00,3176,OPCH
157475,12.3856,12.89,12.14,13.1101,12.06,2020-05-13 04:00:00,2246,OPCH
302572,12.2404,12.15,12.11,12.73,11.63,2020-05-14 04:00:00,3872,OPCH
250415,12.275,12.12,12.5,12.6,11.91,2020-05-15 04:00:00,2881,OPCH
372140,13.9534,12.75,14.33,14.39,12.75,2020-05-18 04:00:00,4751,OPCH
181749,14.1404,14.25,13.9,14.47,13.89,2020-05-19 04:00:00,2314,OPCH
283820,14.322,13.97,14.0,14.92,13.96,2020-05-20 04:00:00,3244,OPCH
213480,13.9455,14.07,13.955,14.175,13.58,2020-05-21 04:00:00,2282,OPCH
164208,13.598700000000001,14.04,13.52,14.21,13.4396,2020-05-22 04:00:00,1879,OPCH
278864,14.3852,14.35,14.35,14.78,14.0,2020-05-26 04:00:00,3413,OPCH
240704,14.7413,14.77,15.07,15.18,14.14,2020-05-27 04:00:00,3097,OPCH
340534,15.4134,15.2,14.99,16.33,14.875,2020-05-28 04:00:00,3749,OPCH
221519,15.0586,14.82,15.2,15.28,14.545,2020-05-29 04:00:00,2868,OPCH
