volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1331,3.3029,3.2565,3.39,3.39,3.2565,2020-02-20 05:00:00,12,OPHC
783,3.3773,3.335,3.38,3.4,3.335,2020-02-21 05:00:00,11,OPHC
631,3.058,3.135,3.1,3.44,2.8801,2020-02-24 05:00:00,7,OPHC
6209,3.3652,3.1939,3.36,3.45,3.1939,2020-02-25 05:00:00,48,OPHC
3722,3.2879,3.45,3.35,3.45,3.1501,2020-02-26 05:00:00,33,OPHC
518,3.1601,3.294,3.063,3.294,3.063,2020-02-27 05:00:00,6,OPHC
3117,2.9098,3.0,2.8255,3.0,2.8255,2020-02-28 05:00:00,11,OPHC
1382,2.8839,2.95,2.83,2.95,2.83,2020-03-02 05:00:00,17,OPHC
302,3.0768,3.0611,3.03,3.14,3.03,2020-03-03 05:00:00,4,OPHC
133,3.033,2.998,2.998,2.998,2.998,2020-03-04 05:00:00,4,OPHC
1130,2.9289,3.005,2.94,3.005,2.8,2020-03-06 05:00:00,10,OPHC
341,3.0215,3.0,3.15,3.15,3.0,2020-03-09 04:00:00,9,OPHC
8288,3.2428,3.2499000000000002,3.375,3.375,3.04,2020-03-10 04:00:00,49,OPHC
25491,3.3595,3.35,3.44,3.5178000000000003,3.26,2020-03-11 04:00:00,137,OPHC
15803,2.981,3.25,2.8338,3.2656,2.77,2020-03-12 04:00:00,82,OPHC
638,3.0444,3.16,2.95,3.16,2.95,2020-03-13 04:00:00,12,OPHC
6212,2.762,2.75,2.95,2.95,2.75,2020-03-16 04:00:00,26,OPHC
4675,2.6042,3.03,2.51,3.0325,2.51,2020-03-18 04:00:00,16,OPHC
392,2.7131,2.8098,2.68,2.8098,2.68,2020-03-19 04:00:00,4,OPHC
1680,2.8635,2.8227,2.88,2.88,2.8227,2020-03-20 04:00:00,5,OPHC
1119,2.568,2.58,2.818,2.818,2.5,2020-03-23 04:00:00,7,OPHC
3066,2.4661,2.665,2.47,2.665,2.4176,2020-03-24 04:00:00,26,OPHC
525,2.4788,2.4603,2.48,2.4802,2.4603,2020-03-25 04:00:00,10,OPHC
747,2.5545,2.5700000000000003,2.4943,2.59,2.4943,2020-03-27 04:00:00,16,OPHC
1540,2.6552,2.63,2.625,2.738,2.4732,2020-04-01 04:00:00,8,OPHC
152,2.497,2.5,2.5,2.5,2.5,2020-04-03 04:00:00,3,OPHC
251,2.4876,2.5139,2.47,2.5139,2.47,2020-04-07 04:00:00,3,OPHC
103,2.4836,2.49,2.49,2.49,2.49,2020-04-13 04:00:00,2,OPHC
1922,2.3472,2.3202,2.36,2.4,2.3202,2020-04-14 04:00:00,14,OPHC
184,2.3501,2.35,2.35,2.35,2.35,2020-04-16 04:00:00,2,OPHC
1508,2.345,2.35,2.3495,2.35,2.3495,2020-04-17 04:00:00,16,OPHC
166,2.3584,2.3585000000000003,2.3585000000000003,2.3585000000000003,2.3585000000000003,2020-04-20 04:00:00,2,OPHC
1307,2.4252000000000002,2.4,2.396,2.4,2.396,2020-04-21 04:00:00,7,OPHC
799,2.3856,2.45,2.4036,2.45,2.3,2020-04-23 04:00:00,7,OPHC
2356,2.3562,2.4,2.4,2.4,2.3,2020-04-27 04:00:00,8,OPHC
705,2.4004,2.4,2.4,2.4,2.4,2020-04-29 04:00:00,5,OPHC
38280,2.2496,2.3,2.1799,2.367,2.1701,2020-04-30 04:00:00,126,OPHC
16861,2.1246,2.23,2.04,2.26,2.03,2020-05-01 04:00:00,128,OPHC
11231,2.0305,2.11,1.98,2.11,1.97,2020-05-04 04:00:00,81,OPHC
15528,1.9674,2.06,2.0,2.1,1.6800000000000002,2020-05-05 04:00:00,110,OPHC
2304,1.9202,1.92,1.9138000000000002,1.92,1.88,2020-05-06 04:00:00,27,OPHC
6744,1.9435,1.9713,1.9052,2.08,1.78,2020-05-07 04:00:00,44,OPHC
5592,1.9142000000000001,1.8291,2.03,2.03,1.77,2020-05-08 04:00:00,40,OPHC
3372,2.0089,1.99,2.0,2.04,1.975,2020-05-11 04:00:00,31,OPHC
1893,1.9822000000000002,2.03,2.0,2.04,1.9500000000000002,2020-05-12 04:00:00,19,OPHC
203,1.9862000000000002,1.995,1.995,1.995,1.995,2020-05-13 04:00:00,16,OPHC
3754,1.9416,1.94,1.94,1.94,1.94,2020-05-14 04:00:00,19,OPHC
4165,1.9796,1.98,1.98,1.98,1.98,2020-05-15 04:00:00,13,OPHC
9152,1.9897,1.9998,1.92,2.03,1.92,2020-05-18 04:00:00,37,OPHC
9397,1.9315,1.9500000000000002,1.9100000000000001,1.96,1.9,2020-05-19 04:00:00,59,OPHC
1818,1.9421,1.98,1.98,1.98,1.9122,2020-05-20 04:00:00,19,OPHC
5999,1.9466,1.925,1.9100000000000001,1.98,1.88,2020-05-21 04:00:00,30,OPHC
6654,1.9771,1.98,1.97,1.98,1.9300000000000002,2020-05-22 04:00:00,15,OPHC
936,1.9535,1.9300000000000002,1.97,1.97,1.9300000000000002,2020-05-26 04:00:00,16,OPHC
18069,1.8604,1.9012,1.85,1.9182000000000001,1.816,2020-05-28 04:00:00,52,OPHC
1156,1.8715000000000002,1.87,1.87,1.87,1.87,2020-05-29 04:00:00,14,OPHC
2104,1.8718,1.8498999999999999,1.9115000000000002,1.9115000000000002,1.8498999999999999,2020-06-01 04:00:00,19,OPHC
629,1.8813,1.8785,1.8911,1.8911,1.8599999999999999,2020-06-02 04:00:00,7,OPHC
799,1.8223,1.87,1.8,1.87,1.8,2020-06-03 04:00:00,8,OPHC
1786,1.8352,1.8,1.85,1.85,1.8,2020-06-04 04:00:00,20,OPHC
5312,1.9458000000000002,1.9100000000000001,1.94,2.005,1.8794,2020-06-05 04:00:00,34,OPHC
14915,2.0561,2.0398,2.09,2.1147,1.9102999999999999,2020-06-08 04:00:00,63,OPHC
3461,2.0229,2.1,2.02,2.1,1.9100000000000001,2020-06-09 04:00:00,32,OPHC
21102,2.039,1.9001000000000001,1.8900000000000001,2.19,1.8900000000000001,2020-06-10 04:00:00,90,OPHC
1340801,2.949,1.9500000000000002,2.49,3.9,1.8820000000000001,2020-06-11 04:00:00,5915,OPHC
118095,2.326,2.92,2.14,2.92,2.0,2020-06-12 04:00:00,611,OPHC
11781,2.073,2.1,2.09,2.14,2.01,2020-06-15 04:00:00,162,OPHC
79834,2.1807,2.09,2.3457,2.46,2.0,2020-06-16 04:00:00,357,OPHC
6462810,4.2317,4.98,2.7800000000000002,5.4,2.54,2020-06-17 04:00:00,30520,OPHC
500708,2.9283,2.76,3.15,3.26,2.6,2020-06-18 04:00:00,2792,OPHC
3281113,4.2097,4.15,3.7,4.94,3.04,2020-06-19 04:00:00,16300,OPHC
245064,3.0272,3.12,3.14,3.27,2.88,2020-06-22 04:00:00,1562,OPHC
110243,2.7497,2.95,2.7,3.0,2.5801,2020-06-23 04:00:00,690,OPHC
74641,2.5459,2.68,2.555,2.8,2.44,2020-06-24 04:00:00,522,OPHC
52360,2.4621,2.48,2.4,2.7,2.25,2020-06-25 04:00:00,278,OPHC
