volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6132,0.4022,0.4,0.4,0.4,0.4,2021-10-01 04:00:00,6,OXACW
389300,0.4,0.4,0.4,0.4,0.399601,2021-10-04 04:00:00,110,OXACW
539360,0.3534,0.4,0.37,0.4,0.32,2021-10-05 04:00:00,456,OXACW
217,0.38,0.38,0.38,0.38,0.38,2021-10-06 04:00:00,2,OXACW
202,0.3799,0.3799,0.3799,0.3799,0.3799,2021-10-08 04:00:00,3,OXACW
76600,0.3734,0.37,0.375,0.3775,0.36760000000000004,2021-10-11 04:00:00,23,OXACW
135140,0.3563,0.3799,0.3401,0.3799,0.3401,2021-10-12 04:00:00,89,OXACW
59300,0.3402,0.34,0.3501,0.3501,0.339899,2021-10-13 04:00:00,136,OXACW
175434,0.3501,0.35000000000000003,0.34990000000000004,0.3511,0.34505,2021-10-14 04:00:00,230,OXACW
184725,0.34990000000000004,0.35000000000000003,0.35000000000000003,0.3502,0.3421,2021-10-15 04:00:00,160,OXACW
105800,0.3552,0.352,0.3599,0.36010000000000003,0.34950000000000003,2021-10-18 04:00:00,50,OXACW
206714,0.3588,0.36,0.355,0.363317,0.352,2021-10-19 04:00:00,146,OXACW
24986,0.3562,0.355,0.36,0.36,0.355,2021-10-20 04:00:00,18,OXACW
284124,0.3808,0.36,0.4097,0.43,0.358,2021-10-21 04:00:00,215,OXACW
119701,0.39630000000000004,0.37,0.43,0.44,0.36,2021-10-22 04:00:00,78,OXACW
85168,0.43,0.43,0.43010000000000004,0.43010000000000004,0.43,2021-10-25 04:00:00,153,OXACW
77100,0.4199,0.43,0.427399,0.43,0.39,2021-10-26 04:00:00,111,OXACW
31500,0.43,0.43110000000000004,0.43,0.43110000000000004,0.43,2021-10-27 04:00:00,20,OXACW
154900,0.44520000000000004,0.4395,0.45,0.45,0.4395,2021-10-28 04:00:00,274,OXACW
266690,0.4429,0.45,0.44,0.455,0.44,2021-10-29 04:00:00,178,OXACW
123427,0.43960000000000005,0.44,0.4592,0.46,0.42604899999999996,2021-11-01 04:00:00,104,OXACW
233751,0.46530000000000005,0.4596,0.47900000000000004,0.47990000000000005,0.4596,2021-11-02 04:00:00,163,OXACW
36706,0.4837,0.479799,0.4869,0.4892,0.479799,2021-11-03 04:00:00,57,OXACW
132221,0.4766,0.49,0.46,0.5,0.4501,2021-11-04 04:00:00,91,OXACW
280609,0.4798,0.461,0.4721,0.51,0.45,2021-11-05 04:00:00,182,OXACW
144172,0.4892,0.4751,0.48,0.5064000000000001,0.4751,2021-11-08 05:00:00,98,OXACW
244328,0.4808,0.4999,0.47000000000000003,0.51,0.47000000000000003,2021-11-09 05:00:00,236,OXACW
26232,0.4822,0.47000000000000003,0.484,0.4874,0.47000000000000003,2021-11-10 05:00:00,59,OXACW
32515,0.4867,0.49,0.48,0.49,0.47600000000000003,2021-11-11 05:00:00,57,OXACW
59159,0.47240000000000004,0.48,0.479651,0.48950000000000005,0.459935,2021-11-12 05:00:00,93,OXACW
39317,0.501,0.4888,0.5099,0.51,0.48510000000000003,2021-11-15 05:00:00,102,OXACW
588982,0.5775,0.51,0.55,0.6199,0.47200000000000003,2021-11-16 05:00:00,919,OXACW
240404,0.5563,0.561,0.5411,0.5700000000000001,0.539501,2021-11-17 05:00:00,492,OXACW
97001,0.5453,0.5393,0.55,0.5679000000000001,0.5193,2021-11-18 05:00:00,176,OXACW
27040,0.5435,0.553,0.533,0.553,0.5329,2021-11-19 05:00:00,60,OXACW
91327,0.5045000000000001,0.52,0.5,0.52,0.49,2021-11-22 05:00:00,132,OXACW
58775,0.48710000000000003,0.49010000000000004,0.485,0.4902,0.48140000000000005,2021-11-23 05:00:00,118,OXACW
55053,0.4859,0.482,0.47990000000000005,0.5079,0.4701,2021-11-24 05:00:00,113,OXACW
3697,0.47940000000000005,0.4798,0.47800000000000004,0.48,0.47800000000000004,2021-11-26 05:00:00,12,OXACW
75926,0.47640000000000005,0.5,0.47490000000000004,0.5044000000000001,0.45,2021-11-29 05:00:00,107,OXACW
35700,0.46630000000000005,0.4701,0.4602,0.4701,0.455,2021-11-30 05:00:00,15,OXACW
38551,0.4696,0.48,0.4651,0.48950000000000005,0.465,2021-12-01 05:00:00,23,OXACW
19709,0.4693,0.465,0.480101,0.488,0.465,2021-12-02 05:00:00,24,OXACW
21140,0.5021,0.48011000000000004,0.49970000000000003,0.5199,0.47990000000000005,2021-12-03 05:00:00,39,OXACW
14211,0.47250000000000003,0.5099,0.49860000000000004,0.5099,0.46,2021-12-06 05:00:00,46,OXACW
3336,0.508,0.4601,0.4999,0.5395,0.4601,2021-12-07 05:00:00,14,OXACW
23260,0.465,0.480712,0.463,0.480712,0.46,2021-12-08 05:00:00,21,OXACW
3555,0.4777,0.46180000000000004,0.4622,0.488214,0.46180000000000004,2021-12-09 05:00:00,7,OXACW
129607,0.4555,0.4601,0.44020000000000004,0.4746,0.44010000000000005,2021-12-10 05:00:00,40,OXACW
3300,0.45020000000000004,0.46542000000000006,0.46,0.46542000000000006,0.44110000000000005,2021-12-13 05:00:00,3,OXACW
178544,0.4217,0.45,0.42,0.4592,0.41013000000000005,2021-12-14 05:00:00,83,OXACW
77304,0.43370000000000003,0.4499,0.44,0.45,0.42,2021-12-15 05:00:00,95,OXACW
524,0.42110000000000003,0.420101,0.420101,0.420101,0.420101,2021-12-16 05:00:00,2,OXACW
34300,0.4067,0.4102,0.42995099999999997,0.42995099999999997,0.399899,2021-12-17 05:00:00,24,OXACW
19671,0.396,0.3901,0.39,0.4,0.39,2021-12-20 05:00:00,30,OXACW
6742,0.4078,0.41000000000000003,0.417,0.417,0.4,2021-12-21 05:00:00,16,OXACW
17500,0.41090000000000004,0.43,0.4299,0.43,0.400201,2021-12-22 05:00:00,16,OXACW
26000,0.4045,0.41500000000000004,0.4001,0.4199,0.4001,2021-12-23 05:00:00,11,OXACW
6300,0.4,0.4,0.4,0.4,0.4,2021-12-27 05:00:00,1,OXACW
15250,0.3902,0.42,0.404253,0.424975,0.3814,2021-12-28 05:00:00,22,OXACW
10650,0.40940000000000004,0.4,0.41995000000000005,0.4399,0.4,2021-12-29 05:00:00,15,OXACW
18204,0.4026,0.42944899999999997,0.4189,0.42944899999999997,0.3901,2021-12-30 05:00:00,30,OXACW
3000,0.4098,0.4199,0.4048,0.4199,0.4048,2021-12-31 05:00:00,2,OXACW
638,0.4011,0.3901,0.419799,0.419799,0.39,2022-01-03 05:00:00,4,OXACW
5400,0.3937,0.4,0.39,0.4,0.39,2022-01-04 05:00:00,9,OXACW
5950,0.40030000000000004,0.39,0.4,0.40995000000000004,0.39,2022-01-05 05:00:00,19,OXACW
9400,0.39,0.39,0.39,0.3902,0.39,2022-01-06 05:00:00,13,OXACW
1300,0.4011,0.41490000000000005,0.4,0.41490000000000005,0.4,2022-01-07 05:00:00,5,OXACW
36450,0.38170000000000004,0.404999,0.3703,0.404999,0.37010000000000004,2022-01-10 05:00:00,27,OXACW
2600,0.377,0.4,0.37020000000000003,0.4,0.37,2022-01-11 05:00:00,8,OXACW
14733,0.3714,0.37010000000000004,0.37020000000000003,0.39,0.37,2022-01-12 05:00:00,17,OXACW
30300,0.373,0.37010000000000004,0.384999,0.39990000000000003,0.37,2022-01-13 05:00:00,8,OXACW
1749,0.3698,0.37010000000000004,0.37010000000000004,0.37010000000000004,0.37010000000000004,2022-01-14 05:00:00,3,OXACW
625,0.367,0.36060000000000003,0.37,0.37,0.36060000000000003,2022-01-18 05:00:00,5,OXACW
18735,0.3569,0.37,0.3453,0.37,0.3451,2022-01-19 05:00:00,31,OXACW
15014,0.34600000000000003,0.3501,0.3402,0.36,0.3302,2022-01-20 05:00:00,35,OXACW
403,0.3301,0.330101,0.330101,0.330101,0.330101,2022-01-21 05:00:00,4,OXACW
20855,0.30820000000000003,0.3201,0.2994,0.32020000000000004,0.29,2022-01-24 05:00:00,27,OXACW
12390,0.3032,0.2987,0.33440000000000003,0.33440000000000003,0.2987,2022-01-25 05:00:00,25,OXACW
5300,0.3116,0.3048,0.32,0.34,0.3047,2022-01-26 05:00:00,15,OXACW
106003,0.3005,0.3397,0.29250000000000004,0.3397,0.29250000000000004,2022-01-27 05:00:00,50,OXACW
12201,0.2884,0.2881,0.3039,0.3039,0.2881,2022-01-28 05:00:00,3,OXACW
7700,0.2889,0.2881,0.29,0.3048,0.2881,2022-01-31 05:00:00,3,OXACW
6526,0.297,0.28240000000000004,0.30000000000000004,0.30000000000000004,0.2823,2022-02-01 05:00:00,43,OXACW
4460,0.30000000000000004,0.2999,0.30000000000000004,0.30000000000000004,0.2999,2022-02-02 05:00:00,6,OXACW
24000,0.3002,0.30000000000000004,0.30010000000000003,0.31920000000000004,0.30000000000000004,2022-02-03 05:00:00,8,OXACW
1250,0.30010000000000003,0.300101,0.30000000000000004,0.300278,0.30000000000000004,2022-02-04 05:00:00,4,OXACW
1240,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,2022-02-07 05:00:00,1,OXACW
20010,0.28850000000000003,0.2899,0.29,0.29,0.28,2022-02-08 05:00:00,33,OXACW
2300,0.2857,0.29,0.28,0.29,0.28,2022-02-09 05:00:00,2,OXACW
4845,0.278,0.26,0.27,0.2801,0.26,2022-02-10 05:00:00,16,OXACW
4300,0.2712,0.2701,0.28,0.28,0.27,2022-02-11 05:00:00,9,OXACW
500,0.28,0.28,0.28,0.28,0.28,2022-02-14 05:00:00,3,OXACW
7155,0.275,0.27979899999999996,0.27,0.28,0.26,2022-02-15 05:00:00,12,OXACW
2365,0.2682,0.2601,0.27,0.28,0.26,2022-02-16 05:00:00,8,OXACW
55200,0.27,0.27,0.27,0.27,0.27,2022-02-17 05:00:00,2,OXACW
