volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
56562,25.0226,25.02,24.97,25.2,24.83,2021-05-21 04:00:00,171,OXSQG
11285,24.878,24.99,24.9,24.99,24.74,2021-05-24 04:00:00,82,OXSQG
12733,24.8281,24.845,24.85,24.8999,24.8,2021-05-25 04:00:00,80,OXSQG
37874,24.9339,24.81,25.0,25.55,24.7783,2021-05-26 04:00:00,168,OXSQG
13862,24.9844,25.0,24.99,25.04,24.75,2021-05-27 04:00:00,84,OXSQG
7273,24.9932,24.89,24.9999,25.05,24.82,2021-05-28 04:00:00,40,OXSQG
9893,24.9888,25.05,24.9495,25.05,24.9495,2021-06-01 04:00:00,37,OXSQG
25465,25.0068,25.0,25.1,25.1,24.91,2021-06-02 04:00:00,115,OXSQG
39355,25.0573,25.09,25.08,25.09,25.04,2021-06-03 04:00:00,200,OXSQG
22330,25.0318,25.09,25.05,25.15,24.97,2021-06-04 04:00:00,116,OXSQG
20959,25.0424,25.15,25.04,25.15,24.9601,2021-06-07 04:00:00,23,OXSQG
23458,25.0453,25.07,25.015,25.38,24.95,2021-06-08 04:00:00,88,OXSQG
6502,25.0662,24.99,25.08,25.09,24.98,2021-06-09 04:00:00,30,OXSQG
156,25.147100000000002,25.15,25.15,25.15,25.15,2021-06-10 04:00:00,2,OXSQG
5433,25.0415,25.1,25.02,25.1,25.0,2021-06-11 04:00:00,42,OXSQG
3721,25.1193,25.14,25.11,25.14,25.1,2021-06-14 04:00:00,37,OXSQG
12212,25.1164,25.0435,25.2,25.2,25.01,2021-06-15 04:00:00,66,OXSQG
6495,25.2135,25.25,25.199,25.25,25.199,2021-06-16 04:00:00,15,OXSQG
10360,25.1185,25.175,25.11,25.19,25.06,2021-06-17 04:00:00,55,OXSQG
5506,25.1577,25.25,25.15,25.25,25.12,2021-06-18 04:00:00,30,OXSQG
19535,25.245,25.25,25.24,25.27,25.24,2021-06-21 04:00:00,43,OXSQG
3901,25.2741,25.2663,25.26,25.3,25.24,2021-06-22 04:00:00,32,OXSQG
3975,25.2479,25.2015,25.3,25.3,25.0861,2021-06-23 04:00:00,13,OXSQG
4221,25.2635,25.25,25.275,25.3,25.25,2021-06-24 04:00:00,17,OXSQG
16418,25.3032,25.3,25.4,25.4,25.2,2021-06-25 04:00:00,31,OXSQG
11287,25.3103,25.35,25.3,25.35,25.255,2021-06-28 04:00:00,41,OXSQG
11607,25.2874,25.16,25.299,25.31,25.16,2021-06-29 04:00:00,20,OXSQG
2668,25.2192,25.246,25.2,25.246,25.2,2021-06-30 04:00:00,20,OXSQG
880,25.2665,25.25,25.22,25.3188,25.21,2021-07-01 04:00:00,10,OXSQG
3445,25.2646,25.3,25.25,25.3,25.25,2021-07-02 04:00:00,25,OXSQG
1300,25.2754,25.29,25.32,25.32,25.25,2021-07-06 04:00:00,7,OXSQG
1805,25.3756,25.32,25.4,25.4,25.32,2021-07-07 04:00:00,8,OXSQG
2600,25.3812,25.4,25.32,25.45,25.32,2021-07-08 04:00:00,9,OXSQG
23949,25.2442,25.25,25.25,25.295,25.2,2021-07-09 04:00:00,159,OXSQG
2504,25.315,25.4,25.2655,25.4,25.2655,2021-07-12 04:00:00,14,OXSQG
4764,25.2319,25.28,25.2,25.28,25.2,2021-07-13 04:00:00,26,OXSQG
