volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
186454,10.155100000000001,9.0,10.25,10.91,9.0,2021-04-28 04:00:00,2678,PALI
356599,8.6876,10.24,7.8,10.24,7.8,2021-04-29 04:00:00,4029,PALI
808881,7.2684,7.35,7.61,7.79,6.6801,2021-04-30 04:00:00,4929,PALI
1084038,7.2348,8.65,6.57,8.66,6.52,2021-05-03 04:00:00,7268,PALI
412425,6.0601,6.51,6.11,6.6,5.8100000000000005,2021-05-04 04:00:00,3160,PALI
210413,6.1153,6.0,6.12,6.381,5.73,2021-05-05 04:00:00,1739,PALI
540917,5.6422,6.0,5.71,6.0611,5.29,2021-05-06 04:00:00,3254,PALI
636771,5.9323,5.85,5.97,6.18,5.65,2021-05-07 04:00:00,3139,PALI
296377,5.4045,5.84,5.36,5.96,5.2,2021-05-10 04:00:00,2512,PALI
172529,5.1539,4.62,5.33,5.67,4.51,2021-05-11 04:00:00,1370,PALI
564186,5.4688,5.15,5.25,5.65,5.12,2021-05-12 04:00:00,2880,PALI
39176217,6.0235,6.57,4.6,6.79,4.44,2021-05-13 04:00:00,187612,PALI
2762209,3.9137,4.107,3.76,4.37,3.71,2021-05-14 04:00:00,11667,PALI
2738696,3.9192,3.7,3.88,4.24,3.5505,2021-05-17 04:00:00,11010,PALI
718912,3.8295,3.83,3.9,3.94,3.7,2021-05-18 04:00:00,3683,PALI
624564,3.6765,3.69,3.63,3.84,3.56,2021-05-19 04:00:00,3383,PALI
456552,3.6535,3.6,3.74,3.8,3.56,2021-05-20 04:00:00,2486,PALI
1492877,3.7262,3.71,3.7800000000000002,3.89,3.555,2021-05-21 04:00:00,4484,PALI
336154,3.662,3.71,3.66,3.74,3.6,2021-05-24 04:00:00,1640,PALI
384111,3.6134,3.69,3.59,3.71,3.55,2021-05-25 04:00:00,1558,PALI
495130,3.4939999999999998,3.58,3.49,3.6422,3.43,2021-05-26 04:00:00,2352,PALI
674811,3.5905,3.46,3.66,3.6998,3.45,2021-05-27 04:00:00,2594,PALI
1058346,3.8151,3.66,3.81,3.94,3.63,2021-05-28 04:00:00,3501,PALI
838178,3.8698,3.88,3.96,4.03,3.6,2021-06-01 04:00:00,3975,PALI
377464,3.867,3.96,3.8,4.03,3.76,2021-06-02 04:00:00,2124,PALI
921627,3.9659,3.8,4.06,4.15,3.7,2021-06-03 04:00:00,3002,PALI
474939,3.8776,4.13,3.7800000000000002,4.13,3.77,2021-06-04 04:00:00,2292,PALI
1754796,4.0887,3.75,4.2,4.28,3.75,2021-06-07 04:00:00,5771,PALI
558723,4.0383,4.25,3.96,4.29,3.86,2021-06-08 04:00:00,3059,PALI
502413,4.0088,4.0,3.93,4.0965,3.9,2021-06-09 04:00:00,2181,PALI
676665,3.9695,3.96,3.93,4.07,3.81,2021-06-10 04:00:00,2870,PALI
599649,4.0574,4.04,4.11,4.15,3.96,2021-06-11 04:00:00,2159,PALI
427837,4.2158,4.19,4.22,4.35,4.06,2021-06-14 04:00:00,2217,PALI
323977,4.0668,4.26,4.04,4.3,3.9699999999999998,2021-06-15 04:00:00,1805,PALI
286162,4.1151,3.99,4.2,4.2,3.96,2021-06-16 04:00:00,972,PALI
508684,4.1869,4.11,4.24,4.29,4.03,2021-06-17 04:00:00,2263,PALI
294981,4.1095,4.15,4.13,4.2,4.01,2021-06-18 04:00:00,2158,PALI
378670,4.1323,4.15,4.1,4.2,4.03,2021-06-21 04:00:00,1950,PALI
327446,3.9653,4.09,3.9699999999999998,4.13,3.88,2021-06-22 04:00:00,1641,PALI
146356,4.0562,4.0,4.09,4.1,4.0,2021-06-23 04:00:00,774,PALI
1175752,4.3054,4.1,4.4,4.43,4.09,2021-06-24 04:00:00,3118,PALI
343857,4.336,4.4,4.39,4.45,4.25,2021-06-25 04:00:00,1531,PALI
487613,4.4612,4.46,4.35,4.57,4.25,2021-06-28 04:00:00,2200,PALI
213984,4.1959,4.38,4.14,4.39,4.11,2021-06-29 04:00:00,1142,PALI
181296,4.1235,4.15,4.07,4.27,4.02,2021-06-30 04:00:00,968,PALI
1128844,4.0842,4.09,3.93,4.28,3.85,2021-07-01 04:00:00,3432,PALI
405405,3.6881,3.92,3.63,3.96,3.6,2021-07-02 04:00:00,2336,PALI
308626,3.5766999999999998,3.81,3.5300000000000002,3.81,3.48,2021-07-06 04:00:00,1556,PALI
250419,3.4855,3.61,3.51,3.61,3.38,2021-07-07 04:00:00,1149,PALI
235543,3.3867000000000003,3.34,3.46,3.5199,3.26,2021-07-08 04:00:00,990,PALI
898303,3.7434000000000003,3.46,3.79,3.85,3.4101,2021-07-09 04:00:00,2373,PALI
174846,3.6859,3.8,3.66,3.8,3.6,2021-07-12 04:00:00,878,PALI
1246238,3.9631,3.71,3.8,4.33,3.7,2021-07-13 04:00:00,4072,PALI
292420,3.5734,3.81,3.44,3.88,3.38,2021-07-14 04:00:00,1504,PALI
97952,3.4578,3.46,3.48,3.5300000000000002,3.4001,2021-07-15 04:00:00,1101,PALI
80953,3.3912,3.43,3.37,3.45,3.35,2021-07-16 04:00:00,607,PALI
384904,3.604,3.35,3.6,3.65,3.25,2021-07-19 04:00:00,2443,PALI
138551,3.4333,3.5700000000000003,3.45,3.5700000000000003,3.33,2021-07-20 04:00:00,950,PALI
90935,3.5888,3.45,3.63,3.68,3.45,2021-07-21 04:00:00,737,PALI
546408,3.8205,3.63,3.89,4.0,3.596,2021-07-22 04:00:00,1916,PALI
461122,3.52,3.9,3.4,3.91,3.35,2021-07-23 04:00:00,2618,PALI
220853,3.4426,3.45,3.38,3.515,3.37,2021-07-26 04:00:00,863,PALI
191163,3.3128,3.39,3.27,3.4,3.26,2021-07-27 04:00:00,936,PALI
84039,3.4214,3.32,3.48,3.515,3.2767,2021-07-28 04:00:00,600,PALI
8003717,3.6429,3.9056,3.16,4.06,2.9699999999999998,2021-07-29 04:00:00,30351,PALI
935985,2.9439,2.9942,2.93,3.0896,2.8200000000000003,2021-07-30 04:00:00,3759,PALI
309217,2.8707000000000003,2.89,2.94,2.9787,2.7800000000000002,2021-08-02 04:00:00,1395,PALI
667750,2.6917,2.9050000000000002,2.75,2.92,2.47,2021-08-03 04:00:00,2564,PALI
234118,2.6929,2.7800000000000002,2.63,2.81,2.62,2021-08-04 04:00:00,1011,PALI
186748,2.7294,2.65,2.74,2.79,2.62,2021-08-05 04:00:00,1069,PALI
110910,2.6968,2.69,2.7,2.77,2.66,2021-08-06 04:00:00,741,PALI
120771,2.7481,2.74,2.76,2.79,2.7,2021-08-09 04:00:00,674,PALI
101779,2.7212,2.81,2.74,2.81,2.685,2021-08-10 04:00:00,735,PALI
74495,2.7142,2.75,2.76,2.76,2.67,2021-08-11 04:00:00,639,PALI
82533,2.7093,2.7199999999999998,2.7199999999999998,2.76,2.68,2021-08-12 04:00:00,369,PALI
135479,2.6383,2.73,2.6,2.73,2.56,2021-08-13 04:00:00,633,PALI
147068,2.4657,2.56,2.44,2.56,2.4,2021-08-16 04:00:00,761,PALI
93616,2.4418,2.39,2.52,2.55,2.3401,2021-08-17 04:00:00,507,PALI
154836,2.6447000000000003,2.5227,2.5700000000000003,2.7800000000000002,2.48,2021-08-18 04:00:00,1036,PALI
76525,2.5151,2.5300000000000002,2.47,2.599,2.46,2021-08-19 04:00:00,459,PALI
937727,2.6579,2.85,2.54,2.9,2.45,2021-08-20 04:00:00,3132,PALI
235656,2.6592000000000002,2.47,2.76,2.77,2.46,2021-08-23 04:00:00,1220,PALI
257751,2.6481,2.66,2.6,2.74,2.55,2021-08-24 04:00:00,1325,PALI
81311,2.6595,2.64,2.68,2.725,2.54,2021-08-25 04:00:00,548,PALI
142541,2.594,2.66,2.54,2.685,2.505,2021-08-26 04:00:00,711,PALI
92538,2.5695,2.54,2.5300000000000002,2.6573,2.51,2021-08-27 04:00:00,477,PALI
874179,2.7199999999999998,2.5300000000000002,2.73,2.85,2.46,2021-08-30 04:00:00,2888,PALI
4782996,2.9406,3.09,2.81,3.2,2.61,2021-08-31 04:00:00,19399,PALI
490155,2.7337,2.83,2.67,2.85,2.66,2021-09-01 04:00:00,2639,PALI
345982,2.7106,2.71,2.76,2.77,2.67,2021-09-02 04:00:00,1676,PALI
267507,2.7394,2.7198,2.73,2.818,2.68,2021-09-03 04:00:00,1412,PALI
709711,2.8011,2.74,2.89,2.93,2.65,2021-09-07 04:00:00,3390,PALI
332173,2.7231,2.88,2.68,2.88,2.63,2021-09-08 04:00:00,1478,PALI
669237,2.8735,2.66,2.9,2.96,2.66,2021-09-09 04:00:00,2391,PALI
680676,2.9357,2.93,3.0,3.08,2.83,2021-09-10 04:00:00,3065,PALI
392979,2.9181,2.96,2.89,3.0,2.85,2021-09-13 04:00:00,1850,PALI
330688,2.8608000000000002,2.91,2.89,3.0,2.79,2021-09-14 04:00:00,1589,PALI
209739,2.8155,2.8200000000000003,2.8,2.88,2.76,2021-09-15 04:00:00,1421,PALI
131178,2.7984999999999998,2.8,2.77,2.85,2.77,2021-09-16 04:00:00,837,PALI
330100,2.799,2.79,2.74,2.9299,2.74,2021-09-17 04:00:00,1362,PALI
385742,2.6473,2.69,2.58,2.74,2.5300000000000002,2021-09-20 04:00:00,1479,PALI
1017540,2.4969,2.59,2.46,2.7,2.39,2021-09-21 04:00:00,3373,PALI
515754,2.3633,2.48,2.35,2.5300000000000002,2.27,2021-09-22 04:00:00,2624,PALI
423201,2.4808,2.4,2.52,2.58,2.37,2021-09-23 04:00:00,1530,PALI
172372,2.4252000000000002,2.5,2.42,2.54,2.37,2021-09-24 04:00:00,1082,PALI
139701,2.4546,2.41,2.45,2.5,2.38,2021-09-27 04:00:00,789,PALI
149042,2.3859,2.45,2.38,2.4888,2.36,2021-09-28 04:00:00,865,PALI
1744903,2.6616,2.37,2.71,2.84,2.36,2021-09-29 04:00:00,4174,PALI
3413164,2.7404,2.74,2.65,2.89,2.55,2021-09-30 04:00:00,6977,PALI
719964,2.472,2.63,2.49,2.66,2.38,2021-10-01 04:00:00,2758,PALI
255826,2.4954,2.49,2.43,2.6,2.415,2021-10-04 04:00:00,1147,PALI
226771,2.4462,2.45,2.44,2.49,2.39,2021-10-05 04:00:00,1095,PALI
80978,2.4285,2.43,2.41,2.48,2.4,2021-10-06 04:00:00,450,PALI
140838,2.4733,2.44,2.47,2.55,2.4,2021-10-07 04:00:00,879,PALI
88188,2.4352,2.46,2.45,2.54,2.4097,2021-10-08 04:00:00,508,PALI
122118,2.4984,2.51,2.56,2.56,2.41,2021-10-11 04:00:00,610,PALI
920428,2.7651,2.5292,2.75,2.9699999999999998,2.49,2021-10-12 04:00:00,3049,PALI
129060,2.686,2.73,2.69,2.755,2.63,2021-10-13 04:00:00,709,PALI
259150,2.6950000000000003,2.73,2.67,2.84,2.58,2021-10-14 04:00:00,1074,PALI
104430,2.6991,2.67,2.76,2.76,2.61,2021-10-15 04:00:00,738,PALI
150739,2.6631,2.74,2.63,2.7999,2.6,2021-10-18 04:00:00,623,PALI
78225,2.6619,2.62,2.71,2.71,2.61,2021-10-19 04:00:00,455,PALI
204886,2.7699,2.75,2.75,2.85,2.7,2021-10-20 04:00:00,922,PALI
