volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
415278,144.773,149.72,145.05,149.72,141.38,2020-02-20 05:00:00,8724,PCTY
337788,139.7019,144.01,138.72,144.01,137.56,2020-02-21 05:00:00,6040,PCTY
338162,134.6196,132.84,136.53,137.38,130.0,2020-02-24 05:00:00,9296,PCTY
473689,133.9185,138.22,133.66,139.35,131.54,2020-02-25 05:00:00,8953,PCTY
343696,136.6606,133.47,135.27,140.42,133.225,2020-02-26 05:00:00,6842,PCTY
491011,131.7269,130.0,129.56,134.95,126.225,2020-02-27 05:00:00,9088,PCTY
461059,127.0899,124.09,129.52,129.52,122.44,2020-02-28 05:00:00,8739,PCTY
409946,131.1323,128.9,133.22,133.5,127.86,2020-03-02 05:00:00,8144,PCTY
440532,132.2497,134.56,129.51,137.84,126.44,2020-03-03 05:00:00,9734,PCTY
298183,134.5462,131.9,136.66,136.91,130.18,2020-03-04 05:00:00,7532,PCTY
221739,133.5171,133.31,132.26,137.544,131.08,2020-03-05 05:00:00,5248,PCTY
468831,123.7354,127.61,124.74,130.02,120.86,2020-03-06 05:00:00,9474,PCTY
550658,116.377,114.34,115.91,119.58,111.09,2020-03-09 04:00:00,8809,PCTY
424317,115.4745,118.65,116.03,118.77,111.26,2020-03-10 04:00:00,9364,PCTY
447088,109.5829,112.79,108.94,114.23,106.895,2020-03-11 04:00:00,9673,PCTY
644518,98.9651,100.64,96.6,104.11,95.28,2020-03-12 04:00:00,11614,PCTY
692452,100.434,103.01,105.09,106.63,93.122,2020-03-13 04:00:00,12527,PCTY
562783,90.4455,92.39,90.51,94.93,82.52,2020-03-16 04:00:00,10282,PCTY
570187,89.7642,92.64,92.64,94.49,85.61,2020-03-17 04:00:00,9707,PCTY
1026382,76.0182,87.02,78.39,87.02,66.98,2020-03-18 04:00:00,14121,PCTY
727944,80.6246,78.01,81.88,86.4,74.73,2020-03-19 04:00:00,11509,PCTY
840717,83.6598,83.37,82.25,90.47,79.08,2020-03-20 04:00:00,11408,PCTY
1030514,78.2865,79.35,79.4,84.09,73.58,2020-03-23 04:00:00,13126,PCTY
673133,87.3054,84.12,87.37,89.92,83.895,2020-03-24 04:00:00,9559,PCTY
684083,91.2552,88.73,92.54,95.135,87.11,2020-03-25 04:00:00,8940,PCTY
602598,94.8224,92.5,96.72,97.8,90.1346,2020-03-26 04:00:00,10174,PCTY
344604,92.7255,93.54,92.04,95.81,90.97,2020-03-27 04:00:00,5994,PCTY
541935,90.7969,92.59,91.25,92.5933,89.395,2020-03-30 04:00:00,9017,PCTY
630184,88.3065,90.19,88.32,91.6,86.36,2020-03-31 04:00:00,9977,PCTY
1025132,82.6005,84.46,82.33,86.18,79.66,2020-04-01 04:00:00,9827,PCTY
917077,79.7978,81.67,79.9,83.19,77.86,2020-04-02 04:00:00,11045,PCTY
1149772,74.4967,79.16,74.02,79.16,73.065,2020-04-03 04:00:00,11561,PCTY
844551,80.2982,78.02,82.37,83.07,75.69,2020-04-06 04:00:00,11785,PCTY
980854,86.6187,85.71,86.17,88.79,83.15,2020-04-07 04:00:00,13440,PCTY
474586,92.4511,87.66,93.73,94.98,86.105,2020-04-08 04:00:00,7725,PCTY
1370981,100.7648,95.39,101.01,104.14,94.84,2020-04-09 04:00:00,18031,PCTY
630302,96.2648,101.0,95.09,102.04,93.36,2020-04-13 04:00:00,9813,PCTY
444667,100.3642,97.21,99.98,102.32,97.21,2020-04-14 04:00:00,6801,PCTY
329538,97.0384,97.34,97.08,98.865,95.45,2020-04-15 04:00:00,6672,PCTY
739365,89.8164,94.0,87.35,95.74,87.13,2020-04-16 04:00:00,10935,PCTY
496525,94.2401,90.99,94.885,95.895,90.0,2020-04-17 04:00:00,7411,PCTY
354612,94.1265,93.47,92.72,96.925,92.44,2020-04-20 04:00:00,5476,PCTY
646868,86.2742,90.71,85.35,91.065,84.48,2020-04-21 04:00:00,9661,PCTY
1089725,87.9875,87.0,87.44,89.9699,86.51,2020-04-22 04:00:00,12917,PCTY
1031275,86.5292,87.17,86.91,88.66,85.0,2020-04-23 04:00:00,12154,PCTY
523666,87.8053,87.69,88.43,89.25,85.22,2020-04-24 04:00:00,9580,PCTY
