volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6934604,9.9871,9.99,9.98,10.0,9.98,2021-03-16 04:00:00,10793,PLMIU
1693705,9.928,10.0,9.9,10.0,9.9,2021-03-17 04:00:00,1525,PLMIU
485619,9.9295,9.92,9.87,9.97,9.87,2021-03-18 04:00:00,913,PLMIU
467975,9.9105,9.98,9.81,9.98,9.81,2021-03-19 04:00:00,1569,PLMIU
943447,9.9106,9.92,9.9,9.95,9.895,2021-03-22 04:00:00,559,PLMIU
1105174,9.8773,9.9,9.86,9.95,9.86,2021-03-23 04:00:00,415,PLMIU
708724,9.8553,9.92,9.9,9.92,9.83,2021-03-24 04:00:00,653,PLMIU
167646,9.8747,9.88,9.91,9.95,9.85,2021-03-25 04:00:00,515,PLMIU
251959,9.91,9.95,9.9,9.95,9.9,2021-03-26 04:00:00,167,PLMIU
1520,9.9132,9.9,9.94,9.94,9.9,2021-03-29 04:00:00,7,PLMIU
421599,9.9523,9.94,9.95,10.0,9.9,2021-03-30 04:00:00,337,PLMIU
443101,9.9158,9.98,9.95,9.99,9.9,2021-03-31 04:00:00,102,PLMIU
17355,9.9694,9.96,9.96,9.99,9.96,2021-04-01 04:00:00,238,PLMIU
408242,10.0054,9.98,10.03,10.1,9.98,2021-04-05 04:00:00,457,PLMIU
214275,10.0023,10.0,10.0,10.03,10.0,2021-04-06 04:00:00,72,PLMIU
201304,10.0002,10.0,10.04,10.04,10.0,2021-04-07 04:00:00,40,PLMIU
150309,10.0001,10.02,10.0063,10.0438,10.0,2021-04-08 04:00:00,6,PLMIU
320363,10.0071,10.02,10.03,10.04,10.0,2021-04-09 04:00:00,278,PLMIU
34836,10.0308,10.04,9.99,10.08,9.99,2021-04-12 04:00:00,131,PLMIU
559643,10.0315,10.0245,10.01,10.09,9.99,2021-04-13 04:00:00,1033,PLMIU
365822,10.0005,9.99,10.02,10.045,9.98,2021-04-14 04:00:00,90,PLMIU
201695,10.02,10.03,10.05,10.08,10.0,2021-04-15 04:00:00,16,PLMIU
160616,10.0484,10.1,10.015,10.1,9.99,2021-04-16 04:00:00,76,PLMIU
5911,10.0071,10.05,10.04,10.05,9.99,2021-04-19 04:00:00,16,PLMIU
290491,9.9749,10.05,10.04,10.05,9.97,2021-04-20 04:00:00,276,PLMIU
2065,9.9987,10.0,10.01,10.01,9.99,2021-04-21 04:00:00,13,PLMIU
150,9.99,9.99,9.99,9.99,9.99,2021-04-22 04:00:00,1,PLMIU
410,9.9976,9.99,10.0,10.0,9.99,2021-04-23 04:00:00,13,PLMIU
7448,9.9994,10.0,10.0,10.0,9.99,2021-04-26 04:00:00,45,PLMIU
47122,9.9985,9.97,10.0,10.0,9.97,2021-04-27 04:00:00,114,PLMIU
9652,9.9893,9.97,10.0,10.0,9.97,2021-04-28 04:00:00,34,PLMIU
43397,9.987400000000001,9.97,9.97,10.0,9.97,2021-04-29 04:00:00,238,PLMIU
13827,9.9878,9.99,10.0,10.0,9.9781,2021-04-30 04:00:00,29,PLMIU
151859,9.9965,10.0,10.01,10.01,9.985,2021-05-03 04:00:00,70,PLMIU
33700,9.985,10.0,10.0,10.0,9.97,2021-05-04 04:00:00,138,PLMIU
34900,9.9926,9.98,10.0,10.0,9.98,2021-05-05 04:00:00,47,PLMIU
59513,9.9938,10.01,9.99,10.01,9.99,2021-05-06 04:00:00,160,PLMIU
3261,9.99,9.99,9.99,9.99,9.99,2021-05-07 04:00:00,10,PLMIU
215907,10.0001,10.02,10.0,10.02,9.9851,2021-05-10 04:00:00,79,PLMIU
116228,9.9714,9.99,9.94,9.99,9.94,2021-05-11 04:00:00,274,PLMIU
112308,9.9381,9.94,10.0,10.0,9.93,2021-05-12 04:00:00,245,PLMIU
270000,9.9529,9.95,9.97,10.0,9.95,2021-05-13 04:00:00,225,PLMIU
194700,9.9532,9.96,9.95,9.99,9.93,2021-05-14 04:00:00,291,PLMIU
389766,9.9533,9.96,9.95,10.0,9.95,2021-05-17 04:00:00,364,PLMIU
119969,9.9149,9.95,9.92,9.99,9.9,2021-05-18 04:00:00,268,PLMIU
121779,9.905100000000001,9.92,9.94,9.98,9.9,2021-05-19 04:00:00,295,PLMIU
