volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
16899,9.0282,8.91,9.005,9.21,8.91,2020-02-20 05:00:00,152,PMD
18389,8.908,9.04,8.9,9.0412,8.82,2020-02-21 05:00:00,161,PMD
23114,8.7444,8.67,8.82,9.0,8.59,2020-02-24 05:00:00,230,PMD
19976,8.7331,8.77,8.91,9.0,8.56,2020-02-25 05:00:00,235,PMD
19796,8.801,8.84,8.75,8.9828,8.6764,2020-02-26 05:00:00,229,PMD
20136,8.6439,8.57,8.76,8.9,8.52,2020-02-27 05:00:00,279,PMD
25127,8.5376,8.49,8.84,8.85,8.3,2020-02-28 05:00:00,240,PMD
31433,8.4262,8.45,8.37,8.63,8.3,2020-03-02 05:00:00,176,PMD
10286,8.4466,8.47,8.4061,8.6164,8.35,2020-03-03 05:00:00,128,PMD
13273,8.5535,8.41,8.46,8.65,8.41,2020-03-04 05:00:00,161,PMD
16097,8.366,8.46,8.35,8.7,8.01,2020-03-05 05:00:00,157,PMD
15558,8.1823,8.24,8.16,8.36,8.11,2020-03-06 05:00:00,84,PMD
25125,7.6518,7.95,7.51,8.0,7.36,2020-03-09 04:00:00,188,PMD
17208,7.498,7.64,7.68,7.82,7.32,2020-03-10 04:00:00,167,PMD
31898,7.2015,7.4,6.95,7.514,6.82,2020-03-11 04:00:00,264,PMD
42140,6.7316,6.86,6.7,7.5,6.28,2020-03-12 04:00:00,412,PMD
22445,6.6763,6.59,6.5,7.69,6.27,2020-03-13 04:00:00,242,PMD
39605,6.3037,6.64,6.0,7.0,6.0,2020-03-16 04:00:00,291,PMD
47989,6.36,6.2964,6.21,6.712,6.15,2020-03-17 04:00:00,479,PMD
36470,5.7661999999999995,6.2,5.8342,6.6086,5.425,2020-03-18 04:00:00,303,PMD
42783,5.5375,5.49,5.79,6.14,5.1,2020-03-19 04:00:00,349,PMD
9350,5.7625,5.8100000000000005,5.6,5.97,5.6,2020-03-20 04:00:00,135,PMD
46022,5.026,5.6,4.63,5.6,4.54,2020-03-23 04:00:00,501,PMD
18636,4.9704,4.63,5.0,5.1205,4.63,2020-03-24 04:00:00,218,PMD
