volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2042345,2.2649,2.25,2.3,2.4,2.21,2020-12-01 05:00:00,5002,POWW
595671,2.2591,2.3,2.2800000000000002,2.33,2.175,2020-12-02 05:00:00,1432,POWW
654047,2.3158,2.32,2.3,2.4,2.25,2020-12-03 05:00:00,1912,POWW
1806607,2.3988,2.4,2.51,2.5700000000000003,2.2800000000000002,2020-12-04 05:00:00,4804,POWW
2081096,2.606,2.65,2.63,2.7800000000000002,2.43,2020-12-07 05:00:00,5458,POWW
5970701,3.0777,2.9,3.21,3.37,2.67,2020-12-08 05:00:00,16308,POWW
5237229,3.6274,3.26,3.7199999999999998,3.99,3.26,2020-12-09 05:00:00,16414,POWW
3842040,3.6558,3.89,3.48,4.0,3.23,2020-12-10 05:00:00,13248,POWW
2333132,3.411,3.6,3.59,3.605,3.13,2020-12-11 05:00:00,7425,POWW
1428040,3.47,3.7800000000000002,3.47,3.8,3.29,2020-12-14 05:00:00,4386,POWW
1332876,3.3366,3.47,3.33,3.49,3.2,2020-12-15 05:00:00,4859,POWW
1531840,3.1898,3.3001,3.25,3.35,3.07,2020-12-16 05:00:00,4106,POWW
1251291,3.1542,3.27,3.18,3.2800000000000002,3.05,2020-12-17 05:00:00,3434,POWW
1420855,3.3034,3.22,3.33,3.4795,3.13,2020-12-18 05:00:00,3895,POWW
1831575,3.5352,3.58,3.42,3.7,3.36,2020-12-21 05:00:00,5299,POWW
1486422,3.6477,3.6,3.6,3.75,3.54,2020-12-22 05:00:00,3706,POWW
843966,3.61,3.65,3.65,3.75,3.5025,2020-12-23 05:00:00,2638,POWW
551347,3.6978,3.67,3.64,3.81,3.58,2020-12-24 05:00:00,1498,POWW
1416669,3.4939,3.7199999999999998,3.47,3.7215,3.26,2020-12-28 05:00:00,4071,POWW
625677,3.3404,3.46,3.43,3.475,3.26,2020-12-29 05:00:00,2750,POWW
414380,3.3827,3.36,3.33,3.45,3.31,2020-12-30 05:00:00,1526,POWW
565315,3.2923999999999998,3.34,3.3,3.38,3.21,2020-12-31 05:00:00,1685,POWW
1442734,3.4708,3.5700000000000003,3.44,3.6,3.32,2021-01-04 05:00:00,3915,POWW
1736622,3.5358,3.5,3.5700000000000003,3.62,3.4,2021-01-05 05:00:00,4084,POWW
5681282,3.9801,3.74,3.85,4.28,3.52,2021-01-06 05:00:00,13599,POWW
2241099,4.033,4.02,4.1,4.15,3.88,2021-01-07 05:00:00,7419,POWW
1385820,4.0227,4.21,3.95,4.25,3.8,2021-01-08 05:00:00,4798,POWW
1631922,4.0324,3.95,4.17,4.19,3.8,2021-01-11 05:00:00,4688,POWW
7052236,5.1625,4.24,5.42,5.75,4.2,2021-01-12 05:00:00,26470,POWW
37212442,7.4589,5.94,7.28,8.98,5.84,2021-01-13 05:00:00,158812,POWW
12294967,6.9111,7.75,6.7,7.83,6.05,2021-01-14 05:00:00,58799,POWW
5109773,6.8393,6.7,6.83,7.18,6.5,2021-01-15 05:00:00,20801,POWW
5406254,7.1813,7.07,7.07,7.55,6.8100000000000005,2021-01-19 05:00:00,24195,POWW
3735715,6.6821,7.1034,6.47,7.12,6.32,2021-01-20 05:00:00,19377,POWW
3683907,6.0005,6.55,5.9,6.57,5.69,2021-01-21 05:00:00,18147,POWW
1451189,5.8643,5.78,5.78,6.0,5.61,2021-01-22 05:00:00,9242,POWW
4698904,5.4118,5.8442,5.83,5.96,4.72,2021-01-25 05:00:00,20899,POWW
1849681,5.8093,6.07,5.8100000000000005,6.08,5.6,2021-01-26 05:00:00,9362,POWW
1683205,5.5943000000000005,5.5600000000000005,5.55,5.8363,5.32,2021-01-27 05:00:00,10714,POWW
1619517,5.4369,5.7,5.4,5.75,5.26,2021-01-28 05:00:00,10134,POWW
1230141,5.3305,5.39,5.25,5.5,5.14,2021-01-29 05:00:00,8195,POWW
2040527,5.1819,5.31,5.4,5.48,4.7,2021-02-01 05:00:00,10127,POWW
4286015,5.9215,5.52,6.14,6.2,5.3,2021-02-02 05:00:00,16296,POWW
4019937,6.6731,6.299,6.72,7.0,6.15,2021-02-03 05:00:00,17571,POWW
6180523,7.5795,7.45,7.34,8.0,7.04,2021-02-04 05:00:00,26184,POWW
3292196,7.3031,7.44,7.19,7.64,6.9,2021-02-05 05:00:00,14817,POWW
2266573,7.2567,7.47,7.4,7.49,7.02,2021-02-08 05:00:00,11682,POWW
4224888,7.8169,7.5,7.91,8.1,7.32,2021-02-09 05:00:00,17168,POWW
2953813,7.7887,8.1,7.75,8.15,7.4411000000000005,2021-02-10 05:00:00,14202,POWW
9764678,9.1106,8.25,9.61,9.9,8.0,2021-02-11 05:00:00,40336,POWW
3067230,9.1196,8.805,9.32,9.59,8.5,2021-02-12 05:00:00,16734,POWW
4162676,9.0517,9.9,8.96,9.95,8.5,2021-02-16 05:00:00,25491,POWW
3874663,7.9352,8.305,7.86,8.44,7.08,2021-02-17 05:00:00,21459,POWW
1837107,7.7457,7.8,7.66,8.0999,7.4,2021-02-18 05:00:00,11523,POWW
2183066,7.8808,7.73,7.7,8.25,7.55,2021-02-19 05:00:00,11772,POWW
3512502,8.282,8.0,8.2,8.685,7.7311,2021-02-22 05:00:00,15056,POWW
2693058,7.4924,7.83,7.48,7.9214,6.79,2021-02-23 05:00:00,13492,POWW
1463871,7.6007,7.61,7.46,7.82,7.4,2021-02-24 05:00:00,8187,POWW
1749256,7.3549,7.39,7.36,7.67,7.0136,2021-02-25 05:00:00,9216,POWW
1706341,7.0747,7.3,6.99,7.42,6.82,2021-02-26 05:00:00,8765,POWW
1799166,7.2756,7.2331,7.17,7.55,7.07,2021-03-01 05:00:00,8907,POWW
3615093,7.6055,7.12,7.74,7.9,7.0601,2021-03-02 05:00:00,13505,POWW
1864653,7.4318,7.85,7.16,7.89,7.09,2021-03-03 05:00:00,9201,POWW
2937098,6.6606000000000005,7.1,6.67,7.23,6.25,2021-03-04 05:00:00,14833,POWW
3215694,6.1061,6.57,6.91,6.91,5.18,2021-03-05 05:00:00,14708,POWW
1902444,6.4644,6.85,6.04,6.99,6.03,2021-03-08 05:00:00,10900,POWW
1462992,6.452,6.5600000000000005,6.35,6.64,6.24,2021-03-09 05:00:00,8445,POWW
1808106,6.4373000000000005,6.51,6.32,6.62,6.22,2021-03-10 05:00:00,8251,POWW
3396243,6.3499,6.53,6.78,6.78,6.15,2021-03-11 05:00:00,15683,POWW
12780236,5.7708,5.74,5.86,6.0,5.66,2021-03-12 05:00:00,61432,POWW
5929776,6.282,5.93,6.5,6.5698,5.86,2021-03-15 04:00:00,30138,POWW
2571263,6.2181,6.48,6.21,6.4975,6.0,2021-03-16 04:00:00,14898,POWW
2952126,5.9643,6.08,6.01,6.1,5.82,2021-03-17 04:00:00,15548,POWW
3750542,5.8219,6.0,5.74,6.02,5.72,2021-03-18 04:00:00,16569,POWW
5838436,6.2167,5.9,6.31,6.35,5.75,2021-03-19 04:00:00,15880,POWW
3122480,6.5899,6.31,6.66,6.775,6.22,2021-03-22 04:00:00,14522,POWW
2748887,6.4101,6.747,6.44,6.75,6.15,2021-03-23 04:00:00,12840,POWW
3703760,5.9615,6.33,5.8,6.35,5.78,2021-03-24 04:00:00,18386,POWW
2517844,5.7491,5.74,6.0,6.01,5.5,2021-03-25 04:00:00,14056,POWW
2300168,5.9496,6.02,5.91,6.12,5.77,2021-03-26 04:00:00,12975,POWW
2564708,5.6218,5.92,5.6,5.93,5.39,2021-03-29 04:00:00,13061,POWW
2319666,5.5499,5.62,5.64,5.76,5.295,2021-03-30 04:00:00,11512,POWW
2043015,5.9344,5.8100000000000005,5.92,6.07,5.75,2021-03-31 04:00:00,10380,POWW
2818826,6.2725,6.24,6.22,6.5,6.13,2021-04-01 04:00:00,12938,POWW
2179494,6.4404,6.3,6.44,6.5600000000000005,6.2357,2021-04-05 04:00:00,10792,POWW
2481033,6.5608,6.46,6.65,6.78,6.26,2021-04-06 04:00:00,12258,POWW
9161910,7.3281,6.73,7.19,7.73,6.55,2021-04-07 04:00:00,36402,POWW
4325441,7.3298,7.37,7.5,7.5600000000000005,7.01,2021-04-08 04:00:00,22166,POWW
2711291,7.3901,7.52,7.31,7.781,7.12,2021-04-09 04:00:00,13948,POWW
3117295,7.5969999999999995,7.3,7.68,7.8,7.221,2021-04-12 04:00:00,15692,POWW
2315595,7.4652,7.6884,7.44,7.88,7.2,2021-04-13 04:00:00,11946,POWW
2173353,7.3566,7.44,7.24,7.59,7.18,2021-04-14 04:00:00,11724,POWW
1868141,7.0674,7.24,7.05,7.25,6.9,2021-04-15 04:00:00,10203,POWW
2068490,6.7743,7.07,6.65,7.072,6.61,2021-04-16 04:00:00,11485,POWW
1402062,6.5775,6.65,6.68,6.7899,6.33,2021-04-19 04:00:00,7190,POWW
1474955,6.4862,6.61,6.59,6.67,6.3163,2021-04-20 04:00:00,8848,POWW
1364724,6.694,6.5,6.85,6.87,6.37,2021-04-21 04:00:00,8031,POWW
1914769,6.9444,6.95,6.83,7.165,6.71,2021-04-22 04:00:00,9675,POWW
1365448,7.0606,6.87,7.11,7.18,6.83,2021-04-23 04:00:00,7585,POWW
1453099,7.267,7.15,7.29,7.36,7.06,2021-04-26 04:00:00,7303,POWW
1164056,7.1556,7.3318,7.03,7.35,7.02,2021-04-27 04:00:00,7189,POWW
1807168,7.2366,7.0,7.29,7.39,6.86,2021-04-28 04:00:00,8920,POWW
1669496,7.117,7.35,7.14,7.35,6.96,2021-04-29 04:00:00,9198,POWW
2269453,7.2851,7.07,7.39,7.51,7.04,2021-04-30 04:00:00,9597,POWW
3599437,7.1708,7.505,7.16,7.6,6.86,2021-05-03 04:00:00,18284,POWW
1749330,6.8827,7.02,6.92,7.07,6.691,2021-05-04 04:00:00,9231,POWW
1170661,6.9366,6.97,6.8,7.12,6.77,2021-05-05 04:00:00,6860,POWW
1531033,6.7012,6.75,6.74,6.97,6.52,2021-05-06 04:00:00,8632,POWW
1145288,6.8638,6.735,6.91,7.03,6.63,2021-05-07 04:00:00,6507,POWW
1705361,6.9023,6.855,6.86,7.125,6.73,2021-05-10 04:00:00,8853,POWW
2994582,6.4466,6.55,6.63,6.67,6.25,2021-05-11 04:00:00,13969,POWW
2282770,6.2502,6.5115,6.085,6.6850000000000005,6.03,2021-05-12 04:00:00,11928,POWW
2845266,6.0655,6.18,5.99,6.45,5.8100000000000005,2021-05-13 04:00:00,12975,POWW
1861280,6.1634,6.12,6.2,6.29,6.02,2021-05-14 04:00:00,9963,POWW
1437369,6.3087,6.27,6.34,6.44,6.15,2021-05-17 04:00:00,7745,POWW
1072968,6.383,6.372,6.28,6.52,6.28,2021-05-18 04:00:00,7265,POWW
1214328,6.1362,6.1,6.22,6.24,5.95,2021-05-19 04:00:00,6922,POWW
1817222,6.4427,6.35,6.36,6.59,6.3084,2021-05-20 04:00:00,8216,POWW
889624,6.3624,6.43,6.38,6.47,6.27,2021-05-21 04:00:00,5613,POWW
944843,6.2907,6.38,6.29,6.41,6.24,2021-05-24 04:00:00,5559,POWW
1576036,6.4449,6.27,6.33,6.62,6.25,2021-05-25 04:00:00,8452,POWW
1721092,6.564,6.39,6.58,6.66,6.38,2021-05-26 04:00:00,8446,POWW
2591777,6.9152000000000005,6.62,6.99,7.065,6.6101,2021-05-27 04:00:00,9913,POWW
1150208,6.8782,7.0395,6.86,7.0395,6.73,2021-05-28 04:00:00,6760,POWW
2628260,7.0554,6.9,7.07,7.22,6.86,2021-06-01 04:00:00,9754,POWW
1413839,6.9458,7.09,6.9,7.1,6.86,2021-06-02 04:00:00,7902,POWW
1068805,6.8489,6.91,6.77,6.9399,6.76,2021-06-03 04:00:00,7234,POWW
