volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
403145,8.0205,9.51,7.8,9.6521,7.1462,2020-05-26 04:00:00,7218,QLGN
464195,6.6366,7.25,6.4,7.48,6.1,2020-05-27 04:00:00,6854,QLGN
208827,6.6057,6.33,6.4,6.8957,6.3,2020-05-28 04:00:00,2649,QLGN
159575,6.3048,6.4,6.45,6.5,6.11,2020-05-29 04:00:00,1902,QLGN
270086,5.9569,6.39,5.89,6.39,5.8,2020-06-01 04:00:00,3146,QLGN
578979,6.0255,6.1,5.59,6.2,5.51,2020-06-02 04:00:00,4653,QLGN
411989,5.1466,5.49,5.08,5.57,4.86,2020-06-03 04:00:00,4142,QLGN
322691,5.1189,5.18,5.0,5.215,4.89,2020-06-04 04:00:00,2917,QLGN
398986,5.1321,5.09,5.13,5.39,4.87,2020-06-05 04:00:00,2874,QLGN
1712070,5.7798,5.34,5.89,6.19,5.01,2020-06-08 04:00:00,9084,QLGN
563788,5.5927,6.0,5.39,6.0599,5.25,2020-06-09 04:00:00,4058,QLGN
1069802,5.8,6.0,5.42,6.1,5.4,2020-06-10 04:00:00,6709,QLGN
400825,4.9928,5.25,4.85,5.25,4.5600000000000005,2020-06-11 04:00:00,3133,QLGN
539357,4.9665,4.99,5.0,5.24,4.75,2020-06-12 04:00:00,3338,QLGN
442880,4.912,4.85,4.91,5.0899,4.75,2020-06-15 04:00:00,2948,QLGN
759394,5.103,5.07,4.99,5.39,4.92,2020-06-16 04:00:00,3720,QLGN
704953,5.0342,5.02,4.99,5.1447,4.8601,2020-06-17 04:00:00,3730,QLGN
942459,5.1511,5.1,5.11,5.35,4.97,2020-06-18 04:00:00,4413,QLGN
849654,5.0765,5.2,4.96,5.28,4.9,2020-06-19 04:00:00,4029,QLGN
858948,4.9553,5.0,4.97,5.07,4.77,2020-06-22 04:00:00,3851,QLGN
546799,4.9068000000000005,5.03,4.93,5.05,4.8,2020-06-23 04:00:00,2742,QLGN
611420,4.727,4.9,4.75,4.93,4.59,2020-06-24 04:00:00,3424,QLGN
412530,4.6937,4.62,4.7,4.83,4.57,2020-06-25 04:00:00,2318,QLGN
785767,4.5803,4.7,4.4,4.86,4.27,2020-06-26 04:00:00,3760,QLGN
