volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1101,8.9965,8.97,9.03,9.03,8.97,2020-02-20 05:00:00,11,RBCN
642,8.8428,9.0148,8.79,9.0148,8.7873,2020-02-21 05:00:00,6,RBCN
823,8.854800000000001,8.82,8.87,8.88,8.82,2020-02-24 05:00:00,13,RBCN
6360,8.939,8.92,9.0,9.0027,8.91,2020-02-25 05:00:00,21,RBCN
20647,8.9467,9.0,8.77,9.0,8.77,2020-02-26 05:00:00,63,RBCN
9756,8.7226,8.85,8.71,8.85,8.7,2020-02-27 05:00:00,30,RBCN
16472,8.5747,8.67,8.51,8.67,8.5,2020-02-28 05:00:00,42,RBCN
1643,8.6171,8.65,8.5673,8.65,8.5673,2020-03-02 05:00:00,16,RBCN
10116,8.436,8.5,8.44,8.5161,8.35,2020-03-03 05:00:00,49,RBCN
5071,8.4245,8.41,8.5,8.5,8.38,2020-03-04 05:00:00,35,RBCN
6088,8.5166,8.49,8.47,8.63,8.47,2020-03-05 05:00:00,50,RBCN
428,8.6492,8.47,8.7584,8.7584,8.47,2020-03-06 05:00:00,5,RBCN
11031,8.2395,8.3,8.3576,8.3576,8.1,2020-03-09 04:00:00,34,RBCN
7051,8.4601,8.27,8.17,8.73,8.17,2020-03-10 04:00:00,22,RBCN
19936,8.1649,8.2402,8.17,8.2402,8.15,2020-03-11 04:00:00,80,RBCN
40624,8.0839,8.01,8.1505,8.5023,7.7535,2020-03-12 04:00:00,163,RBCN
3869,8.3367,8.4,8.54,8.54,8.15,2020-03-13 04:00:00,38,RBCN
21274,8.1767,8.15,8.155,8.365,8.15,2020-03-16 04:00:00,109,RBCN
6715,8.4192,8.34,8.6,8.6,8.17,2020-03-17 04:00:00,59,RBCN
90253,8.1457,8.458,8.0,8.458,8.0,2020-03-18 04:00:00,293,RBCN
3458,8.0395,8.0027,8.11,8.11,8.0,2020-03-19 04:00:00,33,RBCN
2906,8.0211,8.0,8.0,8.05,8.0,2020-03-20 04:00:00,21,RBCN
46737,7.837,8.0,8.31,8.31,7.1486,2020-03-23 04:00:00,216,RBCN
112266,8.1803,7.75,7.76,8.161,7.66,2020-03-24 04:00:00,66,RBCN
25464,7.8916,7.76,8.04,8.145,7.3475,2020-03-25 04:00:00,138,RBCN
24119,7.8899,7.7,7.88,8.146,7.7,2020-03-26 04:00:00,149,RBCN
1805,7.8431,7.7927,7.96,7.99,7.7927,2020-03-27 04:00:00,16,RBCN
