volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2915,0.9171,1.0,0.8999,1.0,0.8999,2020-11-23 05:00:00,21,RCHGW
128580,0.8133,1.1,0.8995000000000001,1.1,0.81,2020-11-24 05:00:00,23,RCHGW
10400,0.9495,1.0,0.92,1.0,0.85,2020-11-25 05:00:00,29,RCHGW
85928,0.8055,0.93,0.78,0.93,0.7799,2020-11-27 05:00:00,57,RCHGW
11424,0.8058000000000001,0.8650009999999999,0.7999,0.8650009999999999,0.75,2020-11-30 05:00:00,46,RCHGW
19711,0.7499,0.74,0.75,0.8,0.74,2020-12-01 05:00:00,338,RCHGW
11952,0.7979,0.8,0.777501,0.8,0.777501,2020-12-02 05:00:00,44,RCHGW
11756,0.7787000000000001,0.85,0.77,0.85,0.76,2020-12-03 05:00:00,89,RCHGW
63548,0.7533000000000001,0.77,0.79,0.79,0.68,2020-12-04 05:00:00,447,RCHGW
92552,0.7973,0.85,0.8200000000000001,0.85,0.78,2020-12-07 05:00:00,601,RCHGW
25069,0.7919,0.85,0.78,0.85,0.75,2020-12-08 05:00:00,77,RCHGW
101202,0.8453,0.9,0.7998989999999999,0.9,0.7721,2020-12-09 05:00:00,277,RCHGW
154376,0.9992000000000001,1.0,0.89,1.12,0.8,2020-12-10 05:00:00,311,RCHGW
114976,1.0138,1.0,1.0199,1.06,0.9,2020-12-11 05:00:00,265,RCHGW
154317,1.1497,1.1,1.2367,1.25,1.05,2020-12-14 05:00:00,530,RCHGW
53324,1.1232,1.25,1.05,1.25,1.04,2020-12-15 05:00:00,117,RCHGW
88314,0.982,1.04,0.97,1.04,0.9500000000000001,2020-12-16 05:00:00,140,RCHGW
57607,0.9886,0.97,1.05,1.09,0.9500000000000001,2020-12-17 05:00:00,171,RCHGW
98479,1.0723,1.09,1.0284,1.1,1.0,2020-12-18 05:00:00,132,RCHGW
52374,1.067,1.11,1.02,1.11,1.0,2020-12-21 05:00:00,287,RCHGW
111034,1.1106,1.02,1.1302,1.21,1.02,2020-12-22 05:00:00,177,RCHGW
439399,1.2128,1.25,1.38,1.4,1.05,2020-12-23 05:00:00,1181,RCHGW
450888,1.9978,1.75,2.0,2.3899,1.52,2020-12-24 05:00:00,1241,RCHGW
172447,1.8437999999999999,1.9,1.87,1.9500000000000002,1.76,2020-12-28 05:00:00,472,RCHGW
55686,1.7067,1.83,1.5899999999999999,1.83,1.5899999999999999,2020-12-29 05:00:00,244,RCHGW
88409,1.8281,2.34,1.65,2.34,1.62,2020-12-30 05:00:00,236,RCHGW
33831,1.5851000000000002,1.5,1.6,1.65,1.5,2020-12-31 05:00:00,135,RCHGW
101680,1.4276,1.62,1.35,1.6266,1.19,2021-01-04 05:00:00,215,RCHGW
42623,1.3394,1.34,1.45,1.49,1.2,2021-01-05 05:00:00,207,RCHGW
31222,1.3875,1.3907,1.3499,1.45,1.3,2021-01-06 05:00:00,238,RCHGW
70074,1.3665,1.35,1.31,1.5,1.3,2021-01-07 05:00:00,300,RCHGW
29354,1.4255,1.51,1.3999000000000001,1.51,1.35,2021-01-08 05:00:00,128,RCHGW
85904,1.5467,1.49,1.5,1.63,1.49,2021-01-11 05:00:00,206,RCHGW
90438,1.5987,1.53,1.65,1.75,1.3599999999999999,2021-01-12 05:00:00,187,RCHGW
67434,1.6192000000000002,1.7000000000000002,1.57,1.7000000000000002,1.5399,2021-01-13 05:00:00,186,RCHGW
145408,1.7386,1.65,1.78,1.81,1.6400000000000001,2021-01-14 05:00:00,205,RCHGW
135150,1.7471,1.9,1.72,1.9,1.67,2021-01-15 05:00:00,269,RCHGW
87851,1.6273,1.85,1.6400000000000001,1.85,1.5,2021-01-19 05:00:00,221,RCHGW
