volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
42957,1.6823000000000001,2.25,1.65,2.25,1.5001,2021-07-23 04:00:00,135,REEAW
88157,1.8068,1.9100000000000001,1.6099999999999999,2.0,1.51,2021-07-26 04:00:00,285,REEAW
56459,1.5687,1.99,1.47,1.99,1.461,2021-07-27 04:00:00,223,REEAW
79220,1.4688,1.7000000000000002,1.4,1.7000000000000002,1.33,2021-07-28 04:00:00,341,REEAW
100378,1.3578000000000001,1.29,1.25,1.53,1.25,2021-07-29 04:00:00,674,REEAW
80471,1.2543,1.22,1.23,1.34,1.22,2021-07-30 04:00:00,240,REEAW
93148,1.1948,1.22,1.18,1.31,1.1,2021-08-02 04:00:00,376,REEAW
160798,1.3955,1.25,1.44,1.5,1.25,2021-08-03 04:00:00,276,REEAW
46557,1.4542000000000002,1.44,1.5,1.5,1.4201000000000001,2021-08-04 04:00:00,155,REEAW
36695,1.5048,1.55,1.52,1.55,1.43,2021-08-05 04:00:00,57,REEAW
90225,1.5669,1.5,1.85,1.87,1.35,2021-08-06 04:00:00,255,REEAW
67836,1.7027999999999999,1.8222,1.8,1.8222,1.6001,2021-08-09 04:00:00,142,REEAW
25955,1.7126000000000001,1.7000000000000002,1.6501000000000001,1.75,1.6400000000000001,2021-08-10 04:00:00,174,REEAW
19217,1.6548,1.63,1.6800000000000002,1.7000000000000002,1.5899999999999999,2021-08-11 04:00:00,100,REEAW
62562,1.6139999999999999,1.72,1.6600000000000001,1.73,1.51,2021-08-12 04:00:00,236,REEAW
6650,1.6683,1.72,1.6400000000000001,1.72,1.6200999999999999,2021-08-13 04:00:00,47,REEAW
16602,1.5396,1.6400000000000001,1.48,1.65,1.46,2021-08-16 04:00:00,63,REEAW
13443,1.4078,1.4100000000000001,1.38,1.5206,1.38,2021-08-17 04:00:00,43,REEAW
5997,1.5096,1.46,1.52,1.6400000000000001,1.403,2021-08-18 04:00:00,33,REEAW
4165,1.3223,1.395,1.3099,1.395,1.28,2021-08-19 04:00:00,30,REEAW
6775,1.4067,1.374,1.45,1.53,1.374,2021-08-20 04:00:00,53,REEAW
56115,1.252,1.35,1.25,1.3632,1.21,2021-08-23 04:00:00,188,REEAW
25158,1.2728,1.3,1.26,1.3157,1.25,2021-08-24 04:00:00,63,REEAW
17548,1.2451,1.26,1.25,1.26,1.2101,2021-08-25 04:00:00,106,REEAW
2843,1.3271,1.34,1.33,1.34,1.25,2021-08-26 04:00:00,43,REEAW
234828,1.2547000000000001,1.33,1.27,1.4099,1.2,2021-08-27 04:00:00,116,REEAW
7478,1.2981,1.28,1.28,1.3399,1.28,2021-08-30 04:00:00,85,REEAW
342575,1.0594,1.28,1.06,1.2835,0.9450000000000001,2021-08-31 04:00:00,670,REEAW
105120,1.0923,1.0601,1.07,1.2,1.0501,2021-09-01 04:00:00,214,REEAW
96536,1.0248,1.08,1.02,1.08,1.0,2021-09-02 04:00:00,170,REEAW
153887,1.0143,1.05,1.05,1.0999,0.99,2021-09-03 04:00:00,449,REEAW
140833,1.082,1.1,1.06,1.2,1.02,2021-09-07 04:00:00,276,REEAW
245516,1.0466,1.1,1.05,1.1,0.99,2021-09-08 04:00:00,460,REEAW
82333,1.1358,1.07,1.08,1.17,1.07,2021-09-09 04:00:00,126,REEAW
55789,1.0802,1.16,1.07,1.16,1.035,2021-09-10 04:00:00,71,REEAW
50637,1.1044,1.05,1.11,1.1357,1.05,2021-09-13 04:00:00,73,REEAW
58136,1.0949,1.1226,1.03,1.1400000000000001,1.03,2021-09-14 04:00:00,85,REEAW
24880,1.0229,1.0399,1.01,1.04,1.0001,2021-09-15 04:00:00,44,REEAW
33125,1.0292,1.01,1.05,1.05,1.01,2021-09-16 04:00:00,49,REEAW
25998,1.0231,1.065,1.02,1.065,1.0,2021-09-17 04:00:00,57,REEAW
30140,1.0022,1.02,1.0155,1.0483,0.9802000000000001,2021-09-20 04:00:00,52,REEAW
55282,0.9994000000000001,1.03,0.9831000000000001,1.0301,0.983,2021-09-21 04:00:00,135,REEAW
44987,0.9917,0.9902000000000001,0.995,1.01,0.98,2021-09-22 04:00:00,105,REEAW
31254,1.0226,1.04,0.9906,1.04,0.99,2021-09-23 04:00:00,65,REEAW
4498,1.017,1.04,1.02,1.05,0.9951000000000001,2021-09-24 04:00:00,24,REEAW
4884,1.03,1.0299,1.0202,1.04,1.01,2021-09-27 04:00:00,21,REEAW
16208,1.0014,1.03,0.9802000000000001,1.03,0.98,2021-09-28 04:00:00,53,REEAW
38665,0.9685,0.99,0.9213,1.0,0.9201,2021-09-29 04:00:00,90,REEAW
52774,0.8947,0.9899,0.88,0.9899,0.8701000000000001,2021-09-30 04:00:00,169,REEAW
35938,0.8996000000000001,0.920101,0.89,0.920101,0.8801,2021-10-01 04:00:00,64,REEAW
49364,0.8956000000000001,0.9,0.8601000000000001,0.9001,0.8601000000000001,2021-10-04 04:00:00,51,REEAW
141706,0.799,0.8602000000000001,0.78,0.8602000000000001,0.7504649999999999,2021-10-05 04:00:00,240,REEAW
145933,0.7768,0.7999,0.7515000000000001,0.8199000000000001,0.7509,2021-10-06 04:00:00,385,REEAW
17314,0.7962,0.75,0.8175500000000001,0.86,0.75,2021-10-07 04:00:00,38,REEAW
11078,0.796,0.7722,0.8,0.88,0.7722,2021-10-08 04:00:00,38,REEAW
18628,0.7887000000000001,0.7605000000000001,0.78,0.795,0.76,2021-10-11 04:00:00,35,REEAW
