volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
289909,16.7085,16.72,16.795,17.06,16.1,2020-02-20 05:00:00,2449,REPH
187884,16.9222,16.85,16.88,17.21,16.59,2020-02-21 05:00:00,1686,REPH
224942,15.9458,16.37,15.615,16.502,15.61,2020-02-24 05:00:00,1890,REPH
386713,15.4877,15.62,15.48,15.87,15.2532,2020-02-25 05:00:00,2423,REPH
257403,15.6363,15.62,15.34,15.99,15.25,2020-02-26 05:00:00,2331,REPH
279846,14.8885,15.05,14.805,15.328,14.61,2020-02-27 05:00:00,2499,REPH
325783,14.2424,14.33,14.34,14.75,13.94,2020-02-28 05:00:00,2971,REPH
382517,14.6686,14.35,14.8,15.02,14.1007,2020-03-02 05:00:00,2306,REPH
186029,14.3735,14.79,14.35,15.126,14.0,2020-03-03 05:00:00,2601,REPH
2972034,10.3705,9.5,11.0,11.43,9.41,2020-03-04 05:00:00,13197,REPH
509811,10.3324,10.73,10.28,11.1249,10.155,2020-03-05 05:00:00,4608,REPH
1168510,9.8858,10.0,9.83,10.07,9.6,2020-03-06 05:00:00,10129,REPH
791067,9.5166,9.22,9.63,9.8,9.06,2020-03-09 04:00:00,7132,REPH
405340,9.4699,9.74,9.49,9.86,9.2,2020-03-10 04:00:00,4632,REPH
500853,9.2599,9.48,9.17,9.48,9.11,2020-03-11 04:00:00,5704,REPH
586110,8.1609,8.72,7.85,8.81,7.69,2020-03-12 04:00:00,4503,REPH
453997,7.7427,8.15,7.63,8.7275,7.44,2020-03-13 04:00:00,4116,REPH
571398,7.1308,7.07,6.94,7.41,6.85,2020-03-16 04:00:00,6569,REPH
311484,7.2825,6.97,7.52,7.77,6.62,2020-03-17 04:00:00,3826,REPH
417587,6.5712,7.17,6.5600000000000005,7.32,6.1,2020-03-18 04:00:00,4216,REPH
367624,7.1035,6.58,7.3,7.495,6.3408,2020-03-19 04:00:00,3233,REPH
359545,7.1537,7.38,6.91,7.65,6.85,2020-03-20 04:00:00,3343,REPH
249423,6.9987,7.01,7.11,7.24,6.54,2020-03-23 04:00:00,2101,REPH
246238,7.5176,7.34,7.59,7.8100000000000005,7.24,2020-03-24 04:00:00,2923,REPH
233919,7.7097,7.57,8.1,8.1365,7.16,2020-03-25 04:00:00,2985,REPH
304109,7.9533000000000005,8.13,7.67,8.41,7.58,2020-03-26 04:00:00,3236,REPH
660768,6.852,7.43,6.64,7.52,6.6,2020-03-27 04:00:00,3759,REPH
580439,8.0694,6.71,8.0,8.69,6.68,2020-03-30 04:00:00,4546,REPH
398265,8.159,7.89,8.17,8.26,7.8,2020-03-31 04:00:00,3750,REPH
779924,7.1471,8.0,7.03,8.05,6.85,2020-04-01 04:00:00,5904,REPH
603785,7.1217,7.05,7.15,7.31,7.0,2020-04-02 04:00:00,3618,REPH
256667,7.0374,7.11,7.09,7.29,6.87,2020-04-03 04:00:00,2944,REPH
296033,7.8804,7.36,7.99,8.14,7.32,2020-04-06 04:00:00,2580,REPH
621577,7.7494,8.25,7.6,8.33,7.55,2020-04-07 04:00:00,4912,REPH
512117,7.9321,7.72,8.05,8.22,7.41,2020-04-08 04:00:00,5228,REPH
417863,8.6239,8.1,8.85,8.87,8.1,2020-04-09 04:00:00,3961,REPH
246513,8.444,8.76,8.46,8.915,7.94,2020-04-13 04:00:00,2647,REPH
125071,8.4179,8.61,8.24,8.83,8.22,2020-04-14 04:00:00,1482,REPH
309260,8.598700000000001,7.92,8.78,8.84,7.92,2020-04-15 04:00:00,2812,REPH
180328,8.25,8.72,8.195,8.84,7.94,2020-04-16 04:00:00,2265,REPH
330869,8.1694,8.32,8.0,8.51,7.93,2020-04-17 04:00:00,3560,REPH
153180,8.0115,7.85,7.89,8.31,7.69,2020-04-20 04:00:00,1878,REPH
280204,7.4438,7.66,7.47,7.8049,7.2,2020-04-21 04:00:00,2311,REPH
118080,7.7161,7.66,7.67,7.92,7.43,2020-04-22 04:00:00,1067,REPH
129788,7.8608,7.71,7.78,8.04,7.71,2020-04-23 04:00:00,1561,REPH
111617,8.0768,7.78,8.11,8.27,7.78,2020-04-24 04:00:00,1315,REPH
276190,8.1463,8.17,8.19,8.39,7.95,2020-04-27 04:00:00,2250,REPH
301698,8.6795,8.41,8.54,8.93,8.235,2020-04-28 04:00:00,2514,REPH
343608,8.8165,8.75,8.81,9.0095,8.68,2020-04-29 04:00:00,3102,REPH
239039,8.5087,8.61,8.46,8.694,8.26,2020-04-30 04:00:00,2990,REPH
183032,8.1208,8.28,8.17,8.44,7.875,2020-05-01 04:00:00,2238,REPH
162261,8.0954,8.16,7.99,8.45,7.975,2020-05-04 04:00:00,1531,REPH
170184,8.0273,8.17,8.0,8.3,7.9,2020-05-05 04:00:00,1669,REPH
251798,8.209,8.03,8.21,8.35,7.96,2020-05-06 04:00:00,2107,REPH
311681,8.3975,8.27,8.37,8.57,8.27,2020-05-07 04:00:00,2767,REPH
306139,8.6163,8.56,8.42,9.19,8.42,2020-05-08 04:00:00,2854,REPH
7702443,5.0955,5.7,5.08,5.75,4.76,2020-05-11 04:00:00,42322,REPH
2408744,5.0171,5.16,4.88,5.3,4.8,2020-05-12 04:00:00,12404,REPH
2165656,4.4757,4.75,4.49,4.75,4.23,2020-05-13 04:00:00,10901,REPH
802031,4.3506,4.33,4.34,4.5,4.15,2020-05-14 04:00:00,5715,REPH
662244,4.3549,4.33,4.36,4.44,4.22,2020-05-15 04:00:00,4343,REPH
975589,4.4268,4.45,4.45,4.64,4.33,2020-05-18 04:00:00,5408,REPH
458839,4.5658,4.44,4.54,4.6921,4.4,2020-05-19 04:00:00,3896,REPH
525383,4.6985,4.62,4.63,4.83,4.5834,2020-05-20 04:00:00,3861,REPH
360728,4.6793,4.65,4.7,4.75,4.53,2020-05-21 04:00:00,2701,REPH
554187,4.7521,4.74,4.77,4.91,4.57,2020-05-22 04:00:00,4065,REPH
461582,4.8159,4.95,4.8,4.95,4.7,2020-05-26 04:00:00,2730,REPH
433356,4.8192,4.78,4.84,4.8821,4.7698,2020-05-27 04:00:00,3353,REPH
549286,4.8877,4.85,4.79,5.04,4.77,2020-05-28 04:00:00,4525,REPH
528898,4.5497,4.76,4.52,4.77,4.46,2020-05-29 04:00:00,3701,REPH
440699,4.604,4.58,4.5600000000000005,4.74,4.54,2020-06-01 04:00:00,3216,REPH
576945,4.6077,4.57,4.61,4.745,4.54,2020-06-02 04:00:00,2916,REPH
608305,4.6012,4.63,4.61,4.65,4.555,2020-06-03 04:00:00,2968,REPH
412459,4.6777,4.65,4.67,4.7701,4.57,2020-06-04 04:00:00,2975,REPH
543526,4.8454,4.75,4.95,4.96,4.72,2020-06-05 04:00:00,3499,REPH
897227,5.2016,5.0,5.26,5.33,4.9616,2020-06-08 04:00:00,5102,REPH
1179824,5.6169,5.45,5.66,5.82,5.38,2020-06-09 04:00:00,7073,REPH
652258,5.4093,5.79,5.35,5.8,5.15,2020-06-10 04:00:00,4218,REPH
680389,5.0061,5.04,4.86,5.29,4.8100000000000005,2020-06-11 04:00:00,4579,REPH
338121,4.953,4.97,4.92,5.28,4.8276,2020-06-12 04:00:00,2965,REPH
421173,5.053,4.88,5.22,5.24,4.72,2020-06-15 04:00:00,3126,REPH
302842,5.1887,5.39,5.09,5.46,5.06,2020-06-16 04:00:00,2394,REPH
366786,4.9472000000000005,5.09,4.89,5.1499,4.84,2020-06-17 04:00:00,2689,REPH
227391,4.8476,4.87,4.83,4.95,4.77,2020-06-18 04:00:00,2074,REPH
411830,4.7832,4.89,4.73,4.95,4.69,2020-06-19 04:00:00,2000,REPH
294668,4.7398,4.72,4.84,4.8727,4.6,2020-06-22 04:00:00,2175,REPH
354999,4.9695,4.94,4.93,5.04,4.88,2020-06-23 04:00:00,2308,REPH
209801,4.7118,4.85,4.72,4.89,4.61,2020-06-24 04:00:00,1884,REPH
199959,4.7097999999999995,4.7,4.76,4.82,4.64,2020-06-25 04:00:00,2015,REPH
689191,4.6268,4.71,4.6,4.76,4.55,2020-06-26 04:00:00,3469,REPH
287983,4.6121,4.67,4.57,4.79,4.5,2020-06-29 04:00:00,2425,REPH
522845,4.5609,4.58,4.55,4.65,4.49,2020-06-30 04:00:00,2920,REPH
213270,4.679,4.5600000000000005,4.7,4.75,4.5600000000000005,2020-07-01 04:00:00,1834,REPH
191378,4.6848,4.82,4.6,4.85,4.58,2020-07-02 04:00:00,1347,REPH
412886,4.5173,4.74,4.46,4.74,4.44,2020-07-06 04:00:00,2799,REPH
370008,4.3728,4.46,4.32,4.49,4.29,2020-07-07 04:00:00,2951,REPH
323861,4.3064,4.28,4.35,4.4001,4.18,2020-07-08 04:00:00,2558,REPH
164862,4.1991,4.34,4.15,4.39,4.13,2020-07-09 04:00:00,1644,REPH
128820,4.1901,4.14,4.17,4.27,4.067,2020-07-10 04:00:00,1177,REPH
190430,4.1375,4.22,4.06,4.28,4.05,2020-07-13 04:00:00,1883,REPH
171311,4.0708,4.09,4.14,4.15,3.9865,2020-07-14 04:00:00,1786,REPH
243842,4.354,4.17,4.4,4.46,4.17,2020-07-15 04:00:00,2282,REPH
234510,4.4861,4.37,4.5600000000000005,4.6,4.26,2020-07-16 04:00:00,1993,REPH
560980,4.7998,4.49,4.705,4.95,4.46,2020-07-17 04:00:00,5933,REPH
493740,4.4052,4.64,4.4,4.73,4.3,2020-07-20 04:00:00,3499,REPH
343077,4.4849,4.43,4.43,4.63,4.385,2020-07-21 04:00:00,2383,REPH
167262,4.3132,4.41,4.28,4.45,4.26,2020-07-22 04:00:00,1572,REPH
178853,4.2854,4.28,4.26,4.4599,4.24,2020-07-23 04:00:00,2040,REPH
216374,4.1673,4.26,4.15,4.31,4.13,2020-07-24 04:00:00,2672,REPH
361467,4.1234,4.18,4.18,4.23,3.99,2020-07-27 04:00:00,2207,REPH
139052,4.1537,4.17,4.09,4.21,4.08,2020-07-28 04:00:00,1714,REPH
260181,4.1359,4.1,4.13,4.265,4.0,2020-07-29 04:00:00,2011,REPH
254777,4.1199,4.09,4.2,4.22,4.03,2020-07-30 04:00:00,1412,REPH
137322,4.1007,4.17,4.09,4.24,4.05,2020-07-31 04:00:00,1276,REPH
193052,4.1326,4.11,4.13,4.235,4.04,2020-08-03 04:00:00,1859,REPH
250654,4.331,4.1,4.375,4.43,4.1,2020-08-04 04:00:00,2105,REPH
102975,4.256,4.4,4.23,4.41,4.2,2020-08-05 04:00:00,1102,REPH
192501,4.1675,4.2,4.11,4.29,4.06,2020-08-06 04:00:00,1647,REPH
283346,4.2967,4.12,4.4,4.435,4.1,2020-08-07 04:00:00,1882,REPH
2055062,3.33,3.71,3.34,3.7199999999999998,3.1302,2020-08-10 04:00:00,9327,REPH
592734,3.3317,3.42,3.2,3.44,3.2,2020-08-11 04:00:00,3047,REPH
668317,3.119,3.2800000000000002,3.03,3.32,3.01,2020-08-12 04:00:00,4045,REPH
496116,3.0704,3.03,3.1,3.18,2.95,2020-08-13 04:00:00,2789,REPH
229091,3.0841,3.11,3.04,3.15,3.04,2020-08-14 04:00:00,1703,REPH
207644,3.1025,3.06,3.13,3.17,3.0434,2020-08-17 04:00:00,1662,REPH
738328,2.9542,3.15,2.91,3.1502,2.89,2020-08-18 04:00:00,2970,REPH
507824,2.8596,2.9699999999999998,2.88,2.9699999999999998,2.76,2020-08-19 04:00:00,2781,REPH
519243,2.8356,2.9,2.77,2.92,2.75,2020-08-20 04:00:00,2614,REPH
321958,2.8443,2.75,2.87,2.925,2.75,2020-08-21 04:00:00,1858,REPH
331336,2.7962,2.89,2.76,2.91,2.73,2020-08-24 04:00:00,2199,REPH
407173,2.6426,2.76,2.68,2.765,2.55,2020-08-25 04:00:00,2770,REPH
221201,2.7569,2.7,2.8,2.85,2.66,2020-08-26 04:00:00,1477,REPH
277578,2.6805,2.85,2.67,2.86,2.6,2020-08-27 04:00:00,1849,REPH
121805,2.7113,2.7,2.7,2.77,2.65,2020-08-28 04:00:00,988,REPH
183309,2.7352,2.7,2.75,2.8,2.65,2020-08-31 04:00:00,1398,REPH
205131,2.6994,2.7199999999999998,2.77,2.79,2.62,2020-09-01 04:00:00,1632,REPH
247145,2.7639,2.77,2.71,2.84,2.7,2020-09-02 04:00:00,1893,REPH
1204499,2.3749000000000002,2.73,2.31,2.7800000000000002,2.215,2020-09-03 04:00:00,7556,REPH
1069503,2.1523,2.31,2.06,2.36,2.04,2020-09-04 04:00:00,5878,REPH
363853,2.2106,2.1,2.25,2.29,2.04,2020-09-08 04:00:00,2566,REPH
128725,2.2141,2.24,2.23,2.26,2.16,2020-09-09 04:00:00,1082,REPH
140942,2.1982,2.25,2.17,2.3,2.16,2020-09-10 04:00:00,1051,REPH
156447,2.1584,2.2,2.15,2.2,2.12,2020-09-11 04:00:00,1183,REPH
229214,2.1394,2.15,2.13,2.2,2.08,2020-09-14 04:00:00,1362,REPH
267463,2.1444,2.16,2.11,2.22,2.075,2020-09-15 04:00:00,1942,REPH
304956,2.2185,2.13,2.25,2.32,2.11,2020-09-16 04:00:00,1513,REPH
200152,2.2979,2.26,2.34,2.36,2.24,2020-09-17 04:00:00,1087,REPH
412835,2.4454000000000002,2.35,2.48,2.5300000000000002,2.3266999999999998,2020-09-18 04:00:00,1621,REPH
257498,2.3127,2.47,2.35,2.47,2.2201,2020-09-21 04:00:00,1997,REPH
252050,2.2992,2.45,2.29,2.45,2.24,2020-09-22 04:00:00,1119,REPH
250952,2.1915,2.25,2.15,2.27,2.1113,2020-09-23 04:00:00,1226,REPH
155449,2.0974,2.15,2.1,2.22,2.04,2020-09-24 04:00:00,1215,REPH
202072,2.0598,2.07,2.08,2.12,2.03,2020-09-25 04:00:00,1544,REPH
148705,2.1653000000000002,2.13,2.16,2.24,2.08,2020-09-28 04:00:00,867,REPH
245485,2.0855,2.16,2.1,2.1655,2.03,2020-09-29 04:00:00,1435,REPH
95004,2.1107,2.1,2.1,2.14,2.09,2020-09-30 04:00:00,644,REPH
560946,1.9934,2.11,1.98,2.1432,1.9100000000000001,2020-10-01 04:00:00,2897,REPH
149864,2.0435,1.99,2.07,2.1,1.9302000000000001,2020-10-02 04:00:00,913,REPH
142203,2.1016,2.08,2.11,2.13,2.05,2020-10-05 04:00:00,765,REPH
293921,2.0537,2.13,2.03,2.15,2.02,2020-10-06 04:00:00,1128,REPH
181197,2.1316,2.03,2.15,2.18,2.0266,2020-10-07 04:00:00,1044,REPH
197076,2.2825,2.2,2.34,2.37,2.16,2020-10-08 04:00:00,1194,REPH
105230,2.3174,2.34,2.3,2.3599,2.2800000000000002,2020-10-09 04:00:00,704,REPH
210488,2.2129,2.31,2.2,2.31,2.14,2020-10-12 04:00:00,1435,REPH
122451,2.2929,2.21,2.31,2.38,2.17,2020-10-13 04:00:00,652,REPH
161603,2.1973,2.27,2.17,2.3086,2.16,2020-10-14 04:00:00,1467,REPH
69069,2.1742,2.15,2.16,2.21,2.15,2020-10-15 04:00:00,521,REPH
175195,2.1541,2.16,2.15,2.22,2.1,2020-10-16 04:00:00,1233,REPH
119063,2.1798,2.17,2.12,2.2154,2.11,2020-10-19 04:00:00,1096,REPH
477479,2.0191,2.12,2.01,2.2,1.9500000000000002,2020-10-20 04:00:00,2720,REPH
253145,2.0089,2.01,2.0,2.06,1.98,2020-10-21 04:00:00,1188,REPH
