volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
28242,8.5587,8.2701,8.51,9.75,8.0,2022-01-11 05:00:00,272,REVB
118304,8.9849,8.22,9.25,9.73,8.21,2022-01-12 05:00:00,980,REVB
322618,8.6107,9.0,7.49,9.0,7.32,2022-01-13 05:00:00,2021,REVB
4756675,8.672,9.2365,6.9,9.25,6.5600000000000005,2022-01-14 05:00:00,33453,REVB
237191,5.6807,6.8,5.02,6.8,4.74,2022-01-18 05:00:00,1698,REVB
198326,4.4822,4.97,4.54,5.29,4.02,2022-01-19 05:00:00,1407,REVB
268816,3.8047,4.11,3.7,4.41,3.41,2022-01-20 05:00:00,1386,REVB
272730,3.2514,3.52,3.29,3.61,2.99,2022-01-21 05:00:00,805,REVB
238786,2.8526,3.1,2.66,3.3,2.58,2022-01-24 05:00:00,756,REVB
65894,2.6641,2.65,2.77,2.88,2.51,2022-01-25 05:00:00,369,REVB
165777,2.8345000000000002,2.75,2.86,2.98,2.4662,2022-01-26 05:00:00,608,REVB
42801,2.7269,2.81,2.66,2.86,2.61,2022-01-27 05:00:00,251,REVB
76885,2.5434,2.6,2.48,2.75,2.26,2022-01-28 05:00:00,354,REVB
23765,2.4905,2.33,2.51,2.6999,2.33,2022-01-31 05:00:00,190,REVB
46610,2.5428,2.49,2.62,2.67,2.4,2022-02-01 05:00:00,269,REVB
10973,2.5981,2.62,2.49,2.62,2.4501,2022-02-02 05:00:00,108,REVB
19506,2.4105,2.38,2.37,2.4828,2.37,2022-02-03 05:00:00,101,REVB
35373,2.3442,2.39,2.4,2.6899,2.22,2022-02-04 05:00:00,240,REVB
94776,2.5994,2.63,2.63,2.7199999999999998,2.36,2022-02-07 05:00:00,457,REVB
19536,2.5527,2.63,2.54,2.63,2.5,2022-02-08 05:00:00,110,REVB
67123,2.543,2.63,2.5,2.6991,2.45,2022-02-09 05:00:00,312,REVB
29917,2.4061,2.54,2.37,2.54,2.35,2022-02-10 05:00:00,202,REVB
32703,2.2084,2.47,2.12,2.47,2.0202,2022-02-11 05:00:00,323,REVB
49781,2.1559,2.19,2.26,2.2800000000000002,2.08,2022-02-14 05:00:00,304,REVB
14021,2.1644,2.15,2.2,2.24,2.1247,2022-02-15 05:00:00,267,REVB
4538,2.2648,2.2778,2.23,2.2778,2.1305,2022-02-16 05:00:00,101,REVB
4220166,2.1833,2.3,1.62,2.55,1.56,2022-02-17 05:00:00,10837,REVB
