volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1065417,123.3872,122.84,123.81,124.16,121.94,2020-02-20 05:00:00,15028,ROST
1316430,123.0817,123.26,123.24,123.87,122.12,2020-02-21 05:00:00,13666,ROST
1816419,122.0282,122.0,121.62,123.18,121.05,2020-02-24 05:00:00,24346,ROST
2295761,118.2777,121.99,116.75,122.21,116.56,2020-02-25 05:00:00,30793,ROST
2432274,119.8179,118.4,119.2,121.41,117.96,2020-02-26 05:00:00,30494,ROST
2738935,114.3714,117.8,111.94,119.02,111.85,2020-02-27 05:00:00,33761,ROST
4151995,108.4311,108.62,108.78,110.6533,106.76,2020-02-28 05:00:00,47538,ROST
3138075,109.7773,109.22,111.98,112.0,105.95,2020-03-02 05:00:00,42541,ROST
3487332,110.0208,111.0,109.22,114.314,107.59,2020-03-03 05:00:00,40642,ROST
4938746,108.1071,109.38,109.56,110.5,105.81,2020-03-04 05:00:00,54945,ROST
3136919,103.2082,106.34,101.69,107.16,100.7,2020-03-05 05:00:00,38982,ROST
3940181,100.9743,97.59,102.51,103.42,97.34,2020-03-06 05:00:00,46254,ROST
4067486,95.6221,96.99,94.81,97.82,94.41,2020-03-09 04:00:00,46624,ROST
3921190,99.4718,97.16,101.85,101.92,95.78,2020-03-10 04:00:00,44600,ROST
3731523,99.1946,99.42,98.56,100.97,97.825,2020-03-11 04:00:00,45798,ROST
5273933,92.5371,92.67,91.35,96.46,91.03,2020-03-12 04:00:00,57391,ROST
4298352,90.804,95.63,92.83,97.13,87.48,2020-03-13 04:00:00,52458,ROST
4883698,77.5533,84.34,73.93,84.34,73.19,2020-03-16 04:00:00,55550,ROST
7862775,70.2732,74.43,69.56,74.67,67.69,2020-03-17 04:00:00,83088,ROST
8149994,59.2487,65.3,59.97,65.95,56.3,2020-03-18 04:00:00,80319,ROST
7958815,64.7112,59.46,65.0,69.33,57.665,2020-03-19 04:00:00,60347,ROST
10008897,66.7414,65.43,63.9,70.0,63.85,2020-03-20 04:00:00,53312,ROST
5970214,63.1115,62.69,62.92,66.43,60.5174,2020-03-23 04:00:00,57937,ROST
8351476,70.234,67.82,71.58,71.8,66.07,2020-03-24 04:00:00,52639,ROST
5655682,80.5544,73.95,81.29,84.856,72.795,2020-03-25 04:00:00,60655,ROST
5436631,85.2457,82.34,85.6,86.83,81.31,2020-03-26 04:00:00,59390,ROST
3493106,82.7527,81.78,82.55,85.78,80.0,2020-03-27 04:00:00,39027,ROST
