volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
79210,9.2581,9.49,9.03,9.49,8.6,2021-07-29 04:00:00,354,RSVR
38261,8.9922,8.8,9.0,9.05,8.8,2021-07-30 04:00:00,310,RSVR
203085,8.4457,9.08,7.9,9.08,7.9,2021-08-02 04:00:00,1150,RSVR
136516,7.5102,7.9,7.19,7.9,7.19,2021-08-03 04:00:00,908,RSVR
79611,7.6884,7.33,7.67,7.86,7.2701,2021-08-04 04:00:00,696,RSVR
57031,7.5281,7.65,7.53,7.7877,7.2,2021-08-05 04:00:00,428,RSVR
83648,7.4712,7.48,7.38,7.84,7.35,2021-08-06 04:00:00,665,RSVR
107997,7.7884,7.3,7.6,8.0,7.3,2021-08-09 04:00:00,451,RSVR
112856,7.8891,7.51,7.92,8.28,7.51,2021-08-10 04:00:00,608,RSVR
40777,8.023,7.8100000000000005,8.0,8.15,7.8100000000000005,2021-08-11 04:00:00,324,RSVR
240132,7.8907,8.12,7.88,8.12,7.8,2021-08-12 04:00:00,349,RSVR
179438,7.9062,7.96,7.6,8.2099,7.59,2021-08-13 04:00:00,620,RSVR
176987,7.7743,7.705,7.89,8.1,7.4,2021-08-16 04:00:00,723,RSVR
149091,7.7127,7.89,7.41,7.96,7.41,2021-08-17 04:00:00,918,RSVR
53121,7.5059000000000005,7.22,7.49,7.8,7.1,2021-08-18 04:00:00,486,RSVR
36936,7.4041,7.5,7.36,7.69,7.25,2021-08-19 04:00:00,422,RSVR
24711,7.4857,7.49,7.47,7.79,7.265,2021-08-20 04:00:00,360,RSVR
86678,7.8945,7.65,7.79,8.1726,7.6,2021-08-23 04:00:00,760,RSVR
18139,7.7861,7.92,7.8100000000000005,7.9686,7.65,2021-08-24 04:00:00,169,RSVR
27585,7.9441,7.93,7.99,8.05,7.8,2021-08-25 04:00:00,318,RSVR
16237,8.0247,7.99,7.88,8.45,7.84,2021-08-26 04:00:00,277,RSVR
57333,8.1381,7.92,8.2,8.295,7.86,2021-08-27 04:00:00,620,RSVR
327378,8.9069,8.4,8.98,9.67,8.23,2021-08-30 04:00:00,7317,RSVR
629934,9.3138,9.13,8.98,9.88,8.735,2021-08-31 04:00:00,6565,RSVR
278164,8.8472,9.14,8.71,9.25,8.48,2021-09-01 04:00:00,2538,RSVR
106257,8.7224,8.75,8.85,8.94,8.61,2021-09-02 04:00:00,1581,RSVR
195977,8.9859,8.92,9.18,9.25,8.55,2021-09-03 04:00:00,2734,RSVR
1313138,9.9298,9.34,9.75,10.35,9.34,2021-09-07 04:00:00,11345,RSVR
565358,9.7833,9.95,9.96,10.0,9.28,2021-09-08 04:00:00,6039,RSVR
835342,10.0545,10.2,9.9,10.57,9.7541,2021-09-09 04:00:00,7901,RSVR
373850,9.7963,9.96,9.55,10.14,9.45,2021-09-10 04:00:00,5058,RSVR
354353,8.6558,9.55,8.36,9.71,8.28,2021-09-13 04:00:00,3981,RSVR
233466,7.9761,8.37,7.8100000000000005,8.4843,7.67,2021-09-14 04:00:00,2382,RSVR
256099,7.8879,7.8100000000000005,7.89,8.21,7.72,2021-09-15 04:00:00,2409,RSVR
394691,8.3482,8.0348,8.56,8.6899,7.9,2021-09-16 04:00:00,3183,RSVR
1207547,8.0801,8.54,7.99,8.93,7.94,2021-09-17 04:00:00,3413,RSVR
279245,7.9502,7.8100000000000005,7.96,8.05,7.72,2021-09-20 04:00:00,2150,RSVR
412806,8.6316,7.93,8.88,8.9,7.86,2021-09-21 04:00:00,3525,RSVR
134715,8.9824,8.81,8.8,9.21,8.71,2021-09-22 04:00:00,1320,RSVR
86017,8.7274,8.8,8.76,9.03,8.57,2021-09-23 04:00:00,969,RSVR
59898,8.8628,8.66,8.94,9.06,8.505700000000001,2021-09-24 04:00:00,847,RSVR
200738,9.1487,8.79,9.09,9.4056,8.79,2021-09-27 04:00:00,2246,RSVR
274121,8.7029,9.01,8.82,9.49,8.46,2021-09-28 04:00:00,2044,RSVR
105828,8.5664,8.77,8.54,8.77,8.37,2021-09-29 04:00:00,1039,RSVR
324033,9.0525,8.58,9.11,9.6299,8.45,2021-09-30 04:00:00,1998,RSVR
111185,8.8547,9.01,8.72,9.01,8.68,2021-10-01 04:00:00,1351,RSVR
61576,8.4471,8.64,8.29,8.82,8.26,2021-10-04 04:00:00,1030,RSVR
92647,8.4016,8.32,8.48,8.73,8.19,2021-10-05 04:00:00,954,RSVR
70770,8.1895,8.32,8.15,8.47,8.03,2021-10-06 04:00:00,1003,RSVR
79142,8.3462,8.12,8.27,8.59,8.09,2021-10-07 04:00:00,1217,RSVR
146644,8.6347,8.33,8.75,8.89,8.33,2021-10-08 04:00:00,1940,RSVR
138868,9.0089,8.71,8.92,9.286200000000001,8.71,2021-10-11 04:00:00,1478,RSVR
44423,8.8887,8.87,8.87,9.05,8.71,2021-10-12 04:00:00,785,RSVR
74564,9.0065,8.93,9.18,9.18,8.737400000000001,2021-10-13 04:00:00,1258,RSVR
76078,9.1357,9.21,9.05,9.33,9.0,2021-10-14 04:00:00,1387,RSVR
35903,9.0046,9.05,8.99,9.07,8.93,2021-10-15 04:00:00,816,RSVR
21686,8.958,8.85,8.95,9.11,8.85,2021-10-18 04:00:00,529,RSVR
42362,8.881,8.92,9.0,9.09,8.7027,2021-10-19 04:00:00,712,RSVR
41054,8.9699,9.01,8.97,9.07,8.7901,2021-10-20 04:00:00,671,RSVR
24674,8.9433,8.98,8.95,9.21,8.780100000000001,2021-10-21 04:00:00,365,RSVR
35107,8.8053,8.83,8.76,8.895,8.7,2021-10-22 04:00:00,612,RSVR
41839,8.7695,8.8,8.75,8.88,8.71,2021-10-25 04:00:00,731,RSVR
77591,8.7052,8.77,8.79,8.84,8.3,2021-10-26 04:00:00,1011,RSVR
483123,8.8886,8.64,8.76,9.0,8.0,2021-10-27 04:00:00,1493,RSVR
162578,8.542,8.67,8.59,8.87,8.5,2021-10-28 04:00:00,878,RSVR
120284,8.5782,8.56,8.58,8.69,8.38,2021-10-29 04:00:00,1334,RSVR
464642,8.8603,8.55,9.27,9.6,8.4582,2021-11-01 04:00:00,2080,RSVR
62654,9.4743,9.19,9.62,9.65,9.11,2021-11-02 04:00:00,1369,RSVR
28818,9.6493,9.6,9.65,9.84,9.4,2021-11-03 04:00:00,911,RSVR
25504,9.6292,9.62,9.71,9.72,9.4501,2021-11-04 04:00:00,698,RSVR
62602,9.8461,9.73,9.88,10.0,9.54,2021-11-05 04:00:00,987,RSVR
86605,9.9948,9.85,9.9,10.28,9.735,2021-11-08 05:00:00,1413,RSVR
59864,9.7034,9.89,9.7,9.9725,9.57,2021-11-09 05:00:00,1605,RSVR
131565,9.4722,9.7,9.59,9.7,9.225,2021-11-10 05:00:00,1098,RSVR
79455,9.5366,9.64,9.45,9.77,9.33,2021-11-11 05:00:00,973,RSVR
20088,9.4226,9.41,9.45,9.47,9.25,2021-11-12 05:00:00,371,RSVR
58156,9.3748,9.46,9.36,9.77,9.21,2021-11-15 05:00:00,696,RSVR
176476,8.899000000000001,8.76,8.86,9.48,8.76,2021-11-16 05:00:00,1181,RSVR
63676,8.6736,8.9,8.69,8.9494,8.38,2021-11-17 05:00:00,758,RSVR
39744,8.4206,8.61,8.35,8.68,8.33,2021-11-18 05:00:00,617,RSVR
26155,8.2863,8.265,8.27,8.45,8.11,2021-11-19 05:00:00,410,RSVR
38432,8.0034,8.2,8.02,8.31,7.827,2021-11-22 05:00:00,803,RSVR
119914,7.6674,7.95,7.65,8.13,7.5,2021-11-23 05:00:00,2082,RSVR
54947,7.8469999999999995,7.6,7.85,7.99,7.6,2021-11-24 05:00:00,1111,RSVR
70314,7.7842,7.69,7.79,8.17,7.5600000000000005,2021-11-26 05:00:00,921,RSVR
156379,7.3557,7.72,7.25,7.88,7.2,2021-11-29 05:00:00,2087,RSVR
157254,7.2015,7.28,7.45,7.66,6.84,2021-11-30 05:00:00,1164,RSVR
113187,7.2837,7.62,7.25,7.73,7.16,2021-12-01 05:00:00,1277,RSVR
43268,7.3343,7.21,7.3,7.47,6.92,2021-12-02 05:00:00,965,RSVR
513864,7.5173,7.25,7.61,8.4999,7.09,2021-12-03 05:00:00,3117,RSVR
68287,7.5151,7.66,7.5600000000000005,7.73,7.33,2021-12-06 05:00:00,1176,RSVR
62828,7.8165,7.64,7.71,8.085,7.57,2021-12-07 05:00:00,882,RSVR
71723,7.7586,7.8,7.88,7.95,7.5501000000000005,2021-12-08 05:00:00,777,RSVR
60043,7.7841000000000005,7.8,7.64,7.87,7.64,2021-12-09 05:00:00,666,RSVR
27965,7.6459,7.74,7.62,7.8,7.55,2021-12-10 05:00:00,512,RSVR
169098,7.3797,7.62,7.36,7.74,7.25,2021-12-13 05:00:00,1191,RSVR
33079,7.4557,7.37,7.49,7.595,7.26,2021-12-14 05:00:00,854,RSVR
