volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
146,27.845,27.845,27.9336,27.9336,27.845,2020-02-20 05:00:00,1.0,RTL
182,28.01,28.0704,28.0704,28.0704,28.0704,2020-02-21 05:00:00,3.0,RTL
4,27.87,27.8881,27.8881,27.8881,27.8881,2020-02-24 05:00:00,2.0,RTL
0,,27.149,27.149,27.149,27.149,2020-02-25 05:00:00,,RTL
1,26.8889,26.688,26.688,26.688,26.688,2020-02-26 05:00:00,1.0,RTL
300,25.7601,25.76,25.2793,25.7602,25.2793,2020-02-27 05:00:00,3.0,RTL
152,24.799,24.8488,24.758,24.8488,24.758,2020-02-28 05:00:00,5.0,RTL
2540,24.894,24.91,25.5075,25.5075,24.89,2020-03-02 05:00:00,4.0,RTL
460,25.5045,25.5,25.255,25.63,25.255,2020-03-03 05:00:00,6.0,RTL
250,25.7725,25.9861,25.9861,25.9861,25.9861,2020-03-04 05:00:00,5.0,RTL
2111,25.4041,25.46,25.4783,25.4783,25.36,2020-03-05 05:00:00,12.0,RTL
714,24.9009,24.9,25.1655,25.1655,24.885,2020-03-06 05:00:00,5.0,RTL
1,23.26,23.106,23.106,23.106,23.106,2020-03-09 04:00:00,1.0,RTL
1405,23.8592,23.86,23.985500000000002,23.985500000000002,23.86,2020-03-10 04:00:00,3.0,RTL
140,22.3534,22.353,22.5031,22.5031,22.353,2020-03-11 04:00:00,2.0,RTL
811,20.098,19.97,19.8915,20.0339,19.8915,2020-03-12 04:00:00,14.0,RTL
1334,20.2274,19.89,21.078,21.078,19.89,2020-03-13 04:00:00,15.0,RTL
201,16.7554,16.75,16.75,16.75,16.75,2020-03-16 04:00:00,2.0,RTL
1849,16.0737,16.05,16.3261,16.3261,16.05,2020-03-17 04:00:00,18.0,RTL
4820,14.2652,14.7,12.9829,14.7,12.87,2020-03-18 04:00:00,8.0,RTL
2869,13.8081,13.8938,14.1331,14.1825,13.6,2020-03-19 04:00:00,13.0,RTL
1,14.4975,13.9347,13.9347,13.9347,13.9347,2020-03-20 04:00:00,1.0,RTL
120,12.3273,12.3067,12.7575,12.7575,12.3067,2020-03-23 04:00:00,3.0,RTL
10,13.717,14.1628,14.1628,14.1628,14.1628,2020-03-24 04:00:00,1.0,RTL
1202,14.566,14.17,15.3184,15.3184,14.17,2020-03-25 04:00:00,10.0,RTL
265,15.5667,15.8348,15.8348,15.8348,15.8348,2020-03-26 04:00:00,4.0,RTL
2726,15.1901,15.23,15.0729,15.2805,15.0729,2020-03-27 04:00:00,21.0,RTL
146,14.7106,14.5858,14.5858,14.5858,14.5858,2020-03-30 04:00:00,5.0,RTL
69,14.4159,14.1281,14.1281,14.1281,14.1281,2020-03-31 04:00:00,9.0,RTL
1928,12.7321,12.8,12.856,12.856,12.5785,2020-04-01 04:00:00,39.0,RTL
57,12.5642,12.3994,12.3994,12.3994,12.3994,2020-04-02 04:00:00,8.0,RTL
885,12.3227,12.35,12.1711,12.35,12.1711,2020-04-03 04:00:00,37.0,RTL
1,13.4768,13.2538,13.2538,13.2538,13.2538,2020-04-06 04:00:00,1.0,RTL
2018,14.4056,14.3,14.08,14.64,14.08,2020-04-07 04:00:00,21.0,RTL
