volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
881706,40.0337,37.86,40.05,40.92,37.5,2020-02-20 05:00:00,9285,SATS
362138,39.1065,39.81,39.08,40.25,38.76,2020-02-21 05:00:00,4864,SATS
630774,38.4247,37.99,38.34,39.03,37.51,2020-02-24 05:00:00,6216,SATS
368944,37.8109,38.57,37.46,38.9399,37.46,2020-02-25 05:00:00,5436,SATS
978924,36.6163,37.66,36.35,38.12,36.3,2020-02-26 05:00:00,6254,SATS
640404,35.3667,35.54,35.04,36.18,34.83,2020-02-27 05:00:00,5428,SATS
950543,34.3826,33.91,34.92,34.95,33.535,2020-02-28 05:00:00,6128,SATS
1070971,34.7739,34.99,35.3,35.45,33.88,2020-03-02 05:00:00,9852,SATS
630062,35.2342,35.26,34.95,36.23,34.41,2020-03-03 05:00:00,6992,SATS
466236,35.5278,35.31,35.96,36.015,34.55,2020-03-04 05:00:00,4904,SATS
514237,34.397,34.93,34.46,35.22,33.81,2020-03-05 05:00:00,5792,SATS
581889,33.6096,33.45,33.88,34.04,32.93,2020-03-06 05:00:00,6944,SATS
738343,31.3013,31.66,31.33,32.42,30.125,2020-03-09 04:00:00,9951,SATS
796622,32.4843,32.05,32.99,33.05,31.75,2020-03-10 04:00:00,8210,SATS
466172,31.8585,32.21,31.8,32.4514,31.4,2020-03-11 04:00:00,6242,SATS
1630237,29.7656,30.08,29.39,30.978,29.08,2020-03-12 04:00:00,13306,SATS
724451,30.2588,30.63,31.11,31.25,29.2,2020-03-13 04:00:00,8852,SATS
705626,28.7358,27.1,28.33,30.45,27.1,2020-03-16 04:00:00,6826,SATS
1287421,28.1866,28.01,28.08,29.17,27.0,2020-03-17 04:00:00,9975,SATS
1043984,26.1433,27.02,26.72,27.66,25.2334,2020-03-18 04:00:00,10106,SATS
1028628,28.7062,26.47,29.81,29.905,25.62,2020-03-19 04:00:00,8092,SATS
1304977,29.7752,29.95,30.01,30.69,28.805,2020-03-20 04:00:00,10806,SATS
669498,29.3226,30.11,29.81,31.0,28.45,2020-03-23 04:00:00,8876,SATS
710981,30.9877,31.17,31.28,31.885,29.95,2020-03-24 04:00:00,4903,SATS
753637,32.6719,31.35,32.87,33.64,30.0,2020-03-25 04:00:00,5802,SATS
462389,35.065,33.22,35.87,36.09,33.0977,2020-03-26 04:00:00,6706,SATS
334651,33.1584,34.54,32.07,35.415,31.76,2020-03-27 04:00:00,5452,SATS
253951,31.9395,32.26,32.11,33.32,31.48,2020-03-30 04:00:00,4077,SATS
424866,31.9306,32.01,31.97,32.85,31.32,2020-03-31 04:00:00,3529,SATS
423263,30.3778,31.05,30.55,31.27,29.99,2020-04-01 04:00:00,5226,SATS
