volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
606259,290.052,289.59,292.13,292.39,286.02,2020-02-20 05:00:00,12020,SBAC
1696023,297.0817,292.43,295.65,309.85,287.38,2020-02-21 05:00:00,16723,SBAC
825379,296.25,295.8,295.51,299.04,294.29,2020-02-24 05:00:00,13221,SBAC
881646,292.9073,295.88,291.09,302.39,287.49,2020-02-25 05:00:00,15181,SBAC
844443,288.821,292.51,288.28,293.28,285.22,2020-02-26 05:00:00,17292,SBAC
1324870,278.5192,283.0,271.89,288.395,270.58,2020-02-27 05:00:00,19656,SBAC
1942492,263.2889,267.05,265.09,268.44,257.22,2020-02-28 05:00:00,33573,SBAC
1231499,278.6376,266.95,285.05,285.2,265.95,2020-03-02 05:00:00,21251,SBAC
1193961,287.9522,285.0,286.66,295.4,281.94,2020-03-03 05:00:00,23924,SBAC
1180758,297.2086,288.62,303.24,304.61,287.5,2020-03-04 05:00:00,20443,SBAC
1020683,300.3219,297.49,300.32,303.69,295.88,2020-03-05 05:00:00,20076,SBAC
1049590,286.6798,292.64,285.57,295.78,276.79,2020-03-06 05:00:00,18719,SBAC
1079080,268.1953,270.44,264.71,276.05,264.09,2020-03-09 04:00:00,23610,SBAC
1176866,274.3557,270.29,281.89,282.74,265.31,2020-03-10 04:00:00,23815,SBAC
1096002,274.6665,272.91,274.7,280.325,271.21,2020-03-11 04:00:00,20532,SBAC
1721545,263.6945,257.15,263.96,282.05,245.53,2020-03-12 04:00:00,32034,SBAC
1530122,275.86,276.37,281.89,282.695,265.75,2020-03-13 04:00:00,27438,SBAC
1664855,266.2036,259.56,256.71,276.45,246.58,2020-03-16 04:00:00,28832,SBAC
1576711,269.9587,264.63,274.46,280.74,254.9,2020-03-17 04:00:00,26954,SBAC
1528872,265.267,268.54,260.25,279.86,254.41,2020-03-18 04:00:00,25968,SBAC
1396196,243.1663,261.9,245.14,261.9,232.7,2020-03-19 04:00:00,25459,SBAC
1384292,237.371,247.22,229.33,249.24,228.13,2020-03-20 04:00:00,22835,SBAC
1736207,214.7757,231.51,215.46,231.51,205.2,2020-03-23 04:00:00,28450,SBAC
1703096,233.2508,221.93,242.24,244.87,220.54,2020-03-24 04:00:00,25368,SBAC
1178941,245.0891,237.99,243.14,251.22,237.99,2020-03-25 04:00:00,21619,SBAC
1038350,257.9751,245.13,264.49,267.27,243.37,2020-03-26 04:00:00,15495,SBAC
849703,260.652,251.25,261.38,270.04,251.25,2020-03-27 04:00:00,15094,SBAC
824737,274.1132,269.42,278.66,280.4,260.12,2020-03-30 04:00:00,16522,SBAC
1856039,269.4789,273.79,269.97,274.285,262.44,2020-03-31 04:00:00,25722,SBAC
834481,258.077,258.3,260.47,268.0,252.16,2020-04-01 04:00:00,15429,SBAC
1091704,271.9181,259.55,274.94,278.64,256.365,2020-04-02 04:00:00,17512,SBAC
668638,265.7302,272.91,264.8,276.235,260.39,2020-04-03 04:00:00,11287,SBAC
1380493,276.6336,272.88,277.46,279.32,268.44,2020-04-06 04:00:00,14477,SBAC
734128,280.9282,289.5,276.66,290.0,276.49,2020-04-07 04:00:00,13267,SBAC
864090,294.1108,279.07,302.06,303.73,277.52,2020-04-08 04:00:00,13959,SBAC
1386227,306.1666,304.9,305.81,314.84,297.77,2020-04-09 04:00:00,21260,SBAC
601748,291.1775,302.88,289.0,304.05,284.93,2020-04-13 04:00:00,11497,SBAC
805758,302.3184,293.81,302.61,308.77,290.01,2020-04-14 04:00:00,14199,SBAC
661179,301.1855,302.58,301.82,303.57,295.0,2020-04-15 04:00:00,10317,SBAC
584889,306.5182,300.52,308.7,309.77,300.13,2020-04-16 04:00:00,9941,SBAC
762663,312.3019,313.57,314.83,315.84,308.34,2020-04-17 04:00:00,11880,SBAC
585812,303.3543,311.75,300.27,311.75,299.6363,2020-04-20 04:00:00,10225,SBAC
555802,296.8644,298.36,294.03,302.75,293.25,2020-04-21 04:00:00,11625,SBAC
608219,305.6563,298.5,306.56,310.0,296.59,2020-04-22 04:00:00,9628,SBAC
637268,308.1075,306.17,306.67,313.46,303.83,2020-04-23 04:00:00,12219,SBAC
731702,304.4147,308.33,305.79,308.45,297.14,2020-04-24 04:00:00,11287,SBAC
653029,307.9547,306.62,308.8,309.62,303.49,2020-04-27 04:00:00,9896,SBAC
662463,310.6213,317.11,305.31,317.11,305.03,2020-04-28 04:00:00,11800,SBAC
1031560,299.0236,306.02,291.47,309.69,291.05,2020-04-29 04:00:00,16368,SBAC
1679292,289.7458,288.08,289.92,292.47,285.88,2020-04-30 04:00:00,18759,SBAC
584071,288.2452,287.96,286.76,292.32,285.17,2020-05-01 04:00:00,12536,SBAC
797618,285.6118,290.77,288.5,293.36,278.12,2020-05-04 04:00:00,12156,SBAC
730915,294.8654,285.04,294.51,297.95,285.04,2020-05-05 04:00:00,14237,SBAC
818924,289.9663,295.95,288.35,300.02,285.22,2020-05-06 04:00:00,15102,SBAC
874611,286.6691,290.59,286.13,292.95,284.52,2020-05-07 04:00:00,12911,SBAC
708498,291.4759,291.12,291.86,294.43,289.09,2020-05-08 04:00:00,11910,SBAC
1005638,297.201,289.8,296.56,300.75,288.96,2020-05-11 04:00:00,13060,SBAC
666094,292.9819,296.56,289.17,298.83,288.8,2020-05-12 04:00:00,14428,SBAC
789384,287.899,288.73,284.09,294.25,283.29,2020-05-13 04:00:00,13751,SBAC
682019,282.4896,278.86,282.93,285.14,278.86,2020-05-14 04:00:00,14619,SBAC
596330,281.264,282.29,284.1,285.435,276.36,2020-05-15 04:00:00,11281,SBAC
847290,288.3028,292.11,289.33,292.68,284.46,2020-05-18 04:00:00,14921,SBAC
473586,286.8163,285.14,284.3,293.33,284.05,2020-05-19 04:00:00,11193,SBAC
505383,284.0664,286.89,283.75,290.3517,279.0,2020-05-20 04:00:00,10062,SBAC
495494,281.3614,280.71,281.29,284.33,279.49,2020-05-21 04:00:00,10661,SBAC
858633,288.1593,282.25,289.96,290.59,279.525,2020-05-22 04:00:00,15196,SBAC
771585,292.2362,293.62,293.49,296.6,285.83,2020-05-26 04:00:00,15426,SBAC
639438,297.3011,293.02,302.89,303.0,289.9541,2020-05-27 04:00:00,15523,SBAC
564494,310.0605,304.0,310.69,313.46,303.81,2020-05-28 04:00:00,12037,SBAC
727335,312.3259,310.81,314.13,315.01,306.02,2020-05-29 04:00:00,13196,SBAC
715666,317.6839,314.68,317.68,320.77,311.685,2020-06-01 04:00:00,16376,SBAC
609574,317.6139,314.35,318.26,319.98,314.15,2020-06-02 04:00:00,10353,SBAC
606188,317.0048,312.33,314.95,323.025,312.33,2020-06-03 04:00:00,15665,SBAC
864116,302.7732,312.19,300.59,314.99,298.8499,2020-06-04 04:00:00,19786,SBAC
1385193,297.7449,312.68,297.18,312.68,294.81,2020-06-05 04:00:00,25252,SBAC
1122830,294.9371,295.5,294.64,298.75,293.1851,2020-06-08 04:00:00,20692,SBAC
875379,305.6931,299.63,308.25,309.675,294.085,2020-06-09 04:00:00,19894,SBAC
583891,306.5014,307.66,306.12,311.32,300.79,2020-06-10 04:00:00,14463,SBAC
1060353,294.7041,306.09,290.0,306.09,289.5304,2020-06-11 04:00:00,20925,SBAC
597670,295.7393,294.95,297.37,298.9678,292.46,2020-06-12 04:00:00,18782,SBAC
582667,296.1974,293.77,299.37,299.775,289.66,2020-06-15 04:00:00,14550,SBAC
690362,301.0366,305.45,302.04,305.45,294.9,2020-06-16 04:00:00,15407,SBAC
773520,300.145,305.65,297.89,306.78,297.34,2020-06-17 04:00:00,14167,SBAC
792416,292.4534,298.18,289.29,299.71,288.6,2020-06-18 04:00:00,14413,SBAC
2355965,299.3888,292.0056,302.3,307.53,288.87,2020-06-19 04:00:00,19091,SBAC
844908,295.5473,300.85,297.12,302.93,291.14,2020-06-22 04:00:00,16194,SBAC
661609,295.7533,297.95,293.78,299.45,292.01,2020-06-23 04:00:00,13753,SBAC
1086560,286.3884,291.75,287.77,295.18,281.985,2020-06-24 04:00:00,20698,SBAC
1002762,286.208,284.59,289.29,289.52,281.15,2020-06-25 04:00:00,18440,SBAC
4149296,293.779,291.33,294.19,295.94,285.95,2020-06-26 04:00:00,24911,SBAC
632851,289.5029,298.32,289.18,298.32,287.135,2020-06-29 04:00:00,16252,SBAC
772046,296.311,289.68,297.92,299.7,289.56,2020-06-30 04:00:00,13581,SBAC
623319,299.0561,297.72,301.35,303.3,291.04,2020-07-01 04:00:00,13246,SBAC
594438,303.2985,304.13,300.58,307.7,300.09,2020-07-02 04:00:00,14086,SBAC
728605,303.9836,304.5,302.39,309.99,301.21,2020-07-06 04:00:00,12997,SBAC
549290,306.9615,300.23,305.49,310.86,298.91,2020-07-07 04:00:00,12076,SBAC
489655,304.1618,307.73,303.18,308.33,301.975,2020-07-08 04:00:00,12080,SBAC
380608,305.3705,302.26,307.78,308.16,300.13,2020-07-09 04:00:00,10021,SBAC
521490,303.9702,308.92,304.42,309.83,301.71,2020-07-10 04:00:00,12448,SBAC
741372,296.1073,300.99,291.73,304.22,289.03,2020-07-13 04:00:00,16037,SBAC
712566,294.9715,297.02,297.12,298.26,291.43,2020-07-14 04:00:00,15898,SBAC
745375,292.3827,297.91,292.91,298.25,288.97,2020-07-15 04:00:00,13548,SBAC
393344,291.3512,292.59,291.56,293.24,289.035,2020-07-16 04:00:00,10508,SBAC
397543,296.9593,296.19,297.64,300.23,291.04,2020-07-17 04:00:00,7618,SBAC
472792,301.4272,296.78,300.78,304.98,296.78,2020-07-20 04:00:00,10052,SBAC
480465,297.8815,301.76,296.85,303.48,295.58,2020-07-21 04:00:00,9428,SBAC
319248,297.51,297.17,298.2,299.58,295.21,2020-07-22 04:00:00,7107,SBAC
537515,298.8884,298.68,298.68,302.33,294.19,2020-07-23 04:00:00,10316,SBAC
520219,298.9944,298.49,298.68,301.28,295.22,2020-07-24 04:00:00,9716,SBAC
671338,303.8805,298.93,304.49,308.21,298.07,2020-07-27 04:00:00,11058,SBAC
774852,309.8738,305.82,312.24,312.96,305.02,2020-07-28 04:00:00,14417,SBAC
665648,317.7088,312.2,317.57,321.19,312.2,2020-07-29 04:00:00,14407,SBAC
707884,311.3212,310.0,311.41,315.0,309.04,2020-07-30 04:00:00,14367,SBAC
530880,310.4946,313.72,311.54,314.34,307.95,2020-07-31 04:00:00,10872,SBAC
441450,306.654,310.62,305.39,312.82,304.07,2020-08-03 04:00:00,11594,SBAC
896490,311.5733,311.56,310.31,319.92,307.135,2020-08-04 04:00:00,13557,SBAC
412318,306.6784,315.21,306.48,315.21,303.23,2020-08-05 04:00:00,10763,SBAC
514458,304.7512,304.35,307.33,308.06,300.68,2020-08-06 04:00:00,11546,SBAC
324207,311.0257,307.13,311.28,313.0,306.925,2020-08-07 04:00:00,9067,SBAC
808133,301.2728,310.58,300.83,311.11,298.78,2020-08-10 04:00:00,13043,SBAC
663527,299.0045,305.96,295.64,305.96,294.57,2020-08-11 04:00:00,13570,SBAC
483968,303.1116,296.74,304.39,305.4,295.93,2020-08-12 04:00:00,10698,SBAC
316714,306.1327,302.72,304.63,308.915,302.72,2020-08-13 04:00:00,8386,SBAC
271170,303.8148,303.01,303.17,307.46,301.13,2020-08-14 04:00:00,5965,SBAC
357839,306.177,303.03,307.74,308.1,302.3,2020-08-17 04:00:00,8280,SBAC
358968,308.0429,309.01,307.47,310.72,306.51,2020-08-18 04:00:00,8987,SBAC
587782,298.4281,308.27,298.22,308.27,296.36,2020-08-19 04:00:00,9965,SBAC
249328,300.8064,297.47,299.81,303.815,297.17,2020-08-20 04:00:00,8595,SBAC
423553,303.9953,308.77,305.44,308.77,299.84,2020-08-21 04:00:00,10281,SBAC
406705,300.0219,303.67,301.52,303.87,296.5,2020-08-24 04:00:00,9763,SBAC
359693,302.7396,300.18,304.47,305.1,298.08,2020-08-25 04:00:00,8994,SBAC
373449,302.1902,300.62,303.46,303.79,299.16,2020-08-26 04:00:00,8028,SBAC
419626,305.4996,306.68,305.93,307.46,303.18,2020-08-27 04:00:00,7076,SBAC
312956,304.7687,305.96,306.19,306.23,302.05,2020-08-28 04:00:00,7404,SBAC
483092,306.1595,305.67,306.07,307.32,304.1,2020-08-31 04:00:00,7946,SBAC
308376,306.453,305.62,306.62,309.91,303.22,2020-09-01 04:00:00,9917,SBAC
548429,313.1747,309.93,314.17,315.37,304.88,2020-09-02 04:00:00,12379,SBAC
509435,306.5249,312.82,306.77,314.96,303.01,2020-09-03 04:00:00,12148,SBAC
480391,300.6766,305.48,300.29,308.17,296.15,2020-09-04 04:00:00,11223,SBAC
729784,304.6323,299.79,305.79,308.25,294.345,2020-09-08 04:00:00,16418,SBAC
908816,314.123,307.38,313.36,319.32,307.38,2020-09-09 04:00:00,13962,SBAC
562356,305.827,312.58,303.38,312.58,303.26,2020-09-10 04:00:00,11092,SBAC
344879,304.9385,304.17,304.57,307.26,302.89,2020-09-11 04:00:00,9617,SBAC
389444,309.7864,305.94,309.69,311.5766,305.94,2020-09-14 04:00:00,8078,SBAC
