volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5969200,88.7062,89.73,88.6,90.25,87.73,2020-02-20 05:00:00,57446,SBUX
5801705,87.4802,88.0,87.36,88.39,87.0,2020-02-21 05:00:00,54312,SBUX
8313643,84.9894,84.53,84.52,86.0513,84.26,2020-02-24 05:00:00,87273,SBUX
9403953,82.7876,85.02,82.19,85.35,81.67,2020-02-25 05:00:00,88259,SBUX
10549302,81.6247,82.6,80.67,83.24,80.64,2020-02-26 05:00:00,91339,SBUX
17120832,78.996,78.83,78.29,80.87,77.36,2020-02-27 05:00:00,147123,SBUX
19120249,77.6861,76.17,78.43,78.81,75.72,2020-02-28 05:00:00,168790,SBUX
14258675,80.5701,77.92,82.38,82.41,77.66,2020-03-02 05:00:00,118652,SBUX
12395890,79.7398,82.3,78.6,82.615,78.11,2020-03-03 05:00:00,127070,SBUX
10999608,79.0711,79.29,79.67,80.2,77.88,2020-03-04 05:00:00,98622,SBUX
12545266,76.3612,77.9,76.19,77.9,75.28,2020-03-05 05:00:00,127570,SBUX
18080148,74.4264,73.46,75.34,75.71,72.05,2020-03-06 05:00:00,157742,SBUX
15930310,71.998,70.58,70.83,74.03,70.08,2020-03-09 04:00:00,147885,SBUX
18414048,72.678,72.56,74.87,74.95,70.03,2020-03-10 04:00:00,180291,SBUX
17161368,69.8643,72.83,68.3,74.27,67.4,2020-03-11 04:00:00,167972,SBUX
25170629,63.094,62.9535,62.1,66.793,61.46,2020-03-12 04:00:00,199038,SBUX
19247179,66.0936,65.65,69.92,70.18,63.51,2020-03-13 04:00:00,185511,SBUX
23354347,61.0612,60.63,58.59,63.949,58.11,2020-03-16 04:00:00,198829,SBUX
25045192,57.0747,59.55,58.98,59.6199,53.61,2020-03-17 04:00:00,240744,SBUX
28770619,53.5668,55.55,56.33,57.65,50.02,2020-03-18 04:00:00,257417,SBUX
25167423,59.8924,56.23,61.41,63.36,53.55,2020-03-19 04:00:00,216484,SBUX
28420576,61.481,62.3,58.03,65.68,57.91,2020-03-20 04:00:00,215231,SBUX
24905790,55.9984,57.23,56.55,57.44,54.0,2020-03-23 04:00:00,212283,SBUX
28286186,63.5318,62.61,64.88,65.16,61.0,2020-03-24 04:00:00,247747,SBUX
22977186,67.0533,66.83,65.81,69.64,63.4927,2020-03-25 04:00:00,215237,SBUX
21005282,69.7669,66.71,69.9,71.58,66.25,2020-03-26 04:00:00,187551,SBUX
18950460,66.5938,66.68,66.34,68.25,64.8202,2020-03-27 04:00:00,175726,SBUX
14199717,66.9068,66.56,67.86,68.2199,64.58,2020-03-30 04:00:00,130308,SBUX
20109803,66.4668,67.18,65.74,68.32,65.31,2020-03-31 04:00:00,168156,SBUX
12880408,63.0355,63.0,62.62,64.76,61.58,2020-04-01 04:00:00,135135,SBUX
18175040,64.9804,65.75,65.0,68.7,62.91,2020-04-02 04:00:00,174965,SBUX
14676460,62.7911,64.47,63.05,64.75,60.9,2020-04-03 04:00:00,136804,SBUX
18010771,66.3056,66.27,67.79,68.34,64.41,2020-04-06 04:00:00,158381,SBUX
13799395,69.9868,71.5676,68.71,72.48,68.335,2020-04-07 04:00:00,142461,SBUX
10417639,70.8313,69.58,71.57,71.92,68.5377,2020-04-08 04:00:00,109630,SBUX
19769563,72.6701,71.2,73.88,74.255,70.14,2020-04-09 04:00:00,190542,SBUX
11191792,71.4749,73.5203,71.76,73.6,70.35,2020-04-13 04:00:00,110193,SBUX
10911999,73.6507,73.69,73.67,74.33,72.66,2020-04-14 04:00:00,107409,SBUX
10642533,72.0172,72.01,72.55,73.175,70.71,2020-04-15 04:00:00,103748,SBUX
11946812,72.9103,73.11,73.51,73.76,71.345,2020-04-16 04:00:00,109117,SBUX
14268386,76.2244,76.62,77.1,77.39,74.97,2020-04-17 04:00:00,136884,SBUX
9684741,75.9133,76.02,75.32,76.98,75.085,2020-04-20 04:00:00,98475,SBUX
10345787,72.751,73.4,72.72,73.96,71.74,2020-04-21 04:00:00,116743,SBUX
11355290,76.6147,74.55,77.45,78.06,74.43,2020-04-22 04:00:00,106289,SBUX
15513357,75.537,77.33,75.15,77.67,74.26,2020-04-23 04:00:00,144507,SBUX
8460619,75.1682,75.75,75.58,76.03,74.21,2020-04-24 04:00:00,76227,SBUX
8258468,77.5197,76.68,77.74,78.04,76.55,2020-04-27 04:00:00,83179,SBUX
12801126,78.65,78.67,78.69,79.61,76.96,2020-04-28 04:00:00,118912,SBUX
24575514,77.411,78.18,76.86,78.75,76.72,2020-04-29 04:00:00,215136,SBUX
15186034,76.3233,76.83,76.73,77.64,75.19,2020-04-30 04:00:00,136683,SBUX
11216703,74.0247,74.9,73.79,75.8799,73.21,2020-05-01 04:00:00,119520,SBUX
12921428,71.8946,72.58,71.89,72.62,71.255,2020-05-04 04:00:00,126815,SBUX
12976000,73.9507,74.96,72.9,75.08,72.89,2020-05-05 04:00:00,115863,SBUX
12740910,73.7588,73.767,72.96,74.85,72.86,2020-05-06 04:00:00,105897,SBUX
13369310,75.0525,73.81,76.0,76.03,73.37,2020-05-07 04:00:00,106148,SBUX
11921827,77.142,77.25,77.87,77.93,75.76,2020-05-08 04:00:00,103820,SBUX
9004538,76.3254,76.62,75.87,77.18,75.795,2020-05-11 04:00:00,88226,SBUX
8549922,75.6136,76.0,74.35,76.73,74.34,2020-05-12 04:00:00,87705,SBUX
11532701,74.0259,74.46,73.62,75.75,72.92,2020-05-13 04:00:00,111181,SBUX
11932250,72.5979,72.32,74.19,74.29,70.65,2020-05-14 04:00:00,118166,SBUX
9489146,73.9887,72.81,74.16,74.64,72.6746,2020-05-15 04:00:00,85649,SBUX
8912473,76.6718,76.86,76.23,77.5,76.2,2020-05-18 04:00:00,93706,SBUX
6484878,76.5414,76.4,75.86,77.225,75.76,2020-05-19 04:00:00,70987,SBUX
7790481,77.3538,77.23,77.76,77.84,76.52,2020-05-20 04:00:00,75324,SBUX
10312641,78.4845,78.6,78.05,79.375,77.89,2020-05-21 04:00:00,96293,SBUX
7653155,77.2578,77.9,77.62,78.05,76.52,2020-05-22 04:00:00,79016,SBUX
8422189,78.3783,79.6,77.76,79.92,77.575,2020-05-26 04:00:00,95732,SBUX
8245290,78.1644,78.98,78.6,78.98,77.385,2020-05-27 04:00:00,91751,SBUX
8333918,79.0274,78.64,78.54,80.06,77.93,2020-05-28 04:00:00,84607,SBUX
10108989,77.9165,78.62,77.99,78.64,77.26,2020-05-29 04:00:00,94118,SBUX
7936695,78.0299,77.66,78.32,78.65,76.77,2020-06-01 04:00:00,88427,SBUX
9521014,77.4292,77.97,77.78,78.255,76.79,2020-06-02 04:00:00,99698,SBUX
9956111,79.4167,78.45,79.58,79.95,78.3,2020-06-03 04:00:00,98752,SBUX
7667564,78.9979,79.31,78.74,80.17,78.47,2020-06-04 04:00:00,79269,SBUX
