volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
560391,9.4178,9.37,9.33,9.65,9.2,2021-07-02 04:00:00,1885,SHCR
769044,8.4962,9.39,8.28,9.4325,8.24,2021-07-06 04:00:00,4095,SHCR
890310,8.4971,9.0,7.83,9.1436,7.73,2021-07-07 04:00:00,4478,SHCR
1296389,7.4716000000000005,7.8100000000000005,7.43,8.03,7.2017,2021-07-08 04:00:00,4987,SHCR
588536,7.7313,7.53,7.77,8.075,7.31,2021-07-09 04:00:00,2827,SHCR
580287,7.376,8.1488,7.35,8.1488,7.17,2021-07-12 04:00:00,3225,SHCR
470587,7.3025,7.43,7.15,7.6,7.09,2021-07-13 04:00:00,2934,SHCR
1310303,6.7398,7.21,6.43,7.44,6.35,2021-07-14 04:00:00,4800,SHCR
386246,6.6708,6.44,6.7,6.79,6.39,2021-07-15 04:00:00,2105,SHCR
384495,6.5884,6.69,6.48,6.98,6.41,2021-07-16 04:00:00,2185,SHCR
814486,6.611,6.45,6.71,6.8599,6.37,2021-07-19 04:00:00,4368,SHCR
943325,6.6923,7.2,6.5,7.2,6.4,2021-07-20 04:00:00,4105,SHCR
1688009,6.9312000000000005,6.47,7.17,7.33,6.45,2021-07-21 04:00:00,7024,SHCR
1022284,7.2017,7.09,7.31,7.35,6.9,2021-07-22 04:00:00,3467,SHCR
477506,7.1933,7.3,7.46,7.48,6.88,2021-07-23 04:00:00,2942,SHCR
554166,7.0896,7.45,7.17,7.58,6.8100000000000005,2021-07-26 04:00:00,2950,SHCR
636320,6.7204,7.04,6.5600000000000005,7.07,6.52,2021-07-27 04:00:00,2750,SHCR
637570,7.0535,7.07,7.1,7.38,6.71,2021-07-28 04:00:00,4614,SHCR
758980,7.31,7.02,7.42,7.8100000000000005,7.0,2021-07-29 04:00:00,4413,SHCR
672496,7.6823,7.2,8.06,8.41,7.03,2021-07-30 04:00:00,3876,SHCR
995670,8.2526,8.3,8.35,8.5,7.9,2021-08-02 04:00:00,7215,SHCR
1054176,7.8667,8.4,7.59,8.4,7.53,2021-08-03 04:00:00,6268,SHCR
4206673,6.9245,7.8100000000000005,6.8100000000000005,7.92,6.65,2021-08-04 04:00:00,22633,SHCR
772213,7.1533,6.984,7.32,7.39,6.83,2021-08-05 04:00:00,4251,SHCR
1077138,7.1089,7.28,7.16,7.38,6.91,2021-08-06 04:00:00,5697,SHCR
645190,7.2713,7.2,7.66,7.72,6.94,2021-08-09 04:00:00,3581,SHCR
1543023,7.435,7.79,7.5,7.79,7.08,2021-08-10 04:00:00,8050,SHCR
1404092,7.4911,7.85,7.39,8.09,7.1,2021-08-11 04:00:00,8572,SHCR
2778970,7.1664,7.31,7.42,7.67,6.66,2021-08-12 04:00:00,11723,SHCR
1497998,6.8383,7.36,6.75,7.4,6.7,2021-08-13 04:00:00,7931,SHCR
1203502,6.347,6.68,6.28,6.98,6.15,2021-08-16 04:00:00,8019,SHCR
2154450,6.0285,6.29,6.31,6.51,5.665,2021-08-17 04:00:00,7629,SHCR
1402331,6.4579,6.4,6.46,6.63,6.28,2021-08-18 04:00:00,6035,SHCR
1328335,6.6178,6.45,6.77,6.95,6.13,2021-08-19 04:00:00,6978,SHCR
709436,6.868,6.73,6.83,7.0,6.73,2021-08-20 04:00:00,5820,SHCR
1106316,7.3217,7.0,7.49,7.5600000000000005,6.95,2021-08-23 04:00:00,6803,SHCR
1454776,7.3084,7.49,7.24,7.66,7.02,2021-08-24 04:00:00,8081,SHCR
819714,7.2445,7.32,7.1,7.7,7.07,2021-08-25 04:00:00,5343,SHCR
1136875,7.2868,7.05,7.33,7.51,7.05,2021-08-26 04:00:00,5444,SHCR
1063241,7.5847,7.37,7.51,7.86,7.28,2021-08-27 04:00:00,7065,SHCR
908525,7.4218,7.61,7.4,7.6636,7.32,2021-08-30 04:00:00,6573,SHCR
1624983,7.4156,7.545,7.46,7.59,7.24,2021-08-31 04:00:00,7539,SHCR
1172776,7.7803,7.5264,7.95,8.08,7.3,2021-09-01 04:00:00,7026,SHCR
1487713,8.3998,7.92,8.59,8.69,7.83,2021-09-02 04:00:00,11980,SHCR
2018003,8.933,8.8793,9.15,9.28,8.51,2021-09-03 04:00:00,16732,SHCR
5539145,7.2858,9.15,7.16,9.2,6.93,2021-09-07 04:00:00,29885,SHCR
2639896,7.0854,7.31,6.83,7.34,6.79,2021-09-08 04:00:00,17129,SHCR
2737081,7.3542,6.8100000000000005,7.48,7.8,6.8100000000000005,2021-09-09 04:00:00,21396,SHCR
2441425,7.7938,7.36,8.02,8.14,7.3533,2021-09-10 04:00:00,18667,SHCR
1899656,8.0524,7.96,8.15,8.29,7.48,2021-09-13 04:00:00,15595,SHCR
1421843,8.1437,8.11,8.02,8.33,7.98,2021-09-14 04:00:00,11827,SHCR
1488855,8.4101,8.1,8.47,8.54,7.93,2021-09-15 04:00:00,10939,SHCR
1458477,8.7206,8.3,8.72,8.94,8.27,2021-09-16 04:00:00,14088,SHCR
17937696,9.0058,8.705,9.01,9.2,8.51,2021-09-17 04:00:00,20059,SHCR
918990,8.7521,8.55,8.77,9.03,8.37,2021-09-20 04:00:00,7569,SHCR
328891,8.5649,9.0478,8.45,9.0478,8.38,2021-09-21 04:00:00,2705,SHCR
614212,8.4822,8.47,8.43,8.67,8.25,2021-09-22 04:00:00,5708,SHCR
660048,8.6615,8.5626,8.77,8.84,8.32,2021-09-23 04:00:00,5443,SHCR
332125,8.6208,8.75,8.6,8.87,8.5,2021-09-24 04:00:00,3573,SHCR
590381,8.2204,8.6,8.19,8.7542,8.01,2021-09-27 04:00:00,5143,SHCR
727714,7.6862,8.09,7.5600000000000005,8.1494,7.52,2021-09-28 04:00:00,6656,SHCR
220355,7.5241,7.71,7.52,7.82,7.35,2021-09-29 04:00:00,1522,SHCR
1464501,8.1457,7.71,8.23,8.84,7.44,2021-09-30 04:00:00,8108,SHCR
668725,7.9074,8.255,8.02,8.255,7.55,2021-10-01 04:00:00,5351,SHCR
625954,7.4453,7.92,7.41,7.9952000000000005,7.26,2021-10-04 04:00:00,4235,SHCR
558771,7.4867,7.33,7.63,7.63,7.23,2021-10-05 04:00:00,3039,SHCR
332938,7.7372,7.55,7.83,7.9,7.52,2021-10-06 04:00:00,2644,SHCR
1339605,8.1772,8.03,8.32,8.46,7.8100000000000005,2021-10-07 04:00:00,6388,SHCR
1634911,7.7775,8.295,7.505,8.33,7.48,2021-10-08 04:00:00,9354,SHCR
762313,7.3979,7.68,7.22,7.7,7.2,2021-10-11 04:00:00,5762,SHCR
944329,7.2169,7.21,7.17,7.41,7.02,2021-10-12 04:00:00,5414,SHCR
569993,7.0155,7.24,7.03,7.25,6.92,2021-10-13 04:00:00,4257,SHCR
817287,7.0069,7.14,6.9,7.22,6.87,2021-10-14 04:00:00,5236,SHCR
716222,6.7938,7.0,6.83,7.02,6.68,2021-10-15 04:00:00,4595,SHCR
574389,6.8067,6.8,6.98,6.98,6.55,2021-10-18 04:00:00,4548,SHCR
445310,6.7849,6.95,6.84,6.95,6.64,2021-10-19 04:00:00,3367,SHCR
575226,7.0498,6.9,7.21,7.25,6.75,2021-10-20 04:00:00,3793,SHCR
465048,7.07,7.21,7.1,7.245,6.91,2021-10-21 04:00:00,3421,SHCR
483231,7.0706,7.04,7.1,7.1699,6.95,2021-10-22 04:00:00,3186,SHCR
2299367,7.6947,7.6,7.66,8.09,7.33,2021-10-25 04:00:00,13001,SHCR
752625,7.2571,7.67,7.31,7.67,7.04,2021-10-26 04:00:00,5765,SHCR
700519,6.9082,7.27,6.91,7.27,6.71,2021-10-27 04:00:00,5798,SHCR
802199,7.1424,6.91,7.14,7.36,6.835,2021-10-28 04:00:00,5888,SHCR
1525839,7.226,7.11,7.42,7.95,6.96,2021-10-29 04:00:00,5579,SHCR
446751,7.3381,7.395,7.42,7.47,7.18,2021-11-01 04:00:00,3983,SHCR
680517,7.1886,7.41,7.18,7.5686,7.05,2021-11-02 04:00:00,4350,SHCR
621137,7.382,7.22,7.43,7.71,7.06,2021-11-03 04:00:00,4263,SHCR
497639,7.324,7.52,7.34,7.61,7.21,2021-11-04 04:00:00,3326,SHCR
613534,7.1889,7.39,7.21,7.4,7.05,2021-11-05 04:00:00,4517,SHCR
605387,7.1698,7.27,7.13,7.34,7.07,2021-11-08 05:00:00,5505,SHCR
946766,7.0396,7.14,7.22,7.235,6.89,2021-11-09 05:00:00,5861,SHCR
2758215,7.7607,7.49,7.92,8.05,7.01,2021-11-10 05:00:00,14327,SHCR
1092743,8.2415,7.97,8.26,8.54,7.75,2021-11-11 05:00:00,8035,SHCR
868950,7.8178,8.27,7.77,8.4,7.61,2021-11-12 05:00:00,7208,SHCR
588925,7.4482,7.7,7.43,7.75,7.31,2021-11-15 05:00:00,5451,SHCR
731417,7.3325,7.41,7.36,7.49,7.17,2021-11-16 05:00:00,5408,SHCR
719693,7.0744,7.585,7.09,7.585,6.97,2021-11-17 05:00:00,4757,SHCR
979281,6.8458,6.965,6.77,7.03,6.75,2021-11-18 05:00:00,5226,SHCR
678298,6.6525,6.865,6.72,6.865,6.52,2021-11-19 05:00:00,4405,SHCR
871425,6.3293,6.69,6.21,6.9222,6.18,2021-11-22 05:00:00,6089,SHCR
1054477,5.911,6.25,5.91,6.25,5.72,2021-11-23 05:00:00,5740,SHCR
957750,6.1599,6.07,6.26,6.32,5.85,2021-11-24 05:00:00,6580,SHCR
600654,6.3089,6.19,6.31,6.5,6.18,2021-11-26 05:00:00,5193,SHCR
684442,6.2894,6.42,6.28,6.54,6.05,2021-11-29 05:00:00,5543,SHCR
654331,6.1983,6.22,6.33,6.359,5.99,2021-11-30 05:00:00,6331,SHCR
1341570,6.0124,6.43,5.96,6.49,5.845,2021-12-01 05:00:00,7235,SHCR
916517,5.7131,5.92,5.74,6.11,5.555,2021-12-02 05:00:00,7824,SHCR
1096669,5.7223,5.74,5.84,5.9615,5.53,2021-12-03 05:00:00,9141,SHCR
2237349,5.1279,5.83,5.17,5.83,4.91,2021-12-06 05:00:00,14834,SHCR
1032589,5.3217,5.24,5.28,5.6,5.23,2021-12-07 05:00:00,8067,SHCR
1556004,5.495,5.37,5.48,5.71,5.07,2021-12-08 05:00:00,11618,SHCR
1191610,5.086,5.345,5.1,5.5,4.94,2021-12-09 05:00:00,8114,SHCR
714144,4.9409,5.12,4.87,5.18,4.85,2021-12-10 05:00:00,5625,SHCR
1028294,4.8364,4.89,4.76,5.01,4.74,2021-12-13 05:00:00,7080,SHCR
1128609,4.8157,4.68,4.79,4.98,4.66,2021-12-14 05:00:00,6057,SHCR
1042800,4.7864,4.79,4.86,4.96,4.63,2021-12-15 05:00:00,7096,SHCR
803706,4.9015,5.0,4.85,5.1129,4.8100000000000005,2021-12-16 05:00:00,6121,SHCR
2458499,4.9828,4.85,5.0,5.12,4.73,2021-12-17 05:00:00,7381,SHCR
956772,4.8237,4.93,4.78,4.97,4.73,2021-12-20 05:00:00,7506,SHCR
1020641,4.864,4.82,4.95,4.98,4.72,2021-12-21 05:00:00,7957,SHCR
1139045,4.901,5.0,4.94,5.0682,4.73,2021-12-22 05:00:00,7807,SHCR
1319606,4.9016,4.959,4.96,5.085,4.69,2021-12-23 05:00:00,8843,SHCR
1094116,4.9907,4.88,5.0,5.13,4.8187,2021-12-27 05:00:00,6589,SHCR
6414637,4.386,4.94,4.37,4.95,4.15,2021-12-28 05:00:00,30255,SHCR
3029208,4.4393,4.33,4.53,4.64,4.2,2021-12-29 05:00:00,20263,SHCR
2430808,4.8065,4.54,4.84,4.96,4.47,2021-12-30 05:00:00,13996,SHCR
2226838,4.5548,4.77,4.49,4.87,4.46,2021-12-31 05:00:00,14149,SHCR
1985667,4.7205,4.5,4.73,4.9,4.46,2022-01-03 05:00:00,12345,SHCR
2254304,4.7347,4.9124,4.8,5.03,4.51,2022-01-04 05:00:00,15651,SHCR
1068635,4.5488,4.8100000000000005,4.37,4.845,4.35,2022-01-05 05:00:00,6071,SHCR
1154405,4.1879,4.43,4.13,4.43,4.07,2022-01-06 05:00:00,6609,SHCR
2201572,3.9327,4.1,3.95,4.2698,3.81,2022-01-07 05:00:00,14254,SHCR
1072546,3.9317,3.92,4.04,4.05,3.765,2022-01-10 05:00:00,7153,SHCR
853348,4.0106,4.0,3.95,4.12,3.93,2022-01-11 05:00:00,6230,SHCR
1527928,3.9005,4.02,3.81,4.14,3.8,2022-01-12 05:00:00,6324,SHCR
1254348,3.7493,3.83,3.73,3.85,3.64,2022-01-13 05:00:00,5467,SHCR
1423552,3.6122,3.7,3.59,3.7199999999999998,3.54,2022-01-14 05:00:00,7808,SHCR
1352035,3.3687,3.52,3.31,3.5799000000000003,3.25,2022-01-18 05:00:00,7039,SHCR
1997469,3.4135,3.34,3.36,3.55,3.2800000000000002,2022-01-19 05:00:00,9407,SHCR
1945540,3.3929,3.37,3.25,3.525,3.24,2022-01-20 05:00:00,9361,SHCR
1361507,3.212,3.2,3.17,3.3,3.11,2022-01-21 05:00:00,7846,SHCR
1368403,3.1783,3.11,3.31,3.335,3.01,2022-01-24 05:00:00,7750,SHCR
2440351,3.0688,3.4202,3.11,3.4202,2.99,2022-01-25 05:00:00,9352,SHCR
1434468,3.1439,3.15,2.98,3.25,2.96,2022-01-26 05:00:00,7461,SHCR
1147958,2.8918,3.08,2.84,3.08,2.81,2022-01-27 05:00:00,6636,SHCR
3809248,2.8472,2.8200000000000003,3.0,3.01,2.76,2022-01-28 05:00:00,11964,SHCR
2518263,3.3076,3.05,3.41,3.52,3.0,2022-01-31 05:00:00,12587,SHCR
1445047,3.4405,3.4592,3.4,3.56,3.26,2022-02-01 05:00:00,7614,SHCR
1055166,3.3658,3.43,3.37,3.43,3.27,2022-02-02 05:00:00,6786,SHCR
712426,3.356,3.3927,3.26,3.49,3.24,2022-02-03 05:00:00,4707,SHCR
1029648,3.3736,3.25,3.42,3.49,3.17,2022-02-04 05:00:00,7791,SHCR
1018482,3.4951,3.43,3.48,3.55,3.4,2022-02-07 05:00:00,6940,SHCR
1060444,3.5037000000000003,3.47,3.52,3.5949999999999998,3.35,2022-02-08 05:00:00,6357,SHCR
2130400,3.4935,3.6,3.44,3.61,3.42,2022-02-09 05:00:00,10171,SHCR
1714536,3.4866,3.41,3.46,3.5300000000000002,3.34,2022-02-10 05:00:00,10017,SHCR
1393481,3.2808,3.45,3.16,3.47,3.13,2022-02-11 05:00:00,8712,SHCR
1198326,3.0966,3.12,3.09,3.22,3.01,2022-02-14 05:00:00,8944,SHCR
1128704,3.0919,3.07,3.15,3.17,2.98,2022-02-15 05:00:00,6233,SHCR
888948,3.1034,3.09,3.12,3.155,3.01,2022-02-16 05:00:00,6236,SHCR
1040194,3.0516,3.09,3.0,3.17,2.98,2022-02-17 05:00:00,4895,SHCR
