volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
207397,47.3755,47.12,47.28,47.85,46.79,2020-02-20 05:00:00,2217,SIMO
82553,46.2061,47.01,46.04,47.105,45.93,2020-02-21 05:00:00,1031,SIMO
231035,44.4207,44.39,44.1,45.03,43.76,2020-02-24 05:00:00,2532,SIMO
720657,41.3288,43.07,40.7,43.505,40.63,2020-02-25 05:00:00,6684,SIMO
349936,40.6984,40.87,40.25,41.58,39.85,2020-02-26 05:00:00,4078,SIMO
374304,38.9189,39.63,38.63,40.04,38.22,2020-02-27 05:00:00,3584,SIMO
904025,36.5914,37.22,37.22,37.96,35.89,2020-02-28 05:00:00,7757,SIMO
442622,37.2247,37.83,37.6,38.17,36.58,2020-03-02 05:00:00,5146,SIMO
247027,37.1469,37.84,36.65,38.58,36.16,2020-03-03 05:00:00,2648,SIMO
298774,37.1613,37.38,37.14,37.54,36.8675,2020-03-04 05:00:00,3780,SIMO
322132,36.9708,36.63,37.14,37.39,36.5,2020-03-05 05:00:00,3812,SIMO
347208,37.1539,36.06,37.3,38.01,36.06,2020-03-06 05:00:00,4024,SIMO
645525,35.4861,35.34,35.5,36.4,34.4,2020-03-09 04:00:00,7066,SIMO
463400,37.3969,36.56,38.15,38.42,36.1,2020-03-10 04:00:00,5482,SIMO
568682,36.7903,37.22,36.79,37.565,36.24,2020-03-11 04:00:00,4912,SIMO
646757,34.7407,34.34,33.97,36.0,33.83,2020-03-12 04:00:00,6507,SIMO
291362,35.0414,35.68,35.7,35.7,33.98,2020-03-13 04:00:00,3305,SIMO
440214,32.7513,32.8,31.95,34.58,31.63,2020-03-16 04:00:00,5630,SIMO
487724,32.2819,32.4,32.35,33.265,31.17,2020-03-17 04:00:00,5682,SIMO
608572,28.6646,28.93,29.88,31.96,26.716,2020-03-18 04:00:00,6117,SIMO
341888,31.3468,30.05,30.96,32.85,29.88,2020-03-19 04:00:00,4238,SIMO
540868,30.4897,32.04,30.0,33.0,29.27,2020-03-20 04:00:00,4296,SIMO
211596,30.4453,30.02,30.85,31.43,28.904,2020-03-23 04:00:00,3154,SIMO
494902,33.6091,32.11,34.06,34.73,31.8421,2020-03-24 04:00:00,5588,SIMO
414565,34.1713,34.15,34.37,35.65,32.61,2020-03-25 04:00:00,4267,SIMO
1024453,35.5753,34.88,35.49,36.8,34.59,2020-03-26 04:00:00,11694,SIMO
231562,35.2481,34.65,35.38,35.81,34.4119,2020-03-27 04:00:00,2657,SIMO
220919,36.9829,36.1,37.73,37.9,35.2523,2020-03-30 04:00:00,3188,SIMO
209892,36.842,37.45,36.66,37.745,36.1,2020-03-31 04:00:00,2841,SIMO
277760,36.0829,35.86,36.13,36.66,35.4166,2020-04-01 04:00:00,4892,SIMO
460244,37.4927,36.14,38.15,38.485,35.105,2020-04-02 04:00:00,4635,SIMO
797070,38.8262,38.49,38.55,40.645,36.9,2020-04-03 04:00:00,9603,SIMO
659496,40.7884,40.21,41.0,41.85,39.8975,2020-04-06 04:00:00,6812,SIMO
447720,42.6381,42.05,43.09,43.42,40.65,2020-04-07 04:00:00,5551,SIMO
343626,42.9868,43.06,42.65,44.6,42.16,2020-04-08 04:00:00,4066,SIMO
320147,42.2161,43.38,41.41,43.56,40.98,2020-04-09 04:00:00,3986,SIMO
378401,41.9426,41.74,42.28,42.56,40.46,2020-04-13 04:00:00,4759,SIMO
311673,42.8253,42.61,42.76,43.31,42.375,2020-04-14 04:00:00,3549,SIMO
164344,42.7066,42.0,42.64,43.41,41.62,2020-04-15 04:00:00,2415,SIMO
250190,43.4085,43.29,43.63,43.86,42.89,2020-04-16 04:00:00,2508,SIMO
382314,43.7624,43.96,43.47,44.63,43.24,2020-04-17 04:00:00,3816,SIMO
314762,44.5163,43.37,44.47,44.98,42.88,2020-04-20 04:00:00,4147,SIMO
147101,42.7668,44.015,42.6,44.225,42.34,2020-04-21 04:00:00,1850,SIMO
231232,44.4459,43.72,44.62,45.07,43.35,2020-04-22 04:00:00,2505,SIMO
