volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
65643,5.3186,5.19,5.4,5.4217,5.169,2020-02-20 05:00:00,355,SMED
96716,5.3167,5.43,5.25,5.45,5.24,2020-02-21 05:00:00,475,SMED
101808,5.3104,5.14,5.47,5.48,5.0656,2020-02-24 05:00:00,470,SMED
317585,5.7584,5.51,5.87,5.9,5.49,2020-02-25 05:00:00,1818,SMED
370130,6.0342,5.95,6.05,6.19,5.88,2020-02-26 05:00:00,1477,SMED
687851,6.3705,6.04,6.5,6.7,5.88,2020-02-27 05:00:00,2809,SMED
972996,6.1148,6.73,6.06,6.74,5.5,2020-02-28 05:00:00,3168,SMED
323813,6.3311,6.21,6.4,6.58,6.15,2020-03-02 05:00:00,1517,SMED
247744,6.0829,6.35,6.01,6.35,5.88,2020-03-03 05:00:00,1335,SMED
208024,5.9114,5.97,5.85,6.05,5.671,2020-03-04 05:00:00,1014,SMED
222595,6.0918,5.75,6.11,6.25,5.7378,2020-03-05 05:00:00,1120,SMED
371352,6.1049,6.07,5.77,6.27,5.64,2020-03-06 05:00:00,1817,SMED
248934,5.0096,5.5,4.7,5.505,4.6967,2020-03-09 04:00:00,1256,SMED
205998,4.7921,4.8,5.12,5.12,4.51,2020-03-10 04:00:00,1068,SMED
151198,5.3331,5.17,5.38,5.5,5.1604,2020-03-11 04:00:00,1332,SMED
247681,5.0543,5.5,4.86,5.54,4.62,2020-03-12 04:00:00,1386,SMED
146439,4.9088,4.97,4.99,5.227,4.5600000000000005,2020-03-13 04:00:00,898,SMED
94313,4.7165,4.62,4.93,4.94,4.5,2020-03-16 04:00:00,1183,SMED
139631,5.2188,4.92,5.28,5.43,4.7995,2020-03-17 04:00:00,1244,SMED
190239,4.9247,5.15,4.67,5.37,4.525,2020-03-18 04:00:00,1523,SMED
68218,4.7476,4.67,4.88,4.9,4.5,2020-03-19 04:00:00,514,SMED
129275,4.6349,4.85,4.53,4.865,4.4633,2020-03-20 04:00:00,779,SMED
106744,4.6808,4.61,4.9,5.0,4.42,2020-03-23 04:00:00,701,SMED
106372,4.9014,4.92,4.78,5.25,4.59,2020-03-24 04:00:00,788,SMED
362337,5.8657,4.94,6.23,6.25,4.94,2020-03-25 04:00:00,1870,SMED
202106,5.9764,6.25,5.83,6.35,5.61,2020-03-26 04:00:00,1672,SMED
614457,6.7788,5.88,6.77,7.9,5.62,2020-03-27 04:00:00,2953,SMED
683541,7.2968,7.0,7.46,7.5,6.9,2020-03-30 04:00:00,4341,SMED
582008,7.569,7.48,7.94,7.95,7.08,2020-03-31 04:00:00,3710,SMED
414313,7.942,7.85,8.025,8.19,7.5499,2020-04-01 04:00:00,2984,SMED
339164,7.9038,8.06,7.77,8.09,7.65,2020-04-02 04:00:00,2644,SMED
396945,7.1417,7.75,7.26,7.75,6.7,2020-04-03 04:00:00,2643,SMED
341065,7.2711,7.36,7.29,7.38,7.11,2020-04-06 04:00:00,2059,SMED
179874,7.4877,7.39,7.43,7.8199000000000005,7.31,2020-04-07 04:00:00,1269,SMED
389513,7.844,7.72,7.86,7.95,7.5,2020-04-08 04:00:00,1955,SMED
160637,7.9152000000000005,7.92,7.91,7.97,7.8100000000000005,2020-04-09 04:00:00,1329,SMED
174585,7.8474,7.92,7.83,7.93,7.6115,2020-04-13 04:00:00,1473,SMED
1585473,7.8614,7.93,7.61,8.2,7.46,2020-04-14 04:00:00,6840,SMED
258223,7.7157,7.61,7.7,7.87,7.49,2020-04-15 04:00:00,1803,SMED
250650,7.7486,7.79,7.74,7.9,7.6,2020-04-16 04:00:00,1554,SMED
652337,7.2049,7.82,7.05,7.89,6.63,2020-04-17 04:00:00,4072,SMED
291225,6.9398,6.84,7.37,7.39,6.53,2020-04-20 04:00:00,2330,SMED
359591,7.6342,7.37,7.65,7.84,7.285,2020-04-21 04:00:00,2594,SMED
171418,7.6484,7.68,7.46,7.84,7.435,2020-04-22 04:00:00,1724,SMED
229748,7.4749,7.44,7.41,7.66,7.31,2020-04-23 04:00:00,1729,SMED
156548,7.377,7.43,7.43,7.58,7.22,2020-04-24 04:00:00,1313,SMED
265158,7.6017,7.46,7.63,7.79,7.35,2020-04-27 04:00:00,1928,SMED
687305,6.7588,7.5600000000000005,6.83,7.63,6.11,2020-04-28 04:00:00,4320,SMED
275966,6.6773,7.16,6.5600000000000005,7.16,6.51,2020-04-29 04:00:00,2775,SMED
347549,6.1323,6.72,6.02,6.72,5.9,2020-04-30 04:00:00,2407,SMED
117671,6.1341,5.97,6.04,6.36,5.95,2020-05-01 04:00:00,1296,SMED
184068,6.0114,6.0,5.97,6.17,5.8,2020-05-04 04:00:00,1418,SMED
269822,6.0601,5.98,6.05,6.3,5.87,2020-05-05 04:00:00,2150,SMED
222149,6.2841000000000005,6.06,6.34,6.4,6.0,2020-05-06 04:00:00,2128,SMED
215215,6.3459,6.37,6.24,6.689,6.15,2020-05-07 04:00:00,2058,SMED
145597,6.6016,6.3,6.77,6.805,6.3,2020-05-08 04:00:00,1517,SMED
142435,6.9259,6.75,6.84,7.05,6.6747,2020-05-11 04:00:00,1456,SMED
225683,6.6487,6.85,6.46,6.9321,6.42,2020-05-12 04:00:00,1563,SMED
189390,6.3046,6.45,6.41,6.57,5.99,2020-05-13 04:00:00,1606,SMED
153890,6.2663,6.29,6.29,6.525,6.0,2020-05-14 04:00:00,1343,SMED
161691,6.4486,6.29,6.38,6.71,6.23,2020-05-15 04:00:00,1508,SMED
140231,6.8106,6.41,7.0,7.03,6.41,2020-05-18 04:00:00,1562,SMED
160267,6.9838000000000005,7.05,7.0,7.1,6.88,2020-05-19 04:00:00,1217,SMED
80367,6.8196,7.05,6.78,7.05,6.7,2020-05-20 04:00:00,1206,SMED
70306,6.7451,6.78,6.79,6.875,6.5600000000000005,2020-05-21 04:00:00,793,SMED
61211,6.6501,6.79,6.64,6.83,6.55,2020-05-22 04:00:00,1086,SMED
56812,6.8279,6.73,6.92,6.97,6.65,2020-05-26 04:00:00,631,SMED
177832,7.0013,6.9,7.13,7.17,6.74,2020-05-27 04:00:00,1400,SMED
84392,7.0958,7.23,7.1,7.26,6.99,2020-05-28 04:00:00,925,SMED
70121,7.0547,7.11,7.1,7.21,6.9048,2020-05-29 04:00:00,821,SMED
68852,7.3305,7.16,7.46,7.46,7.11,2020-06-01 04:00:00,779,SMED
153278,7.6057,7.5,7.49,7.83,7.3,2020-06-02 04:00:00,1343,SMED
145242,7.2751,7.41,7.2,7.5,7.1101,2020-06-03 04:00:00,1358,SMED
158489,7.0351,7.23,6.98,7.38,6.9,2020-06-04 04:00:00,1311,SMED
147942,6.975,6.9,7.17,7.19,6.76,2020-06-05 04:00:00,1337,SMED
