volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6272,3.2604,3.2,3.27,3.3245,3.17,2020-02-20 05:00:00,47,SMIT
7808,3.2257,3.19,3.26,3.26,3.18,2020-02-21 05:00:00,107,SMIT
5704,3.1879,3.16,3.22,3.2253,3.16,2020-02-24 05:00:00,48,SMIT
11104,3.2265,3.299,3.2,3.299,3.18,2020-02-25 05:00:00,50,SMIT
9715,3.1716,3.2,3.15,3.225,3.15,2020-02-26 05:00:00,88,SMIT
30948,3.149,3.15,3.1,3.17,3.1,2020-02-27 05:00:00,122,SMIT
64618,3.1011,3.06,3.06,3.2,2.9,2020-02-28 05:00:00,266,SMIT
20883,3.0277,3.06,3.01,3.06,2.98,2020-03-02 05:00:00,99,SMIT
6486,3.0284,3.02,3.18,3.18,3.02,2020-03-03 05:00:00,35,SMIT
4085,3.0713,3.13,3.15,3.15,3.03,2020-03-04 05:00:00,36,SMIT
10242,3.0721,3.04,3.07,3.109,3.04,2020-03-05 05:00:00,82,SMIT
7520,3.0641,3.09,3.05,3.1801,3.05,2020-03-06 05:00:00,43,SMIT
10544,3.0641,3.0464,3.04,3.2153,3.04,2020-03-09 04:00:00,47,SMIT
7547,3.0676,3.07,3.05,3.076,3.05,2020-03-10 04:00:00,49,SMIT
26721,3.0131,3.04,2.94,3.0501,2.94,2020-03-11 04:00:00,39,SMIT
21106,2.7949,2.91,2.6,2.9656000000000002,2.598,2020-03-12 04:00:00,70,SMIT
12019,2.6870000000000003,2.63,2.63,2.8119,2.63,2020-03-13 04:00:00,77,SMIT
20252,2.6904,2.52,2.565,2.8,2.52,2020-03-16 04:00:00,117,SMIT
18891,2.4602,2.55,2.55,2.615,2.3,2020-03-17 04:00:00,121,SMIT
43936,2.474,2.56,2.37,2.5728,2.37,2020-03-18 04:00:00,77,SMIT
7812,2.4134,2.4005,2.48,2.48,2.4,2020-03-19 04:00:00,14,SMIT
6470,2.4087,2.1201,2.39,2.5,2.1201,2020-03-20 04:00:00,17,SMIT
15731,2.3322,2.3389,2.3,2.35,2.3,2020-03-23 04:00:00,36,SMIT
41877,2.3243,2.3001,2.34,2.35,2.29,2020-03-24 04:00:00,106,SMIT
