volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
893115,3.3113,3.35,3.34,3.54,3.12,2020-02-20 05:00:00,2792,SNGX
514955,3.3122,3.36,3.16,3.45,3.12,2020-02-21 05:00:00,2003,SNGX
416977,2.9829,3.14,3.03,3.1503,2.8,2020-02-24 05:00:00,1421,SNGX
339580,3.0531,3.03,3.01,3.24,2.96,2020-02-25 05:00:00,1121,SNGX
418081,2.903,3.0,2.83,3.13,2.67,2020-02-26 05:00:00,1140,SNGX
372597,2.8705,3.0,2.99,3.13,2.65,2020-02-27 05:00:00,1208,SNGX
524290,2.9219,2.96,3.02,3.06,2.76,2020-02-28 05:00:00,1186,SNGX
316196,3.0744,3.1,3.1,3.15,2.96,2020-03-02 05:00:00,968,SNGX
178829,3.0371,3.14,2.9699999999999998,3.1999,2.95,2020-03-03 05:00:00,660,SNGX
217945,3.1051,3.03,3.17,3.18,3.0052,2020-03-04 05:00:00,568,SNGX
190176,3.0868,3.14,3.05,3.17,3.01,2020-03-05 05:00:00,558,SNGX
249632,2.9798999999999998,3.02,2.99,3.0699,2.9047,2020-03-06 05:00:00,827,SNGX
450965,2.7359999999999998,2.83,2.67,2.9,2.6,2020-03-09 04:00:00,1159,SNGX
423965,2.5279,2.81,2.48,2.81,2.33,2020-03-10 04:00:00,1585,SNGX
337340,2.5715,2.5,2.54,2.735,2.44,2020-03-11 04:00:00,1393,SNGX
768894,1.9294,2.13,1.9500000000000002,2.3,1.7000000000000002,2020-03-12 04:00:00,2126,SNGX
267938,1.8616000000000001,2.09,1.97,2.09,1.7000000000000002,2020-03-13 04:00:00,910,SNGX
147331,1.7433,1.5,1.77,1.97,1.5,2020-03-16 04:00:00,701,SNGX
121577,1.7367,1.77,1.7000000000000002,1.9091,1.65,2020-03-17 04:00:00,478,SNGX
213713,1.6926,1.6800000000000002,1.58,1.887,1.57,2020-03-18 04:00:00,725,SNGX
1493761,1.879,1.9,1.88,2.07,1.65,2020-03-19 04:00:00,3411,SNGX
410144,1.744,1.96,1.65,1.96,1.6,2020-03-20 04:00:00,1379,SNGX
3290609,1.9052,2.02,1.47,2.25,1.33,2020-03-23 04:00:00,9855,SNGX
888626,1.6007,1.45,1.73,1.75,1.43,2020-03-24 04:00:00,2366,SNGX
639066,1.7825000000000002,1.77,1.72,1.98,1.6600000000000001,2020-03-25 04:00:00,1794,SNGX
375082,1.6808,1.76,1.6099999999999999,1.8399999999999999,1.605,2020-03-26 04:00:00,1103,SNGX
392432,1.5318,1.6,1.58,1.6600000000000001,1.4,2020-03-27 04:00:00,1943,SNGX
290139,1.5065,1.5,1.5,1.58,1.43,2020-03-30 04:00:00,771,SNGX
