volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4667237,155.7899,159.06,155.08,160.5,151.05,2020-02-20 05:00:00,46092,SNPS
2777362,149.7805,153.52,149.33,154.24,148.16,2020-02-21 05:00:00,33651,SNPS
2503576,145.3363,144.97,145.94,146.93,141.3,2020-02-24 05:00:00,34041,SNPS
2163125,143.9039,147.35,142.16,148.03,141.56,2020-02-25 05:00:00,30524,SNPS
2041163,143.0236,142.96,142.04,145.83,141.1,2020-02-26 05:00:00,28107,SNPS
1840915,138.8975,139.84,136.83,141.765,136.12,2020-02-27 05:00:00,28566,SNPS
3132575,135.7847,131.51,137.93,138.07,131.51,2020-02-28 05:00:00,41870,SNPS
1692741,139.0895,137.96,141.63,141.73,135.41,2020-03-02 05:00:00,25317,SNPS
2075055,141.0818,141.22,140.12,144.33,138.19,2020-03-03 05:00:00,34678,SNPS
1529156,144.6527,142.58,146.82,146.96,141.62,2020-03-04 05:00:00,23458,SNPS
1486626,143.0265,142.91,142.64,145.32,141.31,2020-03-05 05:00:00,26009,SNPS
1491329,136.8828,136.88,137.72,139.76,133.71,2020-03-06 05:00:00,25355,SNPS
1870788,129.4628,128.11,127.7,132.67,126.0,2020-03-09 04:00:00,29802,SNPS
1614383,132.3085,131.39,135.19,135.29,128.07,2020-03-10 04:00:00,25244,SNPS
2063148,131.7278,131.55,131.74,135.33,128.82,2020-03-11 04:00:00,27211,SNPS
2429200,122.7406,123.12,119.15,129.04,119.06,2020-03-12 04:00:00,33328,SNPS
2032229,123.7147,124.91,129.88,129.97,116.465,2020-03-13 04:00:00,31976,SNPS
2003305,116.8054,112.59,112.75,125.38,109.13,2020-03-16 04:00:00,29210,SNPS
1780393,117.3573,115.02,119.62,120.65,111.1,2020-03-17 04:00:00,29726,SNPS
1858077,112.2026,112.89,114.23,115.68,108.52,2020-03-18 04:00:00,27530,SNPS
1424832,114.3654,113.85,114.96,117.295,108.79,2020-03-19 04:00:00,20324,SNPS
1825482,112.6605,116.6,110.0,119.56,109.21,2020-03-20 04:00:00,22959,SNPS
