volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
42801,3.909,3.8200000000000003,3.96,4.22,3.8200000000000003,2021-09-30 04:00:00,495,SNT
116748,3.8296,3.92,3.86,3.9503,3.77,2021-10-01 04:00:00,676,SNT
103167,3.7543,3.87,3.73,3.89,3.6437,2021-10-04 04:00:00,902,SNT
72211,3.766,3.71,3.71,3.93,3.6601,2021-10-05 04:00:00,713,SNT
45665,3.7177,3.79,3.76,3.79,3.6333,2021-10-06 04:00:00,532,SNT
60114,3.7896,3.8,3.77,3.86,3.73,2021-10-07 04:00:00,575,SNT
63045,3.7481,3.7800000000000002,3.76,3.79,3.71,2021-10-08 04:00:00,487,SNT
118244,3.6471,3.71,3.68,3.74,3.5,2021-10-11 04:00:00,707,SNT
31723,3.6397,3.61,3.66,3.6799,3.61,2021-10-12 04:00:00,476,SNT
62431,3.7103,3.63,3.73,3.75,3.63,2021-10-13 04:00:00,491,SNT
64198,3.8375,3.7199999999999998,3.87,3.88,3.7199999999999998,2021-10-14 04:00:00,756,SNT
48716,3.8939,3.85,3.88,3.94,3.8200000000000003,2021-10-15 04:00:00,501,SNT
118417,4.0345,3.87,4.05,4.18,3.87,2021-10-18 04:00:00,611,SNT
137609,4.1053,4.05,4.15,4.17,4.0,2021-10-19 04:00:00,642,SNT
105174,4.1784,4.15,4.178,4.24,4.1,2021-10-20 04:00:00,619,SNT
74901,4.1521,4.21,4.16,4.21,4.11,2021-10-21 04:00:00,407,SNT
47577,4.0739,4.15,4.05,4.1732,4.0,2021-10-22 04:00:00,500,SNT
37894,4.0833,4.05,4.12,4.13,4.0363,2021-10-25 04:00:00,327,SNT
56443,4.0445,4.15,4.04,4.1595,4.0,2021-10-26 04:00:00,506,SNT
69239,3.9457,4.03,3.92,4.0633,3.85,2021-10-27 04:00:00,430,SNT
25954,3.9383,3.9,3.93,4.0,3.9,2021-10-28 04:00:00,289,SNT
39433,4.015,3.95,4.09,4.1045,3.93,2021-10-29 04:00:00,314,SNT
42021,4.102,4.17,4.12,4.17,4.03,2021-11-01 04:00:00,566,SNT
43270,4.05,4.1,4.09,4.1,4.0101,2021-11-02 04:00:00,499,SNT
53773,4.0761,4.01,4.0701,4.1,4.01,2021-11-03 04:00:00,372,SNT
84467,4.032,4.06,4.0,4.12,4.0,2021-11-04 04:00:00,527,SNT
36649,4.0064,3.98,4.0,4.05,3.9558,2021-11-05 04:00:00,356,SNT
39308,3.9612,4.01,3.922,4.01,3.91,2021-11-08 05:00:00,496,SNT
50285,3.9548,3.94,3.95,4.04,3.9101,2021-11-09 05:00:00,482,SNT
107644,3.9567,3.98,4.0,4.0,3.9,2021-11-10 05:00:00,555,SNT
48882,4.0505,4.0,4.09,4.11,4.0,2021-11-11 05:00:00,363,SNT
25989,4.0729,4.11,4.09,4.11,4.05,2021-11-12 05:00:00,259,SNT
37923,4.0523,4.1,4.03,4.11,3.99,2021-11-15 05:00:00,419,SNT
52806,3.9479,4.0,3.92,4.0599,3.89,2021-11-16 05:00:00,457,SNT
29830,3.9475,3.95,3.92,4.03,3.89,2021-11-17 05:00:00,337,SNT
77354,3.8587,3.95,3.87,3.95,3.81,2021-11-18 05:00:00,441,SNT
