volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2074120,50.7066,50.8,50.75,51.095,50.4,2020-02-20 05:00:00,10528,SNY
1722682,50.6224,50.29,50.85,50.88,50.11,2020-02-21 05:00:00,9539,SNY
2526361,49.7421,49.01,49.84,50.02,49.0,2020-02-24 05:00:00,16363,SNY
2475750,49.347,49.89,49.01,49.9,48.93,2020-02-25 05:00:00,18750,SNY
2363025,49.3449,48.82,49.45,49.6,48.81,2020-02-26 05:00:00,17910,SNY
4529428,48.5923,48.43,48.16,49.14,48.09,2020-02-27 05:00:00,25389,SNY
4549978,45.9351,46.21,46.25,46.55,45.32,2020-02-28 05:00:00,25441,SNY
3404537,47.8683,47.43,48.74,48.75,47.115,2020-03-02 05:00:00,26421,SNY
2582937,48.1952,48.49,47.71,49.24,47.37,2020-03-03 05:00:00,19361,SNY
1552544,49.8329,49.26,50.54,50.56,48.93,2020-03-04 05:00:00,14338,SNY
1558840,49.8418,49.68,49.94,50.33,49.51,2020-03-05 05:00:00,14003,SNY
2835310,48.2232,48.56,48.44,48.64,47.03,2020-03-06 05:00:00,18979,SNY
3296098,45.826,45.56,45.22,46.53,44.97,2020-03-09 04:00:00,23777,SNY
4715888,45.3672,46.01,46.16,46.26,44.32,2020-03-10 04:00:00,32760,SNY
2943297,45.169,45.21,44.79,45.81,44.51,2020-03-11 04:00:00,26874,SNY
4060068,41.2295,41.55,40.87,42.5,40.05,2020-03-12 04:00:00,24590,SNY
3319181,41.6631,42.4,43.72,43.72,39.72,2020-03-13 04:00:00,20616,SNY
2933972,41.2725,38.35,41.52,43.21,37.75,2020-03-16 04:00:00,20209,SNY
2770425,42.6779,41.68,43.61,43.88,41.1,2020-03-17 04:00:00,17057,SNY
2427587,40.8701,40.07,41.65,42.4399,39.62,2020-03-18 04:00:00,17231,SNY
8156089,40.9032,40.0,40.61,44.49,39.6,2020-03-19 04:00:00,44783,SNY
5369936,39.674,39.79,38.02,40.6,38.02,2020-03-20 04:00:00,25170,SNY
2652450,38.8729,38.53,38.57,39.65,37.62,2020-03-23 04:00:00,16834,SNY
4766169,40.125,40.69,40.19,40.69,39.27,2020-03-24 04:00:00,20262,SNY
5104632,41.4286,40.68,41.37,42.37,40.05,2020-03-25 04:00:00,21039,SNY
5019470,42.2508,41.61,42.95,43.0,41.61,2020-03-26 04:00:00,20883,SNY
3852853,42.582300000000004,42.31,42.44,43.36,41.655,2020-03-27 04:00:00,16470,SNY
5088124,44.3383,43.53,44.69,45.37,43.52,2020-03-30 04:00:00,21278,SNY
3159115,43.7924,44.14,43.72,44.5,43.1,2020-03-31 04:00:00,19136,SNY
2294912,42.913,42.5,42.91,43.46,42.32,2020-04-01 04:00:00,15268,SNY
2740855,43.1722,42.42,43.51,43.66,42.08,2020-04-02 04:00:00,11593,SNY
4352104,43.9933,43.46,44.83,45.2,43.34,2020-04-03 04:00:00,18686,SNY
1707853,45.7559,45.45,46.12,46.36,45.17,2020-04-06 04:00:00,11974,SNY
3119706,45.3252,45.73,44.6,45.83,44.4527,2020-04-07 04:00:00,17957,SNY
1773331,44.8122,44.63,45.18,45.46,42.87,2020-04-08 04:00:00,13838,SNY
4459369,44.7116,44.92,45.46,45.5,42.8,2020-04-09 04:00:00,15918,SNY
1490508,44.4542,45.14,44.38,45.24,43.99,2020-04-13 04:00:00,14676,SNY
2520732,45.7901,46.12,45.97,46.48,45.2,2020-04-14 04:00:00,14434,SNY
1355534,45.2126,44.94,45.15,45.6,44.86,2020-04-15 04:00:00,12452,SNY
2083384,45.8919,46.32,46.13,46.45,43.17,2020-04-16 04:00:00,17431,SNY
2466530,47.2237,47.02,47.75,47.88,46.63,2020-04-17 04:00:00,16928,SNY
3027274,48.1105,46.95,48.28,48.741,46.91,2020-04-20 04:00:00,16047,SNY
3026524,48.2045,47.55,48.6,48.67,47.51,2020-04-21 04:00:00,17528,SNY
2873547,47.8651,47.47,48.19,48.24,47.4,2020-04-22 04:00:00,18010,SNY
3150209,48.5375,48.7,48.37,49.22,47.54,2020-04-23 04:00:00,18335,SNY
3855900,49.566,49.01,49.85,50.12,48.94,2020-04-24 04:00:00,20818,SNY
1997126,50.8108,51.02,50.63,51.29,49.48,2020-04-27 04:00:00,14578,SNY
3807578,49.9065,49.89,49.87,50.21,49.5,2020-04-28 04:00:00,13153,SNY
2167220,49.1714,49.2,49.0,49.5,48.98,2020-04-29 04:00:00,12466,SNY
1349946,47.022,47.48,46.83,47.53,46.65,2020-04-30 04:00:00,12357,SNY
1311125,46.3586,46.48,46.85,46.85,44.11,2020-05-01 04:00:00,11320,SNY
2551622,48.2189,48.22,48.37,48.63,47.64,2020-05-04 04:00:00,11605,SNY
2387718,49.1998,49.04,49.06,49.53,48.87,2020-05-05 04:00:00,9692,SNY
752997,49.6934,49.46,49.35,50.23,47.4,2020-05-06 04:00:00,7642,SNY
1649006,48.6027,48.74,48.4,49.19,48.125,2020-05-07 04:00:00,13510,SNY
898053,48.333,48.67,48.08,48.72,48.06,2020-05-08 04:00:00,7726,SNY
977316,47.9378,47.72,48.2,48.31,47.61,2020-05-11 04:00:00,10592,SNY
1455801,48.9524,49.3,48.23,49.66,48.23,2020-05-12 04:00:00,11331,SNY
1004574,48.6215,49.25,48.31,49.45,47.9201,2020-05-13 04:00:00,7831,SNY
1367807,47.5631,47.32,47.67,47.83,47.22,2020-05-14 04:00:00,12438,SNY
1365923,47.0778,47.1,47.26,47.61,46.88,2020-05-15 04:00:00,11498,SNY
2506182,47.3288,46.85,47.64,47.87,46.74,2020-05-18 04:00:00,10376,SNY
1725723,47.5113,47.63,47.2,48.03,47.2,2020-05-19 04:00:00,12703,SNY
1415510,47.8638,48.01,47.74,48.21,47.69,2020-05-20 04:00:00,10087,SNY
1740305,47.7759,48.26,47.44,48.2782,47.38,2020-05-21 04:00:00,8054,SNY
1486764,47.3362,47.36,47.3,47.72,47.16,2020-05-22 04:00:00,9001,SNY
2031214,47.5739,47.82,47.27,47.88,47.235,2020-05-26 04:00:00,15578,SNY
1176325,47.222,47.2,47.49,47.54,46.77,2020-05-27 04:00:00,10710,SNY
1763591,48.722,48.01,48.68,49.12,47.96,2020-05-28 04:00:00,12930,SNY
1669765,48.7674,49.44,49.11,49.48,48.25,2020-05-29 04:00:00,10306,SNY
