volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
13065973,25.8252,27.0,25.05,27.03,24.2,2021-09-14 04:00:00,65516,SRAD
3797387,26.1565,25.17,27.0,27.66,24.25,2021-09-15 04:00:00,22170,SRAD
1893052,27.175,28.0,26.5,28.22,25.32,2021-09-16 04:00:00,13546,SRAD
918428,26.8221,26.72,27.0,27.15,26.1,2021-09-17 04:00:00,6736,SRAD
931545,26.1483,26.48,26.3,26.678,25.25,2021-09-20 04:00:00,7642,SRAD
1089823,26.2832,26.98,25.9,27.5486,25.4,2021-09-21 04:00:00,8024,SRAD
866520,26.0745,26.1,26.01,26.66,25.16,2021-09-22 04:00:00,7063,SRAD
502745,26.1842,26.05,26.25,26.89,25.61,2021-09-23 04:00:00,4192,SRAD
240538,25.9798,26.02,25.97,26.21,25.7,2021-09-24 04:00:00,1859,SRAD
426787,25.226,25.65,25.2,25.915,24.9,2021-09-27 04:00:00,3241,SRAD
2211438,23.4002,25.0,24.25,25.0,22.0,2021-09-28 04:00:00,18420,SRAD
1046854,23.6701,24.0,23.78,24.465,22.375,2021-09-29 04:00:00,9831,SRAD
463546,23.0068,23.78,22.63,23.98,22.57,2021-09-30 04:00:00,5080,SRAD
266805,22.909,22.81,23.45,23.76,22.25,2021-10-01 04:00:00,2854,SRAD
357326,22.6157,23.45,22.65,23.69,22.07,2021-10-04 04:00:00,3834,SRAD
846250,23.0722,22.41,23.14,23.37,22.41,2021-10-05 04:00:00,5478,SRAD
315946,23.1928,22.95,22.86,23.7,22.44,2021-10-06 04:00:00,3484,SRAD
266723,23.5921,24.0,23.47,24.22,23.08,2021-10-07 04:00:00,2091,SRAD
476837,23.4469,23.5,23.48,24.1,22.75,2021-10-08 04:00:00,4429,SRAD
834000,23.1835,23.46,22.58,23.89,22.52,2021-10-11 04:00:00,7968,SRAD
904927,21.9871,22.54,21.65,22.943,21.455,2021-10-12 04:00:00,7762,SRAD
406593,21.6125,21.75,21.66,21.98,21.06,2021-10-13 04:00:00,4169,SRAD
1048400,23.0828,22.23,23.66,23.9,21.83,2021-10-14 04:00:00,8806,SRAD
1138310,24.2567,24.25,24.27,24.96,23.82,2021-10-15 04:00:00,8651,SRAD
424728,23.4858,23.87,23.35,24.0,23.111,2021-10-18 04:00:00,4247,SRAD
320616,22.7556,23.5,22.39,23.99,22.26,2021-10-19 04:00:00,3250,SRAD
260742,22.7922,22.52,22.89,23.45,22.03,2021-10-20 04:00:00,2503,SRAD
101326,22.8751,23.12,22.86,23.23,22.58,2021-10-21 04:00:00,1169,SRAD
220880,22.161,22.88,22.11,22.88,21.84,2021-10-22 04:00:00,1889,SRAD
172463,22.1339,22.2,22.15,22.56,21.95,2021-10-25 04:00:00,1562,SRAD
178856,21.9327,22.2,21.84,22.54,21.35,2021-10-26 04:00:00,2133,SRAD
644031,20.3921,21.71,20.15,21.85,19.78,2021-10-27 04:00:00,6272,SRAD
371514,20.2393,20.25,20.1,20.7926,19.98,2021-10-28 04:00:00,4579,SRAD
276309,20.7421,20.1,20.9,21.09,20.0385,2021-10-29 04:00:00,2792,SRAD
472457,22.0536,21.73,21.99,22.5,21.41,2021-11-01 04:00:00,4507,SRAD
215505,21.7213,21.98,21.94,21.99,21.45,2021-11-02 04:00:00,2914,SRAD
199590,22.4729,21.87,22.46,22.85,21.68,2021-11-03 04:00:00,2538,SRAD
629204,23.8527,23.3229,23.75,24.43,22.76,2021-11-04 04:00:00,5660,SRAD
409790,22.4925,24.08,22.0,24.2892,21.7,2021-11-05 04:00:00,4921,SRAD
273579,22.4602,22.34,22.56,23.47,21.81,2021-11-08 05:00:00,3445,SRAD
193967,22.112,22.84,22.02,23.0,21.74,2021-11-09 05:00:00,2353,SRAD
114820,22.0423,21.84,21.93,22.6,21.64,2021-11-10 05:00:00,1643,SRAD
