volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3067.9,11.5975,11.5909,11.5545,11.6818,11.5182,2020-02-20 05:00:00,29,SSBI
2149.4,11.5023,11.5323,11.4273,11.5443,11.4091,2020-02-21 05:00:00,22,SSBI
10847.1,11.4298,11.4545,11.2711,11.511800000000001,11.1602,2020-02-24 05:00:00,33,SSBI
799.7,11.0395,11.0545,11.0887,11.0902,11.0455,2020-02-25 05:00:00,15,SSBI
407.0,10.9905,10.8773,11.0091,11.0364,10.8773,2020-02-26 05:00:00,10,SSBI
5778.3,10.5133,10.4195,11.0182,11.0182,10.3636,2020-02-27 05:00:00,18,SSBI
6191.9,10.8283,10.9273,10.5221,10.9851,10.5221,2020-02-28 05:00:00,51,SSBI
1835.9,10.598700000000001,10.7485,10.4518,10.8273,10.4,2020-03-02 05:00:00,21,SSBI
8809.9,9.8256,10.0057,9.8055,10.1909,9.7727,2020-03-03 05:00:00,61,SSBI
9065.1,9.8066,9.956,9.8,9.956,9.7727,2020-03-04 05:00:00,59,SSBI
3128.4,9.8573,9.9815,9.7727,9.9815,9.7727,2020-03-05 05:00:00,26,SSBI
1282.6,9.8159,9.7727,9.9636,9.9636,9.7727,2020-03-06 05:00:00,17,SSBI
5183.2,8.8987,9.4273,8.6455,9.4273,8.6455,2020-03-09 04:00:00,21,SSBI
1965.7,8.7837,8.942,8.6773,8.942,8.6773,2020-03-10 04:00:00,14,SSBI
4996.2,8.6591,8.7895,8.6836,8.7895,8.6455,2020-03-11 04:00:00,30,SSBI
11875.6,7.4855,9.9636,7.4864,9.9636,7.0545,2020-03-12 04:00:00,82,SSBI
5893.8,7.6838,7.9112,7.5,7.9112,7.5,2020-03-13 04:00:00,23,SSBI
4582.6,7.3964,7.7588,7.2273,7.7588,7.2273,2020-03-16 04:00:00,36,SSBI
1991.0,7.5436,7.2727,7.6182,7.8162,7.2273,2020-03-17 04:00:00,21,SSBI
5792.6,6.7437000000000005,7.2273,6.2201,7.7273,5.9818,2020-03-18 04:00:00,32,SSBI
35652.1,6.2804,6.3182,6.1364,6.7273,6.1136,2020-03-19 04:00:00,94,SSBI
18592.2,6.3787,6.3364,6.3364,6.7199,6.3364,2020-03-20 04:00:00,85,SSBI
18147.8,6.5309,6.2909,6.3582,7.5455,6.1818,2020-03-23 04:00:00,95,SSBI
9133.3,6.7772,6.4182,6.8227,7.2135,6.4182,2020-03-24 04:00:00,76,SSBI
4596.9,6.8737,6.8273,7.1182,7.1273,6.8182,2020-03-25 04:00:00,30,SSBI
18526.2,7.3437,7.2091,7.0909,8.4145,6.9736,2020-03-26 04:00:00,94,SSBI
1017.5,7.0915,6.9091000000000005,7.2375,7.3606,6.9091000000000005,2020-03-27 04:00:00,18,SSBI
2656.5,7.1463,7.2545,7.2636,7.2636,6.9287,2020-03-31 04:00:00,14,SSBI
7631.8,6.57,6.8782,5.9909,6.8978,5.9091000000000005,2020-04-01 04:00:00,73,SSBI
20674.5,6.5222,6.8182,6.5091,6.8182,6.0,2020-04-02 04:00:00,99,SSBI
4897.2,6.8084,7.0669,6.7273,7.0669,6.7273,2020-04-03 04:00:00,9,SSBI
2776.4,6.8301,6.8753,6.7727,7.0091,6.7727,2020-04-06 04:00:00,15,SSBI
