volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
30844,30.0897,30.41,29.85,31.7965,29.79,2020-02-20 05:00:00,433,STFC
37878,30.017,29.72,30.19,30.45,29.47,2020-02-21 05:00:00,497,STFC
47046,29.1418,29.55,29.25,29.56,28.85,2020-02-24 05:00:00,810,STFC
37396,28.5561,29.19,28.38,29.61,28.1,2020-02-25 05:00:00,796,STFC
30494,28.4668,28.4,28.48,28.67,28.25,2020-02-26 05:00:00,419,STFC
29940,27.4217,28.04,26.9,29.22,26.8,2020-02-27 05:00:00,435,STFC
75752,25.4531,27.14,24.98,28.76,24.7,2020-02-28 05:00:00,1349,STFC
61778,25.7607,24.95,26.32,26.43,24.6,2020-03-02 05:00:00,797,STFC
54303,25.6094,26.05,25.52,26.678,25.16,2020-03-03 05:00:00,793,STFC
28030,26.0406,25.75,26.41,26.48,25.3552,2020-03-04 05:00:00,556,STFC
52211,24.426,25.69,24.4,25.69,23.81,2020-03-05 05:00:00,1004,STFC
74506,24.8637,23.49,24.9,26.83,23.49,2020-03-06 05:00:00,1262,STFC
93116,23.6012,22.97,24.04,25.09,20.5,2020-03-09 04:00:00,1412,STFC
61285,24.3095,24.78,24.66,24.9075,23.1,2020-03-10 04:00:00,1059,STFC
76554,23.968,23.81,24.25,24.33,22.94,2020-03-11 04:00:00,1089,STFC
168599,21.1463,22.64,21.77,22.75,19.97,2020-03-12 04:00:00,1893,STFC
85167,24.3054,22.3,25.63,25.74,22.2452,2020-03-13 04:00:00,1409,STFC
75371,22.5576,22.58,22.63,23.99,20.52,2020-03-16 04:00:00,1798,STFC
90981,26.3828,22.7,28.28,28.49,20.57,2020-03-17 04:00:00,1499,STFC
67711,23.7453,26.0,23.77,26.79,22.4277,2020-03-18 04:00:00,1035,STFC
76365,24.1353,23.61,24.49,24.74,22.74,2020-03-19 04:00:00,1163,STFC
123879,21.9884,24.38,19.89,24.79,19.51,2020-03-20 04:00:00,1646,STFC
80225,23.304,20.2,25.0,25.0,20.2,2020-03-23 04:00:00,1392,STFC
99370,26.2693,25.0,27.05,27.2,23.79,2020-03-24 04:00:00,1504,STFC
76843,24.3759,26.93,23.65,27.725,23.32,2020-03-25 04:00:00,1396,STFC
49278,26.9048,23.62,27.64,27.65,23.62,2020-03-26 04:00:00,800,STFC
52239,27.078,26.5,27.01,28.0683,25.93,2020-03-27 04:00:00,1166,STFC
53655,27.5391,27.35,27.96,28.098,25.82,2020-03-30 04:00:00,845,STFC
80043,27.4288,27.55,27.79,28.11,26.48,2020-03-31 04:00:00,1499,STFC
126830,26.6722,26.45,26.76,27.3,25.84,2020-04-01 04:00:00,2367,STFC
76637,27.0715,26.72,27.19,27.94,25.955,2020-04-02 04:00:00,1559,STFC
50279,25.0199,27.05,24.65,27.05,24.21,2020-04-03 04:00:00,804,STFC
52799,25.6784,25.91,25.7,26.25,25.13,2020-04-06 04:00:00,1141,STFC
83275,25.3188,26.05,25.09,26.33,24.61,2020-04-07 04:00:00,1016,STFC
60174,24.5341,25.17,24.32,26.015,24.17,2020-04-08 04:00:00,870,STFC
61270,25.5027,24.65,25.88,26.155,24.65,2020-04-09 04:00:00,1331,STFC
40283,25.6581,25.54,25.63,25.96,25.15,2020-04-13 04:00:00,637,STFC
60733,25.3258,26.54,25.17,26.54,25.0,2020-04-14 04:00:00,1129,STFC
72255,23.5118,24.45,23.24,24.92,23.13,2020-04-15 04:00:00,1507,STFC
94798,23.8148,23.42,24.0,24.3,23.135,2020-04-16 04:00:00,1611,STFC
65951,25.0543,24.66,25.37,25.57,24.2,2020-04-17 04:00:00,1142,STFC
40163,24.5498,24.49,24.74,25.035,24.07,2020-04-20 04:00:00,708,STFC
43487,24.1687,23.88,24.18,24.54,23.88,2020-04-21 04:00:00,839,STFC
44927,24.0318,24.83,23.76,24.83,23.65,2020-04-22 04:00:00,755,STFC
62831,23.6447,23.81,23.6,24.17,23.4,2020-04-23 04:00:00,1332,STFC
46966,23.8982,23.65,24.0,24.28,23.04,2020-04-24 04:00:00,862,STFC
