volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
27773,37.324,37.05,37.38,37.4,37.05,2020-02-20 05:00:00,569,TCBK
47750,37.2779,37.36,37.33,37.38,36.975,2020-02-21 05:00:00,784,TCBK
57148,36.5971,36.29,36.56,36.81,36.245,2020-02-24 05:00:00,1013,TCBK
113949,35.5941,36.49,35.52,36.5,35.4,2020-02-25 05:00:00,1057,TCBK
46036,35.4327,35.61,35.32,35.91,35.15,2020-02-26 05:00:00,755,TCBK
91528,34.9605,34.81,34.6,35.62,34.3,2020-02-27 05:00:00,1228,TCBK
133137,33.5883,33.84,33.82,34.59,32.93,2020-02-28 05:00:00,1674,TCBK
170424,34.8962,33.69,35.38,35.39,33.56,2020-03-02 05:00:00,1420,TCBK
110937,34.6601,35.2,34.53,35.65,34.34,2020-03-03 05:00:00,1080,TCBK
141127,34.6954,34.82,34.57,35.1,34.33,2020-03-04 05:00:00,1803,TCBK
94899,33.1082,33.97,32.89,34.09,32.5,2020-03-05 05:00:00,1447,TCBK
193426,32.6504,32.03,33.29,33.56,31.65,2020-03-06 05:00:00,2141,TCBK
140179,30.5927,30.99,30.4,32.1999,30.01,2020-03-09 04:00:00,2247,TCBK
137314,30.6308,31.17,31.05,31.39,29.755,2020-03-10 04:00:00,1717,TCBK
128936,30.1062,30.26,29.58,30.72,29.39,2020-03-11 04:00:00,1540,TCBK
162264,27.1488,27.9,26.71,28.94,26.64,2020-03-12 04:00:00,1857,TCBK
174706,28.1032,27.97,28.67,28.81,26.96,2020-03-13 04:00:00,2067,TCBK
153015,26.3632,26.03,25.86,28.24,23.05,2020-03-16 04:00:00,1828,TCBK
237213,27.772100000000002,25.98,28.78,28.78,25.42,2020-03-17 04:00:00,2364,TCBK
165883,27.5585,27.28,27.75,28.45,25.83,2020-03-18 04:00:00,2517,TCBK
185530,28.3751,27.62,28.38,29.03,26.7,2020-03-19 04:00:00,2235,TCBK
276863,27.2937,28.47,25.97,29.37,25.62,2020-03-20 04:00:00,3180,TCBK
258655,24.4121,26.28,24.49,27.505,23.31,2020-03-23 04:00:00,3472,TCBK
168048,27.172,25.33,27.4,27.55,25.33,2020-03-24 04:00:00,2142,TCBK
145400,27.462,27.67,27.15,28.37,26.42,2020-03-25 04:00:00,2218,TCBK
