volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
113892,208.4352,210.31,208.87,210.675,206.14,2020-02-20 05:00:00,2662,TECH
148849,207.2763,208.02,206.03,210.64,205.94,2020-02-21 05:00:00,3247,TECH
163123,200.6364,200.09,201.62,202.37,197.24,2020-02-24 05:00:00,3427,TECH
214736,198.9764,202.37,197.64,202.37,197.13,2020-02-25 05:00:00,5092,TECH
174299,199.7369,199.24,197.83,202.97,197.64,2020-02-26 05:00:00,4923,TECH
205830,195.9535,195.26,193.01,201.64,189.18,2020-02-27 05:00:00,3666,TECH
422964,188.0018,188.99,188.89,192.94,185.8301,2020-02-28 05:00:00,7601,TECH
216342,195.5161,190.21,197.64,198.37,188.98,2020-03-02 05:00:00,5224,TECH
257862,194.7421,197.38,193.38,199.86,192.385,2020-03-03 05:00:00,4997,TECH
295909,197.7667,196.7,197.69,200.08,195.605,2020-03-04 05:00:00,4539,TECH
191561,194.3449,193.97,194.08,197.94,191.62,2020-03-05 05:00:00,4517,TECH
248268,192.8948,188.91,194.2,196.12,183.845,2020-03-06 05:00:00,5136,TECH
339372,189.2735,184.23,188.66,192.27,183.58,2020-03-09 04:00:00,6413,TECH
372463,187.3223,192.1,187.98,193.17,182.38,2020-03-10 04:00:00,7199,TECH
399835,181.1317,184.43,180.58,185.57,178.65,2020-03-11 04:00:00,7565,TECH
451857,169.0775,171.84,166.48,175.87,164.93,2020-03-12 04:00:00,8561,TECH
554734,170.3791,167.83,179.62,179.62,163.12,2020-03-13 04:00:00,9898,TECH
352366,167.7678,166.53,161.17,176.035,160.08,2020-03-16 04:00:00,7220,TECH
372385,169.2419,164.41,169.5,174.81,161.83,2020-03-17 04:00:00,7699,TECH
287179,163.8277,161.35,164.72,171.88,157.63,2020-03-18 04:00:00,6181,TECH
222723,166.8801,164.23,166.42,171.6005,158.13,2020-03-19 04:00:00,4998,TECH
295577,168.5493,164.55,167.26,178.39,164.0,2020-03-20 04:00:00,5418,TECH
355269,167.4226,167.66,170.34,173.09,155.17,2020-03-23 04:00:00,8583,TECH
294868,170.5866,175.65,169.88,183.726,163.8,2020-03-24 04:00:00,6426,TECH
205578,171.1989,169.3,172.49,174.9076,164.32,2020-03-25 04:00:00,5460,TECH
265758,183.5607,173.41,186.32,186.78,172.17,2020-03-26 04:00:00,4413,TECH
184715,183.3882,182.27,184.39,189.34,175.59,2020-03-27 04:00:00,5124,TECH
197572,188.7462,186.12,190.79,191.91,182.72,2020-03-30 04:00:00,5180,TECH
284390,190.8179,190.15,189.62,194.83,186.65,2020-03-31 04:00:00,6234,TECH
189673,184.5943,185.77,185.43,188.29,180.51,2020-04-01 04:00:00,5239,TECH
143722,188.3559,185.13,190.82,191.6,180.16,2020-04-02 04:00:00,4633,TECH
195170,185.9465,189.55,186.39,190.5,182.47,2020-04-03 04:00:00,3579,TECH
146708,192.9027,191.86,194.55,196.07,189.38,2020-04-06 04:00:00,3896,TECH
179773,194.6607,198.39,193.61,199.52,191.95,2020-04-07 04:00:00,4304,TECH
201923,194.7619,195.67,199.0,199.54,189.75,2020-04-08 04:00:00,5004,TECH
203784,195.0544,200.3,192.69,200.68,191.74,2020-04-09 04:00:00,4492,TECH
148764,191.2483,191.37,190.88,193.12,189.33,2020-04-13 04:00:00,3515,TECH
217449,196.2625,194.68,199.28,199.42,190.38,2020-04-14 04:00:00,4765,TECH
251959,200.8477,197.55,201.49,204.455,195.94,2020-04-15 04:00:00,5332,TECH
330563,209.7661,202.94,211.98,213.41,202.64,2020-04-16 04:00:00,7009,TECH
312416,214.3886,217.86,213.82,217.86,212.82,2020-04-17 04:00:00,7632,TECH
225197,208.6487,213.0,207.79,213.0,205.11,2020-04-20 04:00:00,5895,TECH
218709,201.5129,204.15,200.37,205.14,200.09,2020-04-21 04:00:00,4712,TECH
172707,206.5891,203.97,207.85,208.33,201.55,2020-04-22 04:00:00,4489,TECH
297913,210.1758,208.35,209.73,213.56,208.35,2020-04-23 04:00:00,4851,TECH
377137,202.7656,211.84,201.85,211.84,200.17,2020-04-24 04:00:00,6619,TECH
280032,208.1025,204.5,208.87,210.55,203.34,2020-04-27 04:00:00,6335,TECH
179763,205.0412,210.82,204.75,211.41,203.52,2020-04-28 04:00:00,4896,TECH
344969,209.5807,208.13,211.18,213.69,204.675,2020-04-29 04:00:00,6379,TECH
509506,224.6278,212.1,225.0,229.0,208.785,2020-04-30 04:00:00,8595,TECH
497051,223.1768,204.47,227.54,227.79,204.47,2020-05-01 04:00:00,9817,TECH
458131,234.2019,228.0,236.63,237.56,225.44,2020-05-04 04:00:00,7828,TECH
475686,243.8094,236.74,246.06,247.1,236.74,2020-05-05 04:00:00,9562,TECH
520492,257.4843,246.99,261.63,262.88,246.74,2020-05-06 04:00:00,10665,TECH
315921,260.9585,264.63,263.5,266.32,254.85,2020-05-07 04:00:00,8748,TECH
225289,269.04,265.95,270.5,271.37,263.84,2020-05-08 04:00:00,6233,TECH
368079,277.2947,269.03,279.56,281.765,269.03,2020-05-11 04:00:00,6646,TECH
423286,277.245,282.52,272.92,282.52,272.89,2020-05-12 04:00:00,7984,TECH
447419,264.1387,274.31,261.83,274.444,257.79,2020-05-13 04:00:00,9149,TECH
330057,260.7714,260.46,262.05,265.35,254.55,2020-05-14 04:00:00,8419,TECH
388100,267.2911,261.27,267.31,270.72,260.555,2020-05-15 04:00:00,6358,TECH
237214,268.3015,270.03,266.79,273.15,264.64,2020-05-18 04:00:00,4877,TECH
257373,263.4245,267.97,260.05,269.58,259.76,2020-05-19 04:00:00,5186,TECH
369780,267.6479,263.84,269.76,271.02,262.4,2020-05-20 04:00:00,5437,TECH
307471,267.01,270.52,266.75,270.9263,264.25,2020-05-21 04:00:00,5266,TECH
253627,267.0267,267.48,266.4,269.11,265.05,2020-05-22 04:00:00,4868,TECH
439160,259.6452,268.75,260.65,268.75,255.37,2020-05-26 04:00:00,8652,TECH
291715,253.995,257.74,257.27,258.235,245.46,2020-05-27 04:00:00,5990,TECH
379806,258.9989,258.2,258.4,261.26,255.53,2020-05-28 04:00:00,9105,TECH
243715,262.6808,259.99,264.8,265.06,258.265,2020-05-29 04:00:00,5315,TECH
215114,263.2805,263.87,262.06,265.295,261.35,2020-06-01 04:00:00,4519,TECH
295761,261.1944,261.01,263.84,264.2,257.65,2020-06-02 04:00:00,6349,TECH
226545,259.3081,263.92,259.43,263.92,257.44,2020-06-03 04:00:00,4960,TECH
181206,254.0355,257.88,252.55,260.6575,251.35,2020-06-04 04:00:00,4958,TECH
279272,256.0364,255.41,256.58,260.54,250.85,2020-06-05 04:00:00,7781,TECH
328123,254.3012,252.34,255.0,259.455,250.96,2020-06-08 04:00:00,6058,TECH
143203,254.1514,256.53,252.51,259.25,252.303,2020-06-09 04:00:00,4030,TECH
288750,258.995,255.46,262.0,262.93,253.83,2020-06-10 04:00:00,5567,TECH
469354,245.2254,260.17,242.03,260.17,242.01,2020-06-11 04:00:00,9720,TECH
305433,245.933,246.11,245.73,252.07,241.1,2020-06-12 04:00:00,6552,TECH
170517,251.0602,244.17,254.36,254.4,243.16,2020-06-15 04:00:00,4201,TECH
223868,253.9861,259.23,250.87,260.43,249.74,2020-06-16 04:00:00,5601,TECH
147514,255.6745,253.82,255.38,258.41,251.72,2020-06-17 04:00:00,3575,TECH
160877,254.9271,256.34,253.9,259.1,253.52,2020-06-18 04:00:00,3484,TECH
333615,256.4999,255.69,257.71,258.9,251.0599,2020-06-19 04:00:00,4918,TECH
258323,261.3719,256.81,262.23,263.72,255.89,2020-06-22 04:00:00,6766,TECH
195509,262.2601,265.0,261.86,266.88,260.27,2020-06-23 04:00:00,4771,TECH
207681,253.0131,260.27,252.51,261.6,249.97,2020-06-24 04:00:00,6164,TECH
160260,255.694,253.93,258.27,258.31,249.98,2020-06-25 04:00:00,3774,TECH
313647,256.4767,258.22,256.45,258.87,254.32,2020-06-26 04:00:00,4495,TECH
138773,254.3372,256.17,253.81,259.42,251.81,2020-06-29 04:00:00,4481,TECH
216908,261.6182,255.69,264.07,265.01,247.51,2020-06-30 04:00:00,5370,TECH
193695,265.5391,263.6,266.01,267.995,260.82,2020-07-01 04:00:00,5139,TECH
131830,269.8767,266.17,269.18,272.89,264.9,2020-07-02 04:00:00,4882,TECH
