volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
42768,1.2869,1.2702,1.2850000000000001,1.3762,1.27,2020-02-20 05:00:00,78,TENX
75652,1.2506,1.33,1.21,1.3357,1.2,2020-02-21 05:00:00,193,TENX
28439,1.1979,1.22,1.22,1.23,1.18,2020-02-24 05:00:00,88,TENX
57231,1.2419,1.18,1.2203,1.3799000000000001,1.18,2020-02-25 05:00:00,147,TENX
49985,1.174,1.21,1.15,1.22,1.13,2020-02-26 05:00:00,136,TENX
59929,1.142,1.15,1.12,1.17,1.1,2020-02-27 05:00:00,184,TENX
76055,1.1491,1.17,1.1797,1.18,1.1,2020-02-28 05:00:00,223,TENX
66278,1.1487,1.2,1.1509,1.22,1.11,2020-03-02 05:00:00,121,TENX
27315,1.1328,1.13,1.116,1.18,1.1132,2020-03-03 05:00:00,117,TENX
8199,1.1352,1.15,1.1436,1.15,1.111,2020-03-04 05:00:00,50,TENX
41164,1.1123,1.1400000000000001,1.11,1.147,1.1,2020-03-05 05:00:00,77,TENX
42330,1.1128,1.11,1.11,1.1285,1.11,2020-03-06 05:00:00,106,TENX
104984,1.0708,1.1400000000000001,1.0393,1.1400000000000001,1.03,2020-03-09 04:00:00,170,TENX
46829,1.0593,1.05,1.04,1.1,1.04,2020-03-10 04:00:00,146,TENX
83711,1.048,1.03,1.0401,1.1,1.03,2020-03-11 04:00:00,139,TENX
311046,0.7242000000000001,1.01,0.66,1.01,0.25,2020-03-12 04:00:00,683,TENX
129598,0.6663,0.75,0.628992,0.75,0.6202000000000001,2020-03-13 04:00:00,292,TENX
146185,0.5208,0.6289,0.44999000000000006,0.6289,0.44999000000000006,2020-03-16 04:00:00,272,TENX
242973,0.5243,0.5700000000000001,0.5,0.6000000000000001,0.47000000000000003,2020-03-17 04:00:00,411,TENX
63633,0.4943,0.492,0.5,0.5999,0.4505,2020-03-18 04:00:00,198,TENX
65363,0.47940000000000005,0.5486,0.5,0.5486,0.45,2020-03-19 04:00:00,307,TENX
140462,0.5095000000000001,0.52,0.4989,0.598,0.46495000000000003,2020-03-20 04:00:00,378,TENX
54321,0.4828,0.5238,0.465,0.535,0.45,2020-03-23 04:00:00,196,TENX
125409,0.49570000000000003,0.54,0.4899,0.54,0.47000000000000003,2020-03-24 04:00:00,419,TENX
456191,0.5333,0.52,0.5388000000000001,0.58,0.5001,2020-03-25 04:00:00,899,TENX
367606,0.6074,0.5748,0.569101,0.68,0.55,2020-03-26 04:00:00,862,TENX
179520,0.5882000000000001,0.59,0.5667,0.64,0.5667,2020-03-27 04:00:00,626,TENX
153903,0.5747,0.64,0.56,0.64,0.5501,2020-03-30 04:00:00,629,TENX
96059,0.559,0.56,0.5717,0.6000000000000001,0.532,2020-03-31 04:00:00,199,TENX
43141,0.5657,0.58,0.5640000000000001,0.598,0.55,2020-04-01 04:00:00,147,TENX
76961,0.5672,0.5640000000000001,0.545,0.61,0.5401,2020-04-02 04:00:00,197,TENX
31750,0.5589000000000001,0.5353,0.5698,0.59,0.52,2020-04-03 04:00:00,139,TENX
430072,0.6307,0.5798,0.65,0.68,0.54,2020-04-06 04:00:00,1245,TENX
1406866,0.7002,0.668,0.6990000000000001,0.77,0.62,2020-04-07 04:00:00,3449,TENX
768436,0.6283000000000001,0.6900000000000001,0.6321,0.6989000000000001,0.55,2020-04-08 04:00:00,1583,TENX
346558,0.6146,0.6321,0.59,0.65,0.5700000000000001,2020-04-09 04:00:00,798,TENX
403467,0.5604,0.594,0.5755,0.594,0.510099,2020-04-13 04:00:00,634,TENX
351670,0.5842,0.5650000000000001,0.5798,0.6375000000000001,0.56,2020-04-14 04:00:00,773,TENX
690787,0.6251,0.58,0.599899,0.6601,0.5700000000000001,2020-04-15 04:00:00,1719,TENX
394544,0.6281,0.6511,0.6011000000000001,0.6798000000000001,0.585,2020-04-16 04:00:00,917,TENX
383183,0.5724,0.6311,0.5750000000000001,0.6311,0.55,2020-04-17 04:00:00,817,TENX
287086,0.5730000000000001,0.5778,0.5628000000000001,0.5998,0.549,2020-04-20 04:00:00,596,TENX
277051,0.5385,0.5752,0.5442,0.5752,0.52,2020-04-21 04:00:00,435,TENX
132837,0.5577,0.53,0.5660000000000001,0.5720000000000001,0.53,2020-04-22 04:00:00,278,TENX
151907,0.5648000000000001,0.59,0.578,0.592,0.535,2020-04-23 04:00:00,210,TENX
202158,0.5892000000000001,0.59,0.6095,0.61,0.555101,2020-04-24 04:00:00,323,TENX
150983,0.6051000000000001,0.6000000000000001,0.6147,0.6366,0.5651,2020-04-27 04:00:00,286,TENX
172611,0.6113000000000001,0.6201,0.619,0.6201,0.59,2020-04-28 04:00:00,240,TENX
170723,0.6352,0.615,0.6399,0.6518,0.6004689999999999,2020-04-29 04:00:00,347,TENX
251628,0.6343,0.645,0.6549,0.67,0.62,2020-04-30 04:00:00,264,TENX
93000,0.6238,0.64,0.6279,0.66,0.6073000000000001,2020-05-01 04:00:00,215,TENX
116813,0.6366,0.64,0.6518,0.6518,0.6167,2020-05-04 04:00:00,226,TENX
126975,0.6376000000000001,0.642,0.6402,0.65,0.6257,2020-05-05 04:00:00,188,TENX
162589,0.6288,0.64,0.6297,0.66,0.6000000000000001,2020-05-06 04:00:00,223,TENX
226171,0.6583,0.6197,0.68,0.68,0.6197,2020-05-07 04:00:00,489,TENX
320405,0.7141000000000001,0.6900000000000001,0.71,0.75,0.67,2020-05-08 04:00:00,597,TENX
202998,0.7482000000000001,0.75,0.7599,0.84,0.7000000000000001,2020-05-11 04:00:00,440,TENX
216588,0.725,0.79,0.7001000000000001,0.7901,0.6801,2020-05-12 04:00:00,575,TENX
154323,0.6983,0.77,0.7254,0.77,0.6705,2020-05-13 04:00:00,349,TENX
156561,0.7243,0.775,0.733,0.775,0.6900000000000001,2020-05-14 04:00:00,277,TENX
1947966,0.9025000000000001,0.73,0.9795,0.999,0.7063,2020-05-15 04:00:00,2526,TENX
948520,0.9613,0.9602,1.02,1.05,0.85,2020-05-18 04:00:00,1808,TENX
483848,1.069,1.08,1.09,1.12,1.0,2020-05-19 04:00:00,973,TENX
533097,1.1808,1.09,1.24,1.32,1.06,2020-05-20 04:00:00,1145,TENX
312550,1.1835,1.27,1.18,1.27,1.1,2020-05-21 04:00:00,701,TENX
107585,1.1755,1.2,1.18,1.22,1.12,2020-05-22 04:00:00,352,TENX
565763,1.3158,1.23,1.27,1.4,1.1837,2020-05-26 04:00:00,1010,TENX
