volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1085308,46.2625,45.57,46.13,46.67,45.56,2020-02-20 05:00:00,9897,TRMB
815820,45.4763,45.9,45.39,46.135,45.12,2020-02-21 05:00:00,9090,TRMB
1001820,44.1974,43.71,44.27,44.68,43.46,2020-02-24 05:00:00,12045,TRMB
915862,43.1817,44.57,42.84,44.96,42.75,2020-02-25 05:00:00,12226,TRMB
919844,42.8868,43.16,42.73,44.2,42.48,2020-02-26 05:00:00,10587,TRMB
1842191,41.3487,41.7,40.17,42.31,40.07,2020-02-27 05:00:00,16065,TRMB
3008900,39.3295,38.82,39.48,40.12,38.31,2020-02-28 05:00:00,23825,TRMB
1492365,40.4677,39.88,41.0,41.05,39.01,2020-03-02 05:00:00,15220,TRMB
1050789,40.2745,40.82,39.79,41.62,39.55,2020-03-03 05:00:00,11860,TRMB
1610026,40.2704,40.42,40.57,40.66,39.12,2020-03-04 05:00:00,13008,TRMB
3363663,40.1872,39.54,40.27,40.43,39.51,2020-03-05 05:00:00,18870,TRMB
4489660,39.9564,38.78,40.0,40.44,38.41,2020-03-06 05:00:00,23004,TRMB
2493952,36.7626,37.31,36.14,38.8,36.01,2020-03-09 04:00:00,24017,TRMB
3314973,35.7204,37.53,35.67,37.98,34.895,2020-03-10 04:00:00,29598,TRMB
2683621,33.3107,34.61,33.23,34.61,32.55,2020-03-11 04:00:00,23060,TRMB
2264287,28.8451,30.72,27.05,32.25,26.55,2020-03-12 04:00:00,20897,TRMB
4248806,28.6598,29.32,28.35,30.45,27.37,2020-03-13 04:00:00,31894,TRMB
2096363,24.8975,24.37,24.22,26.85,23.15,2020-03-16 04:00:00,20219,TRMB
4213539,21.8931,24.59,22.09,24.81,20.79,2020-03-17 04:00:00,31902,TRMB
2724824,21.3524,20.65,21.32,22.69,20.01,2020-03-18 04:00:00,23123,TRMB
6784199,22.7911,21.07,25.33,25.62,20.95,2020-03-19 04:00:00,41368,TRMB
5847121,26.685,25.68,26.0,28.41,25.03,2020-03-20 04:00:00,43302,TRMB
4605120,26.3168,25.28,26.54,27.91,23.79,2020-03-23 04:00:00,34184,TRMB
1655801,28.1404,27.73,28.52,29.01,26.72,2020-03-24 04:00:00,18391,TRMB
1811696,28.6286,29.28,28.79,29.73,27.29,2020-03-25 04:00:00,16733,TRMB
1723022,29.9324,28.86,30.64,30.7,28.43,2020-03-26 04:00:00,16114,TRMB
2341086,29.8067,29.76,29.85,30.34,29.03,2020-03-27 04:00:00,12739,TRMB
1380315,30.4299,30.05,31.03,31.18,29.36,2020-03-30 04:00:00,14413,TRMB
1901833,31.8094,31.29,31.83,32.74,30.72,2020-03-31 04:00:00,17347,TRMB
4081961,29.6412,30.63,29.1,31.24,28.815,2020-04-01 04:00:00,17629,TRMB
1960704,29.5852,28.79,29.89,30.26,28.64,2020-04-02 04:00:00,15335,TRMB
1772143,28.6333,29.6,28.46,30.065,27.79,2020-04-03 04:00:00,14123,TRMB
1835606,30.9904,29.9,31.14,31.55,29.79,2020-04-06 04:00:00,16905,TRMB
1170169,32.5377,32.69,32.01,33.48,31.88,2020-04-07 04:00:00,11593,TRMB
867064,33.037,32.49,33.24,33.68,31.84,2020-04-08 04:00:00,9172,TRMB
1271820,34.3709,34.01,34.46,34.7137,33.5,2020-04-09 04:00:00,12374,TRMB
775469,32.4907,34.2,32.19,34.2,32.01,2020-04-13 04:00:00,10575,TRMB
1879175,32.564,32.03,32.57,33.07,32.03,2020-04-14 04:00:00,20699,TRMB
975061,31.884,31.65,32.19,32.34,30.87,2020-04-15 04:00:00,10969,TRMB
2402723,31.4748,32.37,31.34,32.65,31.145,2020-04-16 04:00:00,15650,TRMB
1450313,32.2846,32.23,32.46,32.78,31.48,2020-04-17 04:00:00,12956,TRMB
1154116,32.4708,32.08,32.32,33.14,30.93,2020-04-20 04:00:00,9307,TRMB
766380,31.7306,31.77,31.68,32.06,31.39,2020-04-21 04:00:00,9672,TRMB
561944,32.1203,32.34,32.18,32.49,31.745,2020-04-22 04:00:00,6576,TRMB
949976,32.9246,32.55,32.91,33.37,32.44,2020-04-23 04:00:00,6681,TRMB
825993,32.4744,33.2,32.63,33.35,32.01,2020-04-24 04:00:00,8871,TRMB
792272,34.1338,32.97,34.35,34.54,32.79,2020-04-27 04:00:00,8060,TRMB
875519,34.6103,35.4,34.23,35.73,34.23,2020-04-28 04:00:00,7907,TRMB
968576,35.6928,34.83,35.71,36.05,34.79,2020-04-29 04:00:00,9724,TRMB
1298140,34.7799,35.14,34.63,35.47,34.45,2020-04-30 04:00:00,11537,TRMB
834439,32.9501,33.93,32.86,33.97,32.64,2020-05-01 04:00:00,8426,TRMB
2009326,32.1664,32.49,32.11,32.96,31.65,2020-05-04 04:00:00,17515,TRMB
1440929,33.0336,32.64,32.83,33.42,32.26,2020-05-05 04:00:00,12689,TRMB
1339813,32.1363,33.51,31.86,33.53,31.67,2020-05-06 04:00:00,14662,TRMB
1751218,36.009,33.45,36.45,36.98,32.49,2020-05-07 04:00:00,17806,TRMB
1039876,36.8149,37.39,37.0,37.63,36.08,2020-05-08 04:00:00,12687,TRMB
1424480,36.9932,35.97,37.11,37.45,35.2481,2020-05-11 04:00:00,12618,TRMB
806560,36.0099,37.37,35.5,37.37,35.45,2020-05-12 04:00:00,9796,TRMB
740185,34.4136,35.16,34.37,36.08,33.835,2020-05-13 04:00:00,9811,TRMB
1778491,34.3766,33.84,34.88,34.95,33.11,2020-05-14 04:00:00,12883,TRMB
884104,35.169,34.66,35.4,35.42,34.38,2020-05-15 04:00:00,8403,TRMB
1367686,38.2371,36.63,38.64,38.79,35.89,2020-05-18 04:00:00,15471,TRMB
2278092,39.6252,38.62,39.24,40.15,38.2,2020-05-19 04:00:00,20335,TRMB
1373441,39.7682,39.82,39.53,40.87,38.53,2020-05-20 04:00:00,11849,TRMB
972847,39.455,39.4,39.38,39.87,38.91,2020-05-21 04:00:00,8869,TRMB
514212,39.1629,39.37,39.33,39.69,38.73,2020-05-22 04:00:00,7166,TRMB
1730757,41.4049,40.6,41.22,41.84,39.6,2020-05-26 04:00:00,16326,TRMB
996215,42.1014,41.84,42.54,42.66,41.31,2020-05-27 04:00:00,10894,TRMB
1407744,42.754,42.59,41.99,43.56,41.74,2020-05-28 04:00:00,13278,TRMB
2350166,39.2144,40.57,39.12,40.78,38.75,2020-05-29 04:00:00,16079,TRMB
944618,40.0126,39.33,40.07,40.3,38.87,2020-06-01 04:00:00,11026,TRMB
891813,40.2686,40.32,40.38,40.96,39.885,2020-06-02 04:00:00,10184,TRMB
2012450,41.2834,40.88,42.22,42.34,40.55,2020-06-03 04:00:00,15051,TRMB
1648597,42.8074,42.04,43.06,43.16,41.82,2020-06-04 04:00:00,15058,TRMB
2172779,44.8778,44.67,45.12,45.33,43.6,2020-06-05 04:00:00,16624,TRMB
1356820,44.9716,44.8,45.18,45.26,44.165,2020-06-08 04:00:00,10797,TRMB
1575994,43.8666,44.1,43.925,44.98,43.25,2020-06-09 04:00:00,14024,TRMB
1264757,44.0614,44.1,43.99,44.72,43.13,2020-06-10 04:00:00,12355,TRMB
2070249,41.6673,42.23,40.98,42.8,40.8367,2020-06-11 04:00:00,21074,TRMB
1991326,41.2211,42.67,41.13,42.68,40.25,2020-06-12 04:00:00,22910,TRMB
952587,41.6269,40.11,42.23,42.36,39.71,2020-06-15 04:00:00,11460,TRMB
1103989,42.9852,43.92,43.01,43.92,42.03,2020-06-16 04:00:00,11445,TRMB
808040,43.157,43.26,43.02,43.555,42.65,2020-06-17 04:00:00,8793,TRMB
808233,43.0124,42.8,43.0,43.28,42.0,2020-06-18 04:00:00,6706,TRMB
1599215,43.1294,43.58,43.0,44.0361,42.52,2020-06-19 04:00:00,9598,TRMB
563430,43.2084,43.0,43.3,43.49,42.32,2020-06-22 04:00:00,5699,TRMB
1714153,43.6206,43.89,43.66,43.89,43.3,2020-06-23 04:00:00,10352,TRMB
844260,42.7062,43.68,42.67,43.68,42.24,2020-06-24 04:00:00,9226,TRMB
633908,42.7402,42.42,43.17,43.19,41.79,2020-06-25 04:00:00,6973,TRMB
1915153,42.394800000000004,42.96,42.37,43.16,42.05,2020-06-26 04:00:00,8062,TRMB
1115439,42.705,42.92,42.64,43.22,42.13,2020-06-29 04:00:00,11018,TRMB
775645,43.1746,42.57,43.19,43.44,42.4,2020-06-30 04:00:00,7363,TRMB
679092,42.9199,43.17,42.75,43.5,42.69,2020-07-01 04:00:00,7578,TRMB
989345,42.9809,43.54,42.52,44.15,42.31,2020-07-02 04:00:00,11930,TRMB
823885,43.3785,43.54,43.43,43.89,42.99,2020-07-06 04:00:00,8052,TRMB
854334,42.4706,43.03,42.04,43.75,41.98,2020-07-07 04:00:00,9265,TRMB
811421,42.2855,42.17,42.4,43.29,41.705,2020-07-08 04:00:00,8764,TRMB
923112,42.3673,42.56,42.38,42.71,41.69,2020-07-09 04:00:00,8681,TRMB
550433,42.4873,42.54,42.54,42.76,42.0766,2020-07-10 04:00:00,7422,TRMB
926599,42.2007,42.88,41.66,43.2,41.65,2020-07-13 04:00:00,9877,TRMB
880350,42.4731,41.52,42.985,43.07,41.34,2020-07-14 04:00:00,9357,TRMB
872111,44.1256,43.81,44.31,44.45,43.43,2020-07-15 04:00:00,9065,TRMB
451544,43.5391,44.14,43.51,44.14,43.225,2020-07-16 04:00:00,5723,TRMB
431847,43.9096,43.72,43.95,44.379,43.59,2020-07-17 04:00:00,5986,TRMB
569364,44.2384,43.93,44.36,44.45,43.78,2020-07-20 04:00:00,7209,TRMB
1089661,44.9404,44.87,44.84,45.4534,44.4357,2020-07-21 04:00:00,8691,TRMB
865926,44.4543,44.67,44.44,45.1,44.17,2020-07-22 04:00:00,8013,TRMB
1313602,45.2879,44.43,45.31,45.77,44.43,2020-07-23 04:00:00,11965,TRMB
790317,44.2187,44.95,44.03,45.04,43.93,2020-07-24 04:00:00,8647,TRMB
588202,44.9786,44.03,45.06,45.21,43.92,2020-07-27 04:00:00,6473,TRMB
674452,45.0952,45.07,44.72,45.49,44.69,2020-07-28 04:00:00,7777,TRMB
713367,45.5076,44.76,45.57,45.75,44.76,2020-07-29 04:00:00,8033,TRMB
558389,45.2608,44.88,45.54,45.64,44.5,2020-07-30 04:00:00,6334,TRMB
1559486,44.5617,45.69,44.51,45.79,44.35,2020-07-31 04:00:00,13475,TRMB
1075355,45.4033,45.11,45.54,45.635,44.86,2020-08-03 04:00:00,11774,TRMB
841992,45.1534,45.46,45.13,45.63,44.775,2020-08-04 04:00:00,9258,TRMB
1918533,45.6037,45.82,45.92,46.15,45.28,2020-08-05 04:00:00,15083,TRMB
2554328,49.1644,47.42,49.05,50.3,47.2,2020-08-06 04:00:00,23202,TRMB
1167681,49.0387,48.86,49.17,49.3894,48.45,2020-08-07 04:00:00,14335,TRMB
1035387,48.7214,49.28,48.41,49.48,48.23,2020-08-10 04:00:00,11574,TRMB
1257173,48.4139,48.54,47.96,48.93,47.86,2020-08-11 04:00:00,12866,TRMB
1070482,49.2273,48.23,49.51,49.59,47.96,2020-08-12 04:00:00,10397,TRMB
1200208,50.0217,49.16,50.06,50.49,49.085,2020-08-13 04:00:00,11514,TRMB
986168,50.4465,49.76,50.38,50.77,48.7225,2020-08-14 04:00:00,11476,TRMB
784856,50.9362,50.61,50.83,51.32,50.4,2020-08-17 04:00:00,7605,TRMB
1384118,51.6175,51.0,51.76,51.96,50.9,2020-08-18 04:00:00,14554,TRMB
1175408,51.0366,51.65,50.66,51.66,50.6,2020-08-19 04:00:00,10423,TRMB
681921,50.6265,50.11,50.64,50.81,50.0011,2020-08-20 04:00:00,9525,TRMB
1087767,50.749,50.34,50.7,51.04,50.27,2020-08-21 04:00:00,12838,TRMB
1800855,51.9234,51.02,52.19,52.23,50.7,2020-08-24 04:00:00,13534,TRMB
712886,52.3362,52.09,52.57,52.62,51.79,2020-08-25 04:00:00,9199,TRMB
666605,52.8096,53.06,52.6,53.7341,52.5,2020-08-26 04:00:00,8276,TRMB
702285,52.2352,52.76,52.04,52.76,51.55,2020-08-27 04:00:00,9483,TRMB
617673,51.9114,52.0,52.02,52.19,51.6,2020-08-28 04:00:00,8977,TRMB
902017,52.4205,52.381,52.41,52.75,51.935,2020-08-31 04:00:00,9086,TRMB
542284,53.0763,52.67,53.41,53.47,52.1,2020-09-01 04:00:00,7369,TRMB
728924,53.8691,53.78,54.31,54.51,52.96,2020-09-02 04:00:00,8866,TRMB
1220283,51.8477,54.132,50.9,54.132,50.66,2020-09-03 04:00:00,14910,TRMB
914656,49.8693,51.04,49.96,51.53,49.07,2020-09-04 04:00:00,11431,TRMB
1007882,49.306,49.02,49.14,50.01,48.51,2020-09-08 04:00:00,11692,TRMB
881044,50.0563,49.98,50.11,50.37,49.475,2020-09-09 04:00:00,11203,TRMB
783486,49.745400000000004,50.51,49.16,50.78,49.04,2020-09-10 04:00:00,11360,TRMB
726257,50.1214,49.76,50.16,50.8,49.32,2020-09-11 04:00:00,8876,TRMB
661175,50.3729,50.48,50.43,50.84,50.035,2020-09-14 04:00:00,8188,TRMB
631926,51.8312,51.12,52.08,52.2085,50.84,2020-09-15 04:00:00,8078,TRMB
859254,51.7586,52.55,51.31,52.73,51.24,2020-09-16 04:00:00,9373,TRMB
884710,49.9709,50.24,49.79,50.72,49.65,2020-09-17 04:00:00,10763,TRMB
1981258,49.4393,50.21,49.35,50.345,48.83,2020-09-18 04:00:00,11054,TRMB
1016178,47.749,48.29,47.8,48.37,47.27,2020-09-21 04:00:00,10604,TRMB
851875,48.4202,48.26,48.55,48.75,47.96,2020-09-22 04:00:00,8176,TRMB
760027,48.1548,49.25,47.64,49.25,47.64,2020-09-23 04:00:00,9988,TRMB
1594762,47.161,47.36,47.08,47.61,46.82,2020-09-24 04:00:00,14640,TRMB
2060687,47.3359,47.01,47.85,47.85,46.78,2020-09-25 04:00:00,16824,TRMB
1032941,48.7415,48.8,48.7,49.19,48.55,2020-09-28 04:00:00,8713,TRMB
970430,49.0219,48.62,48.92,49.21,48.22,2020-09-29 04:00:00,9566,TRMB
1144057,49.0213,49.0,48.7,49.85,48.49,2020-09-30 04:00:00,13396,TRMB
895053,48.9497,48.76,48.87,49.68,48.63,2020-10-01 04:00:00,12533,TRMB
646154,49.2213,47.97,49.33,49.62,47.51,2020-10-02 04:00:00,8178,TRMB
905270,50.7692,49.71,50.72,51.13,49.69,2020-10-05 04:00:00,8998,TRMB
1201798,49.8095,50.72,48.93,50.88,48.88,2020-10-06 04:00:00,12010,TRMB
1543529,50.3271,49.72,50.51,50.67,49.51,2020-10-07 04:00:00,15462,TRMB
787603,51.1564,50.92,51.1,51.59,50.83,2020-10-08 04:00:00,8526,TRMB
777085,51.6346,51.52,51.38,52.09,51.27,2020-10-09 04:00:00,8898,TRMB
636833,52.1998,51.62,52.31,52.61,51.4,2020-10-12 04:00:00,7937,TRMB
725459,52.0414,52.0,51.72,52.64,51.64,2020-10-13 04:00:00,10388,TRMB
545952,50.9507,51.89,50.54,52.35,50.51,2020-10-14 04:00:00,8859,TRMB
