volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
162291,32.1525,31.94,32.19,32.32,31.9,2020-02-20 05:00:00,2315,TRMK
380718,31.8485,32.15,31.85,32.19,31.64,2020-02-21 05:00:00,4231,TRMK
425347,31.0951,31.01,31.21,31.41,30.8,2020-02-24 05:00:00,5264,TRMK
308665,30.2894,31.16,29.98,31.22,29.96,2020-02-25 05:00:00,4065,TRMK
438971,29.6093,30.21,29.4,30.4957,29.39,2020-02-26 05:00:00,5296,TRMK
413385,28.6895,28.73,28.31,29.53,28.29,2020-02-27 05:00:00,4842,TRMK
683328,27.0594,27.51,26.9,28.025,26.41,2020-02-28 05:00:00,7899,TRMK
453972,27.7229,26.96,28.34,28.35,26.74,2020-03-02 05:00:00,5684,TRMK
561214,27.3915,28.35,27.17,28.59,26.82,2020-03-03 05:00:00,7071,TRMK
459232,27.0627,27.46,27.33,27.46,26.51,2020-03-04 05:00:00,5286,TRMK
414445,26.2406,26.49,26.35,26.64,25.94,2020-03-05 05:00:00,5166,TRMK
578591,26.1502,25.24,26.42,26.57,25.16,2020-03-06 05:00:00,7470,TRMK
481844,23.98,24.52,23.81,25.04,23.28,2020-03-09 04:00:00,5976,TRMK
376569,24.0627,24.61,24.51,24.82,23.25,2020-03-10 04:00:00,5640,TRMK
584166,22.9316,23.78,22.87,23.89,22.44,2020-03-11 04:00:00,6856,TRMK
541673,21.3798,21.16,21.62,22.71,20.47,2020-03-12 04:00:00,8576,TRMK
618972,23.68,22.41,24.76,24.83,22.18,2020-03-13 04:00:00,7069,TRMK
674381,23.5508,21.75,23.7,24.26,21.75,2020-03-16 04:00:00,9280,TRMK
765031,25.1054,24.22,25.76,25.91,23.18,2020-03-17 04:00:00,9240,TRMK
638412,25.3182,24.32,25.31,26.31,23.91,2020-03-18 04:00:00,10873,TRMK
710039,26.7656,25.05,26.67,28.49,23.59,2020-03-19 04:00:00,8531,TRMK
757032,25.3776,26.36,24.14,26.86,23.91,2020-03-20 04:00:00,8121,TRMK
581183,22.437,24.29,21.87,24.67,21.67,2020-03-23 04:00:00,8083,TRMK
458901,23.3408,22.92,23.56,23.96,22.5,2020-03-24 04:00:00,6452,TRMK
556118,22.4306,23.71,22.09,24.41,21.76,2020-03-25 04:00:00,7647,TRMK
401975,23.5206,22.16,23.9,24.13,21.65,2020-03-26 04:00:00,4776,TRMK
359310,23.019,23.05,22.9,23.56,22.68,2020-03-27 04:00:00,5044,TRMK
471356,23.3943,23.01,23.64,23.71,22.89,2020-03-30 04:00:00,6594,TRMK
519364,23.2392,23.35,23.3,23.8,22.73,2020-03-31 04:00:00,5775,TRMK
552024,22.2375,22.13,22.25,22.78,21.36,2020-04-01 04:00:00,8079,TRMK
354456,22.5614,22.05,22.67,23.08,21.95,2020-04-02 04:00:00,5370,TRMK
374173,22.0845,22.41,22.1,23.58,21.66,2020-04-03 04:00:00,4533,TRMK
366081,23.3069,23.17,23.51,23.64,22.81,2020-04-06 04:00:00,4883,TRMK
550424,24.231,24.39,24.21,24.75,23.76,2020-04-07 04:00:00,6374,TRMK
406760,24.8069,24.5,24.79,25.31,23.99,2020-04-08 04:00:00,5263,TRMK
276559,26.4717,25.3,26.92,26.99,25.0069,2020-04-09 04:00:00,3673,TRMK
232415,25.2466,26.86,25.05,26.86,24.83,2020-04-13 04:00:00,3777,TRMK
220812,25.0663,25.28,24.97,25.9,24.66,2020-04-14 04:00:00,3174,TRMK
349508,23.6979,24.31,23.55,24.49,23.4,2020-04-15 04:00:00,4487,TRMK
341428,23.0098,23.47,23.15,23.71,22.51,2020-04-16 04:00:00,4704,TRMK
305898,24.3597,23.99,24.48,24.685,23.545,2020-04-17 04:00:00,3610,TRMK
