volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
7793,31.2895,31.31,31.42,31.74,30.674,2020-02-20 05:00:00,75,TRNS
10394,31.3477,31.38,31.04,31.9865,31.04,2020-02-21 05:00:00,149,TRNS
11242,30.5158,30.72,30.26,30.93,30.07,2020-02-24 05:00:00,157,TRNS
23537,30.2589,30.26,30.26,30.4641,30.15,2020-02-25 05:00:00,364,TRNS
43583,30.46,30.62,30.72,30.86,30.0,2020-02-26 05:00:00,249,TRNS
54432,29.3685,30.405,28.72,31.41,27.83,2020-02-27 05:00:00,661,TRNS
20160,28.7813,28.14,28.89,29.375,28.14,2020-02-28 05:00:00,239,TRNS
33012,29.6582,28.81,31.28,31.28,28.7762,2020-03-02 05:00:00,583,TRNS
29367,31.0509,31.16,31.32,31.5164,30.176,2020-03-03 05:00:00,508,TRNS
13373,32.0245,31.52,32.93,32.93,30.81,2020-03-04 05:00:00,226,TRNS
28762,31.1533,32.26,30.84,33.0,29.03,2020-03-05 05:00:00,558,TRNS
26395,31.3369,30.78,31.23,32.2466,30.42,2020-03-06 05:00:00,587,TRNS
24063,29.0028,30.37,28.7,30.59,27.995,2020-03-09 04:00:00,318,TRNS
37785,28.1872,29.23,29.07,29.5,26.52,2020-03-10 04:00:00,505,TRNS
22891,28.0013,27.4,27.83,28.884,26.22,2020-03-11 04:00:00,391,TRNS
25968,25.3558,26.62,25.01,27.221,23.43,2020-03-12 04:00:00,487,TRNS
35291,25.4813,25.86,25.95,26.58,23.769,2020-03-13 04:00:00,614,TRNS
40134,23.2615,23.65,22.3,25.77,21.38,2020-03-16 04:00:00,777,TRNS
35398,25.4342,22.71,28.0,28.17,21.77,2020-03-17 04:00:00,586,TRNS
79941,19.5007,26.26,20.26,26.26,16.5,2020-03-18 04:00:00,911,TRNS
33575,23.932,20.56,25.0,25.8787,17.25,2020-03-19 04:00:00,468,TRNS
72795,24.5925,24.76,26.39,26.39,21.9,2020-03-20 04:00:00,504,TRNS
39521,25.7943,26.53,26.58,27.695,20.63,2020-03-23 04:00:00,582,TRNS
27348,26.7576,26.29,27.98,27.98,24.48,2020-03-24 04:00:00,360,TRNS
44827,26.5247,27.68,26.94,27.68,24.91,2020-03-25 04:00:00,575,TRNS
35781,26.5879,26.9,27.35,27.35,25.26,2020-03-26 04:00:00,482,TRNS
24418,25.9871,26.16,25.36,27.98,25.32,2020-03-27 04:00:00,422,TRNS
18075,26.3671,26.4,26.25,27.415,24.775,2020-03-30 04:00:00,286,TRNS
93347,26.5807,26.1,26.5,27.72,25.7,2020-03-31 04:00:00,685,TRNS
29130,24.9421,26.92,24.3,26.92,23.27,2020-04-01 04:00:00,484,TRNS
29713,24.9598,24.17,25.43,27.15,23.25,2020-04-02 04:00:00,504,TRNS
21197,25.0599,25.64,24.82,26.09,24.1973,2020-04-03 04:00:00,338,TRNS
21320,26.0172,25.39,26.4,26.86,25.3,2020-04-06 04:00:00,301,TRNS
23621,25.602,26.9,25.68,26.92,24.106,2020-04-07 04:00:00,334,TRNS
17113,25.5485,25.8,26.04,26.21,23.73,2020-04-08 04:00:00,254,TRNS
9386,26.4606,25.635,26.85,26.85,24.9601,2020-04-09 04:00:00,227,TRNS
46285,26.5837,26.31,26.55,26.86,25.7903,2020-04-13 04:00:00,526,TRNS
13337,26.6234,26.86,26.2,26.92,26.16,2020-04-14 04:00:00,211,TRNS
33060,24.8537,25.55,24.5,25.55,24.22,2020-04-15 04:00:00,402,TRNS
31303,24.003,24.46,24.24,24.47,23.445,2020-04-16 04:00:00,616,TRNS
21992,25.643,24.8,26.49,26.68,24.0,2020-04-17 04:00:00,432,TRNS
14233,26.0323,25.4633,26.0,26.87,25.4633,2020-04-20 04:00:00,207,TRNS
11958,26.0733,25.74,26.32,26.45,25.51,2020-04-21 04:00:00,265,TRNS
8092,26.3151,26.05,26.32,26.56,26.05,2020-04-22 04:00:00,150,TRNS
37491,26.4165,26.06,26.96,26.96,26.04,2020-04-23 04:00:00,394,TRNS
5988,26.6796,26.59,26.76,26.916,26.335,2020-04-24 04:00:00,110,TRNS
22566,26.957,26.67,27.1,27.1,26.44,2020-04-27 04:00:00,296,TRNS
22087,27.5937,27.1,27.66,28.29,26.95,2020-04-28 04:00:00,261,TRNS
29878,28.8969,28.0,28.67,31.77,27.4,2020-04-29 04:00:00,608,TRNS
10878,28.3871,28.01,28.09,30.0056,27.81,2020-04-30 04:00:00,235,TRNS
45295,27.8704,27.36,28.89,29.49,26.23,2020-05-01 04:00:00,515,TRNS
15776,27.8381,28.45,27.99,28.49,26.9601,2020-05-04 04:00:00,212,TRNS
13444,26.7837,27.71,26.21,27.7494,25.93,2020-05-05 04:00:00,402,TRNS
32623,26.6228,26.4,27.72,28.53,25.49,2020-05-06 04:00:00,455,TRNS
13436,28.0069,28.15,27.42,29.76,27.4,2020-05-07 04:00:00,318,TRNS
16786,28.4201,28.14,28.27,29.64,27.91,2020-05-08 04:00:00,246,TRNS
34799,28.5481,28.14,28.74,29.235,27.56,2020-05-11 04:00:00,317,TRNS
34710,27.7092,28.91,26.77,29.63,26.52,2020-05-12 04:00:00,649,TRNS
30003,26.3495,26.77,26.64,27.04,25.49,2020-05-13 04:00:00,348,TRNS
