volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
470228,13.5807,13.63,13.67,13.75,13.35,2020-02-20 05:00:00,5255,TTMI
643527,13.3053,13.57,13.31,13.57,13.17,2020-02-21 05:00:00,6395,TTMI
1020718,13.1487,12.66,13.2,13.33,12.6,2020-02-24 05:00:00,9327,TTMI
2211886,13.1808,13.26,13.28,13.42,12.89,2020-02-25 05:00:00,11473,TTMI
1059799,13.2146,13.36,13.01,13.67,12.985,2020-02-26 05:00:00,9750,TTMI
1424830,12.9277,12.58,12.82,13.245,12.38,2020-02-27 05:00:00,11805,TTMI
1739907,12.9209,12.34,12.99,13.34,12.27,2020-02-28 05:00:00,14680,TTMI
1021574,13.0537,13.07,13.29,13.31,12.67,2020-03-02 05:00:00,9682,TTMI
919560,13.1812,13.23,13.105,13.55,12.92,2020-03-03 05:00:00,9896,TTMI
854958,13.3399,13.28,13.46,13.48,12.94,2020-03-04 05:00:00,6155,TTMI
932693,13.098700000000001,13.16,13.06,13.3,12.93,2020-03-05 05:00:00,7363,TTMI
814795,12.8201,12.59,12.81,13.26,12.53,2020-03-06 05:00:00,8478,TTMI
1631483,11.6387,12.01,11.4,12.11,11.01,2020-03-09 04:00:00,14972,TTMI
1509131,11.3877,11.79,11.69,11.845,11.1,2020-03-10 04:00:00,11738,TTMI
1846091,10.7856,11.11,10.57,11.3,10.52,2020-03-11 04:00:00,16141,TTMI
2462433,9.7813,10.2,9.75,10.35,9.5,2020-03-12 04:00:00,17327,TTMI
3021327,9.473,10.27,10.11,10.5,9.02,2020-03-13 04:00:00,17677,TTMI
1443261,9.1674,9.16,9.17,9.56,8.74,2020-03-16 04:00:00,11958,TTMI
2544056,9.7991,9.23,10.31,10.38,8.83,2020-03-17 04:00:00,16248,TTMI
1424121,9.373,9.75,9.16,10.04,8.86,2020-03-18 04:00:00,12005,TTMI
2272551,9.971,9.14,9.98,10.6907,8.57,2020-03-19 04:00:00,17669,TTMI
2284222,9.4072,9.95,8.99,10.25,8.89,2020-03-20 04:00:00,16320,TTMI
1723010,8.588799999999999,9.17,8.84,9.24,8.0595,2020-03-23 04:00:00,14082,TTMI
1950277,10.0942,9.38,10.03,10.75,9.11,2020-03-24 04:00:00,13814,TTMI
1986966,10.292,10.04,10.2,10.65,9.5,2020-03-25 04:00:00,17675,TTMI
1825704,10.8411,10.32,10.92,11.05,10.14,2020-03-26 04:00:00,8944,TTMI
983273,10.0712,10.49,9.88,10.68,9.82,2020-03-27 04:00:00,9521,TTMI
1101833,9.8688,9.9,9.91,10.25,9.65,2020-03-30 04:00:00,8615,TTMI
1359721,10.2148,9.96,10.34,10.445,9.81,2020-03-31 04:00:00,12517,TTMI
1267512,9.6679,9.82,9.64,10.07,9.5199,2020-04-01 04:00:00,12620,TTMI
1170441,9.5955,9.57,9.56,10.07,9.28,2020-04-02 04:00:00,10589,TTMI
1147199,9.2964,9.57,9.27,9.92,9.09,2020-04-03 04:00:00,11644,TTMI
2165482,10.3604,9.76,10.51,10.55,9.58,2020-04-06 04:00:00,16416,TTMI
2087300,10.6462,10.94,10.54,11.08,10.415,2020-04-07 04:00:00,17179,TTMI
950478,10.8537,10.73,10.92,11.005,10.5,2020-04-08 04:00:00,9275,TTMI
1696331,11.0144,11.26,10.97,11.35,10.77,2020-04-09 04:00:00,12181,TTMI
734145,10.7855,10.87,10.92,10.98,10.515,2020-04-13 04:00:00,8560,TTMI
918448,11.0573,11.17,11.04,11.489,10.88,2020-04-14 04:00:00,6979,TTMI
1363546,10.3025,10.62,10.16,10.81,10.095,2020-04-15 04:00:00,11382,TTMI
1593843,10.098700000000001,10.16,10.19,10.41,9.845,2020-04-16 04:00:00,9830,TTMI
1263068,10.18,10.51,10.2,10.715,9.98,2020-04-17 04:00:00,10313,TTMI
1344230,10.6166,10.12,10.63,10.82,10.0,2020-04-20 04:00:00,11037,TTMI
1326894,10.1138,10.35,10.03,10.41,9.97,2020-04-21 04:00:00,9239,TTMI
516704,10.2723,10.38,10.25,10.38,10.15,2020-04-22 04:00:00,5016,TTMI
619791,10.5753,10.3,10.46,10.785,10.3,2020-04-23 04:00:00,6571,TTMI
615109,10.6999,10.5,10.76,10.82,10.475,2020-04-24 04:00:00,5104,TTMI
1308190,11.2293,10.86,11.34,11.47,10.645,2020-04-27 04:00:00,9495,TTMI
1568878,11.1085,11.6,10.93,11.78,10.91,2020-04-28 04:00:00,12024,TTMI
1678779,11.5363,11.35,11.63,11.75,10.99,2020-04-29 04:00:00,13049,TTMI
1408290,11.5181,11.5,11.59,11.905,10.83,2020-04-30 04:00:00,13419,TTMI
5262678,10.9043,11.19,10.92,11.21,10.75,2020-05-01 04:00:00,13104,TTMI
921088,10.8798,10.82,10.92,11.04,10.5,2020-05-04 04:00:00,7223,TTMI
1513408,11.1117,11.09,11.04,11.31,11.01,2020-05-05 04:00:00,8276,TTMI
725411,11.0651,11.07,11.02,11.21,10.88,2020-05-06 04:00:00,5692,TTMI
660200,11.2678,11.15,11.28,11.34,11.09,2020-05-07 04:00:00,6662,TTMI
1357034,11.5707,11.52,11.75,11.85,11.32,2020-05-08 04:00:00,10137,TTMI
1102885,11.3925,11.55,11.4,11.56,11.2,2020-05-11 04:00:00,9032,TTMI
859502,11.0893,11.39,10.96,11.46,10.88,2020-05-12 04:00:00,7519,TTMI
1109277,10.5354,10.85,10.5,10.85,10.275,2020-05-13 04:00:00,9932,TTMI
892674,10.4749,10.28,10.64,10.67,10.1,2020-05-14 04:00:00,9236,TTMI
860856,10.3448,10.49,10.32,10.64,10.08,2020-05-15 04:00:00,7060,TTMI
1566342,11.1795,10.76,11.25,11.4,10.76,2020-05-18 04:00:00,12147,TTMI
962720,11.4812,11.25,11.32,11.74,11.12,2020-05-19 04:00:00,8610,TTMI
916452,11.7643,11.54,11.77,11.91,11.47,2020-05-20 04:00:00,8547,TTMI
2074705,11.3261,11.76,11.235,11.81,11.18,2020-05-21 04:00:00,8465,TTMI
472178,11.3089,11.25,11.36,11.38,11.11,2020-05-22 04:00:00,4916,TTMI
989574,11.7293,11.8,11.62,11.985,11.58,2020-05-26 04:00:00,8795,TTMI
1047765,11.9269,11.8,12.02,12.12,11.6,2020-05-27 04:00:00,9273,TTMI
745782,11.7659,12.21,11.63,12.21,11.58,2020-05-28 04:00:00,7607,TTMI
