volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1610142,51.2638,50.14,51.68,52.15,49.78,2020-02-20 05:00:00,12856,TW
770168,51.5845,51.57,51.795,52.18,50.64,2020-02-21 05:00:00,5899,TW
1190220,51.651,50.68,51.15,52.74,50.5129,2020-02-24 05:00:00,8257,TW
1198830,49.8999,51.29,49.78,51.29,49.37,2020-02-25 05:00:00,8311,TW
888168,49.954,49.66,50.0,50.49,49.32,2020-02-26 05:00:00,7173,TW
699120,49.2856,49.18,48.77,50.09,48.5345,2020-02-27 05:00:00,6119,TW
1334765,48.1546,47.82,48.22,48.98,47.4,2020-02-28 05:00:00,10217,TW
1236896,49.8679,48.78,50.26,50.57,48.3,2020-03-02 05:00:00,11092,TW
815662,51.519,50.51,51.84,52.4533,50.15,2020-03-03 05:00:00,7171,TW
1187530,51.8419,52.6,51.7,53.35,51.16,2020-03-04 05:00:00,10336,TW
758384,51.1976,51.09,51.12,51.99,50.77,2020-03-05 05:00:00,8546,TW
1031629,49.7865,50.6,49.58,51.17,48.63,2020-03-06 05:00:00,9102,TW
1538125,46.6483,47.01,46.85,48.18,45.6,2020-03-09 04:00:00,12271,TW
869670,48.3893,47.5,49.73,49.99,46.98,2020-03-10 04:00:00,8590,TW
922986,48.7009,48.61,48.63,49.48,48.1138,2020-03-11 04:00:00,7694,TW
935438,44.0686,45.93,43.23,47.04,42.27,2020-03-12 04:00:00,8536,TW
1056478,42.0283,43.48,43.4,45.53,39.65,2020-03-13 04:00:00,9688,TW
760925,39.755,39.63,38.87,41.69,37.65,2020-03-16 04:00:00,7584,TW
1215446,38.6832,38.91,40.07,40.85,37.01,2020-03-17 04:00:00,10428,TW
958732,36.3747,40.44,36.22,40.5398,33.2301,2020-03-18 04:00:00,9586,TW
1220646,38.7291,35.72,40.0,43.99,35.04,2020-03-19 04:00:00,10031,TW
1659337,39.1532,39.62,39.27,41.25,36.63,2020-03-20 04:00:00,11118,TW
1006301,37.6341,39.04,36.64,39.15,36.03,2020-03-23 04:00:00,9722,TW
1045064,40.0573,38.22,40.35,40.94,38.22,2020-03-24 04:00:00,8678,TW
863417,42.1646,40.44,41.61,43.95,39.87,2020-03-25 04:00:00,5225,TW
800396,42.3523,42.07,42.64,43.6641,41.13,2020-03-26 04:00:00,7670,TW
559744,41.6546,41.51,42.1,42.97,40.055,2020-03-27 04:00:00,5139,TW
430733,41.744,42.22,41.97,42.47,40.99,2020-03-30 04:00:00,5066,TW
772157,41.5244,41.52,42.04,42.28,40.17,2020-03-31 04:00:00,6652,TW
817995,41.9732,40.78,42.71,42.96,40.09,2020-04-01 04:00:00,8325,TW
644056,44.4879,42.9,45.69,45.8,42.77,2020-04-02 04:00:00,6418,TW
777654,45.3596,46.24,45.44,46.32,44.98,2020-04-03 04:00:00,6184,TW
678528,47.2074,46.33,48.11,48.5,45.875,2020-04-06 04:00:00,6338,TW
721849,48.4746,48.78,48.25,49.62,47.62,2020-04-07 04:00:00,5553,TW
590504,49.1262,48.88,49.28,49.95,48.11,2020-04-08 04:00:00,6231,TW
929492,48.3553,49.08,47.44,50.98,46.5,2020-04-09 04:00:00,9844,TW
457630,46.8881,47.5,47.14,47.91,45.7,2020-04-13 04:00:00,4637,TW
963856,49.3448,47.86,49.53,50.64,47.85,2020-04-14 04:00:00,8078,TW
1244522,50.9782,48.67,51.57,52.87,48.1101,2020-04-15 04:00:00,9172,TW
1483448,53.718,52.23,53.16,55.27,52.23,2020-04-16 04:00:00,9669,TW
1071960,52.006,54.24,51.63,54.6952,51.0,2020-04-17 04:00:00,8678,TW
1031146,52.5439,51.64,52.48,53.34,51.2501,2020-04-20 04:00:00,6885,TW
807916,51.1949,50.9,51.44,52.98,49.99,2020-04-21 04:00:00,7768,TW
689399,51.3642,52.47,51.25,52.47,50.61,2020-04-22 04:00:00,6141,TW
4264786,52.4567,52.06,52.52,53.77,52.0,2020-04-23 04:00:00,32916,TW
2008116,52.7196,52.86,53.0,53.24,51.84,2020-04-24 04:00:00,13980,TW
1456182,55.0834,53.67,56.2,56.3,53.56,2020-04-27 04:00:00,12002,TW
871368,54.1149,56.06,53.41,57.05,53.0,2020-04-28 04:00:00,10167,TW
605052,53.7201,54.2,53.45,54.7215,53.01,2020-04-29 04:00:00,7502,TW
564974,52.4195,53.38,52.16,54.3908,51.895,2020-04-30 04:00:00,6833,TW
753521,52.017,52.97,51.92,52.97,51.22,2020-05-01 04:00:00,7238,TW
560737,53.3047,52.25,53.7,53.9,51.96,2020-05-04 04:00:00,6042,TW
627466,54.1604,54.03,54.05,54.61,53.56,2020-05-05 04:00:00,6951,TW
494894,53.872,54.02,53.46,54.73,53.195,2020-05-06 04:00:00,5307,TW
643368,55.3717,55.92,55.25,56.8,53.89,2020-05-07 04:00:00,8303,TW
1317792,57.5583,57.06,58.18,58.32,56.37,2020-05-08 04:00:00,12710,TW
1435125,59.7534,58.49,59.94,60.24,58.31,2020-05-11 04:00:00,13682,TW
1014678,59.2081,61.44,58.74,61.44,58.7,2020-05-12 04:00:00,11246,TW
1238166,60.0569,59.81,59.95,61.6,58.3935,2020-05-13 04:00:00,15307,TW
906997,59.1663,59.63,59.0,60.505,58.01,2020-05-14 04:00:00,11484,TW
817988,60.5078,59.05,60.81,61.16,58.7901,2020-05-15 04:00:00,9557,TW
891625,62.5793,61.7,62.17,63.59,61.7,2020-05-18 04:00:00,11500,TW
465412,61.1684,62.0,60.5,62.69,60.35,2020-05-19 04:00:00,6716,TW
455823,61.659,61.26,61.67,62.5,61.0,2020-05-20 04:00:00,6540,TW
438848,61.2128,61.38,61.39,62.1,60.3,2020-05-21 04:00:00,5826,TW
402118,62.075,60.58,62.52,62.78,60.1,2020-05-22 04:00:00,5835,TW
653471,63.7048,64.64,63.27,64.96,62.8293,2020-05-26 04:00:00,9325,TW
1511254,60.7725,62.92,61.24,63.39,59.12,2020-05-27 04:00:00,16230,TW
1322438,62.5827,61.88,62.96,63.5,61.01,2020-05-28 04:00:00,14172,TW
5176938,65.6341,63.81,65.96,66.37,63.155,2020-05-29 04:00:00,24806,TW
1514453,67.0776,65.74,67.22,68.585,64.9,2020-06-01 04:00:00,17935,TW
1018693,68.112,67.29,68.0,69.055,66.25,2020-06-02 04:00:00,10686,TW
1883941,64.0072,67.54,63.99,67.72,62.66,2020-06-03 04:00:00,17614,TW
913649,63.5016,63.58,63.5,64.405,62.695,2020-06-04 04:00:00,10544,TW
1739808,62.2985,63.41,62.17,64.21,60.53,2020-06-05 04:00:00,19208,TW
1507572,63.1802,62.0,63.49,64.28,61.395,2020-06-08 04:00:00,18476,TW
861163,64.5579,63.2,65.01,65.44,62.43,2020-06-09 04:00:00,12160,TW
751041,65.4376,65.61,65.63,66.22,64.665,2020-06-10 04:00:00,9576,TW
849077,62.8985,65.29,61.86,65.71,61.61,2020-06-11 04:00:00,12800,TW
828881,62.1235,62.74,62.53,63.6109,60.82,2020-06-12 04:00:00,10168,TW
547302,62.6458,61.48,63.19,63.245,61.1,2020-06-15 04:00:00,9293,TW
909709,63.0743,63.93,62.66,64.4153,62.31,2020-06-16 04:00:00,12305,TW
1304387,63.0975,62.9,63.17,64.125,62.03,2020-06-17 04:00:00,15069,TW
919495,63.644,63.13,63.66,64.6,62.44,2020-06-18 04:00:00,11223,TW
956873,64.0571,64.5,64.42,64.85,62.85,2020-06-19 04:00:00,9509,TW
1337733,62.3594,63.54,62.32,63.74,61.2723,2020-06-22 04:00:00,16941,TW
1041435,62.566,62.75,62.45,63.27,61.25,2020-06-23 04:00:00,13562,TW
