volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2487936,131.5436,132.61,131.47,133.26,130.34,2020-02-20 05:00:00,27564,TXN
4121290,128.7853,130.76,128.52,130.83,127.96,2020-02-21 05:00:00,41545,TXN
7483779,122.5058,124.01,121.44,125.26,121.25,2020-02-24 05:00:00,76073,TXN
6347264,119.7147,122.9,118.38,123.03,118.015,2020-02-25 05:00:00,68284,TXN
5778181,119.16,119.29,118.79,120.64,117.63,2020-02-26 05:00:00,61722,TXN
8687345,115.5923,116.35,113.13,118.49,113.07,2020-02-27 05:00:00,81116,TXN
11432756,112.8462,109.45,114.14,116.12,108.61,2020-02-28 05:00:00,111124,TXN
7207458,116.7105,115.16,118.97,119.07,113.32,2020-03-02 05:00:00,78323,TXN
9217500,115.1265,118.38,113.81,120.12,112.21,2020-03-03 05:00:00,99955,TXN
5556691,117.787,115.77,119.05,119.09,114.34,2020-03-04 05:00:00,54320,TXN
6162250,114.9806,115.17,114.72,117.21,113.71,2020-03-05 05:00:00,62487,TXN
6386222,112.2827,111.09,113.16,113.8732,110.14,2020-03-06 05:00:00,67974,TXN
8454636,106.6813,105.11,105.04,110.08,104.4201,2020-03-09 04:00:00,91029,TXN
9206433,109.2337,108.83,112.12,112.14,104.745,2020-03-10 04:00:00,90193,TXN
9636948,107.9229,109.54,106.5,111.44,105.79,2020-03-11 04:00:00,86447,TXN
15158498,99.7251,99.42,97.53,104.73,96.55,2020-03-12 04:00:00,148346,TXN
16040243,103.4455,103.31,106.04,107.47,98.46,2020-03-13 04:00:00,139568,TXN
12389356,99.1404,95.88,93.5,104.5,93.09,2020-03-16 04:00:00,118830,TXN
16243501,102.0121,96.03,106.15,107.64,95.11,2020-03-17 04:00:00,163040,TXN
16413940,99.6787,100.05,100.0,105.82,94.15,2020-03-18 04:00:00,141412,TXN
9298541,101.5073,99.39,101.57,105.0,97.12,2020-03-19 04:00:00,96691,TXN
10253305,100.6722,104.5,97.6,105.5,97.1,2020-03-20 04:00:00,85830,TXN
9680823,97.9329,97.35,98.44,101.96,94.92,2020-03-23 04:00:00,93199,TXN
9385741,103.2231,102.145,105.36,105.68,99.46,2020-03-24 04:00:00,87463,TXN
11862056,100.7455,104.33,99.16,105.83,98.51,2020-03-25 04:00:00,103827,TXN
10442996,104.7405,99.4,107.76,108.84,99.01,2020-03-26 04:00:00,93235,TXN
7579184,101.6759,104.0,100.5,105.0,100.07,2020-03-27 04:00:00,73873,TXN
6950754,102.2052,100.4,102.02,103.44,100.3,2020-03-30 04:00:00,64034,TXN
8970003,100.6843,102.02,99.93,103.185,99.48,2020-03-31 04:00:00,79200,TXN
8214664,97.9611,96.1,96.89,100.37,96.07,2020-04-01 04:00:00,86625,TXN
8353715,100.4409,96.26,102.02,102.22,96.1,2020-04-02 04:00:00,73911,TXN
6587405,100.2075,102.44,99.98,103.64,98.85,2020-04-03 04:00:00,70252,TXN
7189653,107.4228,104.58,108.96,109.56,103.51,2020-04-06 04:00:00,65671,TXN
7762249,108.5416,111.69,106.26,112.93,105.83,2020-04-07 04:00:00,77643,TXN
5426602,109.3535,108.19,110.17,110.67,106.22,2020-04-08 04:00:00,55337,TXN
5902415,109.392,111.0,107.69,112.21,107.08,2020-04-09 04:00:00,66099,TXN
5209410,107.2496,105.5,107.67,108.45,105.3,2020-04-13 04:00:00,50126,TXN
8142378,110.3408,109.52,110.95,111.4275,108.97,2020-04-14 04:00:00,67757,TXN
5381347,107.7395,109.08,107.98,109.14,106.76,2020-04-15 04:00:00,55217,TXN
5777685,110.3409,109.42,111.39,111.91,107.81,2020-04-16 04:00:00,57900,TXN
6100164,112.6495,111.61,113.55,114.06,110.73,2020-04-17 04:00:00,61086,TXN
7957252,112.9855,111.52,111.53,115.12,111.3,2020-04-20 04:00:00,62974,TXN
8799824,107.84,110.2,106.84,110.75,106.5,2020-04-21 04:00:00,103845,TXN
10961262,110.8804,109.68,111.98,112.46,108.61,2020-04-22 04:00:00,85271,TXN
5374254,111.6815,111.74,110.46,113.9,110.18,2020-04-23 04:00:00,54924,TXN
5570180,112.9042,111.35,113.93,114.0,111.04,2020-04-24 04:00:00,60750,TXN
4728247,115.1954,114.0,115.78,116.24,113.02,2020-04-27 04:00:00,53977,TXN
5762275,116.0451,118.12,114.24,119.805,114.07,2020-04-28 04:00:00,57676,TXN
4936870,118.5143,115.93,119.4,119.68,115.87,2020-04-29 04:00:00,50354,TXN
5781032,116.1748,117.54,116.07,117.99,115.19,2020-04-30 04:00:00,57845,TXN
5839885,110.5409,112.38,109.71,113.25,109.45,2020-05-01 04:00:00,61252,TXN
4986670,109.3,108.92,110.5,110.66,107.84,2020-05-04 04:00:00,48934,TXN
5242554,111.9183,111.5,111.54,113.19,110.8,2020-05-05 04:00:00,45593,TXN
3701441,112.9081,112.4,112.42,113.85,111.98,2020-05-06 04:00:00,35203,TXN
3610293,113.9024,113.89,113.65,114.93,112.62,2020-05-07 04:00:00,38631,TXN
4331296,114.7381,113.96,115.0,115.54,112.75,2020-05-08 04:00:00,45188,TXN
2723621,114.7996,113.41,114.88,115.77,113.41,2020-05-11 04:00:00,33364,TXN
3547084,113.0527,115.14,111.69,115.87,111.34,2020-05-12 04:00:00,38937,TXN
4653232,109.4823,112.92,109.07,112.92,107.38,2020-05-13 04:00:00,55835,TXN
4396124,108.7168,109.0,110.35,110.44,106.42,2020-05-14 04:00:00,46360,TXN
7237711,107.5588,106.54,108.24,108.37,105.45,2020-05-15 04:00:00,62621,TXN
6527364,113.7198,111.1829,114.42,115.15,110.26,2020-05-18 04:00:00,51005,TXN
4595070,114.1968,114.02,112.68,115.34,112.53,2020-05-19 04:00:00,41864,TXN
4961617,117.3414,115.14,117.48,118.83,114.64,2020-05-20 04:00:00,52819,TXN
4381862,114.2918,116.44,113.46,117.33,113.38,2020-05-21 04:00:00,45844,TXN
3061595,113.0559,113.53,113.43,113.87,112.32,2020-05-22 04:00:00,36990,TXN
4822042,116.5534,115.81,115.73,117.61,115.51,2020-05-26 04:00:00,52531,TXN
4079439,117.0434,116.43,117.82,117.97,115.54,2020-05-27 04:00:00,49300,TXN
3798358,116.8986,117.76,115.87,118.69,115.51,2020-05-28 04:00:00,39617,TXN
5953578,118.0571,116.81,118.74,119.26,115.66,2020-05-29 04:00:00,46895,TXN
2842695,117.8359,117.77,117.86,118.4,116.83,2020-06-01 04:00:00,36488,TXN
7277681,121.3504,118.6,122.67,122.93,117.84,2020-06-02 04:00:00,67936,TXN
7650633,127.2959,126.67,127.21,128.47,125.64,2020-06-03 04:00:00,81994,TXN
5052550,128.1664,126.38,128.58,129.0,126.29,2020-06-04 04:00:00,54416,TXN
7788781,132.3502,130.96,131.44,135.68,130.55,2020-06-05 04:00:00,71363,TXN
5602583,131.9683,130.66,132.86,133.285,129.63,2020-06-08 04:00:00,56135,TXN
4449968,131.8296,131.35,132.12,132.91,130.15,2020-06-09 04:00:00,49721,TXN
4005725,131.6953,132.45,131.4,132.79,130.99,2020-06-10 04:00:00,48326,TXN
6014011,126.086,129.05,124.61,129.2208,124.33,2020-06-11 04:00:00,69066,TXN
5950875,124.294,127.266,123.97,127.74,122.4,2020-06-12 04:00:00,67498,TXN
5152867,123.2407,121.57,124.23,124.53,120.8,2020-06-15 04:00:00,55968,TXN
3529595,126.6117,128.27,126.11,129.13,124.475,2020-06-16 04:00:00,44498,TXN
2934184,126.7385,127.06,126.22,127.865,125.79,2020-06-17 04:00:00,35101,TXN
3062581,125.9118,125.73,125.98,126.63,125.09,2020-06-18 04:00:00,34346,TXN
10376887,125.525,128.06,124.885,128.24,123.97,2020-06-19 04:00:00,56805,TXN
3677664,124.8611,124.77,125.23,125.46,123.11,2020-06-22 04:00:00,40775,TXN
4679048,126.9882,126.63,126.62,128.095,126.0,2020-06-23 04:00:00,42674,TXN
4747121,124.3949,125.29,123.99,126.8,123.13,2020-06-24 04:00:00,55656,TXN
2617173,124.0556,124.0,125.06,125.34,122.35,2020-06-25 04:00:00,34678,TXN
9870946,123.3464,124.63,123.37,124.8908,122.3965,2020-06-26 04:00:00,44485,TXN
3540060,124.2956,123.85,124.77,124.95,122.42,2020-06-29 04:00:00,40452,TXN
5572367,126.8189,124.4,126.97,127.7,124.35,2020-06-30 04:00:00,42877,TXN
4021990,125.2837,126.6,124.8,126.86,124.67,2020-07-01 04:00:00,38547,TXN
4798950,126.1375,126.39,125.81,127.17,125.02,2020-07-02 04:00:00,43607,TXN
4957024,129.4582,127.51,129.53,130.53,126.2,2020-07-06 04:00:00,50210,TXN
3778525,128.7674,128.73,128.6,129.47,128.25,2020-07-07 04:00:00,41083,TXN
3583752,128.994,129.67,129.26,129.74,127.69,2020-07-08 04:00:00,35407,TXN
4977357,130.0013,128.79,130.43,131.99,126.9,2020-07-09 04:00:00,60387,TXN
2659255,130.1963,130.22,130.53,131.235,128.96,2020-07-10 04:00:00,34434,TXN
4861922,130.6201,132.0,128.82,133.59,128.49,2020-07-13 04:00:00,58171,TXN
4247456,130.33,127.79,131.89,132.23,126.71,2020-07-14 04:00:00,48785,TXN
3625137,131.7245,131.43,132.15,132.45,130.09,2020-07-15 04:00:00,42192,TXN
3337688,131.7122,130.85,132.18,132.69,130.51,2020-07-16 04:00:00,36194,TXN
4666239,133.7427,133.51,133.89,135.0,132.25,2020-07-17 04:00:00,40806,TXN
4623121,135.8007,134.2,136.58,137.0,133.19,2020-07-20 04:00:00,52723,TXN
7748874,136.3234,137.0881,135.48,137.65,135.26,2020-07-21 04:00:00,74693,TXN
10911866,132.5715,134.6,132.53,135.18,130.49,2020-07-22 04:00:00,107410,TXN
7793548,130.0339,133.0,129.04,133.15,128.32,2020-07-23 04:00:00,83171,TXN
5077126,130.152,129.75,129.63,131.97,128.11,2020-07-24 04:00:00,58425,TXN
3874495,131.8495,130.35,132.12,132.33,130.04,2020-07-27 04:00:00,41634,TXN
3545276,130.55,130.9,130.13,131.81,129.72,2020-07-28 04:00:00,40830,TXN
2818329,131.3774,130.93,131.64,132.3,130.59,2020-07-29 04:00:00,35343,TXN
4146867,128.5311,128.45,128.89,129.87,127.74,2020-07-30 04:00:00,48840,TXN
8044132,126.7156,128.35,127.55,128.6,125.43,2020-07-31 04:00:00,66765,TXN
4311843,128.9813,128.15,129.32,129.5,127.68,2020-08-03 04:00:00,48190,TXN
5361540,131.2097,129.04,132.23,132.33,128.71,2020-08-04 04:00:00,45239,TXN
4370266,132.0353,130.5,132.7,132.79,130.48,2020-08-05 04:00:00,44331,TXN
2961770,133.2811,132.59,133.74,133.82,132.03,2020-08-06 04:00:00,38338,TXN
2856748,133.3003,133.74,133.56,134.11,132.47,2020-08-07 04:00:00,33706,TXN
5526700,134.809,133.22,135.41,135.81,132.47,2020-08-10 04:00:00,48985,TXN
5383829,137.543,136.81,136.04,138.83,135.65,2020-08-11 04:00:00,65386,TXN
3073749,138.3512,137.47,138.64,139.1399,136.65,2020-08-12 04:00:00,37144,TXN
2945103,137.4439,138.11,137.15,138.6,136.95,2020-08-13 04:00:00,39479,TXN
2062933,137.5676,137.73,137.35,138.31,137.0,2020-08-14 04:00:00,29801,TXN
2380521,138.4877,137.86,138.28,139.24,137.63,2020-08-17 04:00:00,28363,TXN
2760749,139.0601,138.96,139.31,139.455,138.2,2020-08-18 04:00:00,34030,TXN
3803285,139.3192,139.67,138.48,140.88,138.03,2020-08-19 04:00:00,39852,TXN
2761194,138.0658,137.31,138.57,139.13,136.62,2020-08-20 04:00:00,38595,TXN
4382515,139.3998,138.12,140.33,140.49,137.19,2020-08-21 04:00:00,41266,TXN
2841274,140.7858,140.86,141.02,141.81,139.9196,2020-08-24 04:00:00,32690,TXN
2840696,141.5352,141.58,141.66,142.215,140.98,2020-08-25 04:00:00,32923,TXN
2974138,142.2057,141.32,142.45,142.69,141.12,2020-08-26 04:00:00,33084,TXN
2801034,141.6104,143.06,141.49,143.23,140.52,2020-08-27 04:00:00,40390,TXN
2884765,142.8755,141.51,143.49,143.59,141.1,2020-08-28 04:00:00,34224,TXN
4344554,142.3177,142.65,142.15,143.27,141.82,2020-08-31 04:00:00,40775,TXN
3564400,144.1199,143.0,144.96,145.06,142.04,2020-09-01 04:00:00,45917,TXN
4579461,147.0616,146.45,147.64,148.37,145.49,2020-09-02 04:00:00,61435,TXN
5866361,142.6573,147.0,141.67,147.44,140.56,2020-09-03 04:00:00,74749,TXN
5251718,139.9924,140.85,140.47,142.52,137.71,2020-09-04 04:00:00,71546,TXN
5893677,136.901,136.2,136.04,138.71,135.75,2020-09-08 04:00:00,70870,TXN
5418553,139.591,138.21,139.68,140.85,137.19,2020-09-09 04:00:00,49414,TXN
3985960,138.0449,139.42,137.19,141.25,136.22,2020-09-10 04:00:00,47274,TXN
3524401,136.7518,138.22,136.37,139.0,135.25,2020-09-11 04:00:00,48362,TXN
3120599,138.4411,138.3188,138.53,139.11,137.63,2020-09-14 04:00:00,36213,TXN
2718779,140.93,139.79,140.64,141.82,139.36,2020-09-15 04:00:00,34185,TXN
3591759,140.7298,142.09,139.68,142.13,139.61,2020-09-16 04:00:00,39518,TXN
