volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
171504,9.7959,9.8,9.79,9.85,9.72,2022-01-25 05:00:00,69,UTAA
1283,9.8398,9.87,9.82,9.87,9.82,2022-01-26 05:00:00,12,UTAA
1010,9.8302,9.83,9.83,9.8308,9.83,2022-01-27 05:00:00,8,UTAA
433,9.8124,9.8,9.8,9.8,9.8,2022-01-28 05:00:00,7,UTAA
19668,9.8677,9.784,9.86,9.94,9.784,2022-01-31 05:00:00,75,UTAA
400,9.9,9.9,9.9,9.9,9.9,2022-02-02 05:00:00,2,UTAA
4000,9.8485,9.85,9.85,9.85,9.83,2022-02-03 05:00:00,6,UTAA
7262,9.8248,9.9,9.81,9.9,9.79,2022-02-04 05:00:00,68,UTAA
220,9.77,9.802,9.7381,9.802,9.7381,2022-02-08 05:00:00,3,UTAA
613,9.804,9.8,9.8,9.82,9.8,2022-02-09 05:00:00,7,UTAA
99971,9.8916,9.9,9.89,9.94,9.75,2022-02-11 05:00:00,47,UTAA
115,9.873,9.89,9.89,9.89,9.89,2022-02-17 05:00:00,2,UTAA
