volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2471343,10.0516,10.12,10.03,10.16,9.98,2021-05-04 04:00:00,4942,VLATU
68002,10.0,10.0,10.0,10.01,9.99,2021-05-05 04:00:00,152,VLATU
103700,10.0001,10.0,10.0,10.0048,10.0,2021-05-06 04:00:00,10,VLATU
34456,10.0893,10.1,10.01,10.15,10.0,2021-05-07 04:00:00,82,VLATU
7520,10.0128,10.0,10.0,10.055,10.0,2021-05-10 04:00:00,24,VLATU
254,10.0143,10.0,10.0,10.0,10.0,2021-05-11 04:00:00,3,VLATU
4702,9.9953,9.99,9.99,10.0,9.99,2021-05-12 04:00:00,9,VLATU
3000,10.0,10.0,10.0,10.0,10.0,2021-05-13 04:00:00,2,VLATU
679,9.9878,10.0,9.96,10.0,9.96,2021-05-14 04:00:00,7,VLATU
3226,9.933,10.0,9.9,10.0,9.9,2021-05-17 04:00:00,22,VLATU
2317,9.9266,9.95,9.9,10.0,9.9,2021-05-19 04:00:00,6,VLATU
28990,9.96,9.96,9.96,9.9601,9.96,2021-05-21 04:00:00,10,VLATU
100,9.99,9.99,9.99,9.99,9.99,2021-05-25 04:00:00,1,VLATU
7423,9.9845,10.0,9.95,10.0,9.95,2021-05-26 04:00:00,14,VLATU
100100,9.93,9.93,9.93,9.93,9.93,2021-06-03 04:00:00,3,VLATU
392,10.0451,10.04,10.05,10.05,10.04,2021-06-04 04:00:00,3,VLATU
3400,9.9623,9.93,9.97,9.987,9.93,2021-06-09 04:00:00,5,VLATU
3297,9.9531,9.955,9.94,9.96,9.94,2021-06-10 04:00:00,7,VLATU
13860,9.943,9.94,9.94,10.03,9.94,2021-06-11 04:00:00,13,VLATU
5198,9.9498,9.95,9.95,9.95,9.95,2021-06-14 04:00:00,5,VLATU
15041,9.9999,10.0,10.0,10.0,10.0,2021-06-15 04:00:00,5,VLATU
9525,9.9861,10.0,9.98,10.0,9.98,2021-06-16 04:00:00,13,VLATU
200,9.96,9.96,9.96,9.96,9.96,2021-06-17 04:00:00,2,VLATU
78301,9.95,9.95,9.95,9.95,9.9459,2021-06-18 04:00:00,81,VLATU
1105,9.9609,9.9608,9.96,9.9608,9.96,2021-06-22 04:00:00,3,VLATU
6295,9.96,9.96,9.96,9.96,9.96,2021-06-23 04:00:00,7,VLATU
10099,9.9998,10.0,10.0,10.0,10.0,2021-06-25 04:00:00,2,VLATU
44714,9.9894,9.98,9.99,9.9939,9.98,2021-06-28 04:00:00,16,VLATU
37583,9.955400000000001,9.98,9.96,9.98,9.945,2021-06-29 04:00:00,101,VLATU
40952,9.966,10.0,9.94,10.0,9.94,2021-06-30 04:00:00,98,VLATU
21904,9.95,9.95,9.95,9.95,9.95,2021-07-01 04:00:00,122,VLATU
5026,9.95,9.95,9.95,9.95,9.95,2021-07-06 04:00:00,14,VLATU
10663,9.9504,9.95,9.95,9.95,9.95,2021-07-07 04:00:00,12,VLATU
1622,9.9995,10.0,10.0,10.0,10.0,2021-07-08 04:00:00,6,VLATU
4920,9.9755,9.9999,9.97,10.0,9.97,2021-07-12 04:00:00,5,VLATU
605,9.9988,10.0,10.0,10.0,10.0,2021-07-13 04:00:00,3,VLATU
587,9.9791,9.985,9.985,9.985,9.98,2021-07-16 04:00:00,7,VLATU
4444,9.9629,9.96,9.96,9.96,9.96,2021-07-21 04:00:00,405,VLATU
606,9.9983,9.99,10.0,10.0,9.99,2021-07-22 04:00:00,2,VLATU
1000,9.944700000000001,9.944700000000001,9.944700000000001,9.944700000000001,9.944700000000001,2021-07-28 04:00:00,1,VLATU
400,9.93,9.93,9.93,9.93,9.93,2021-07-29 04:00:00,1,VLATU
1000,9.9176,9.9176,9.9176,9.9176,9.9176,2021-08-05 04:00:00,1,VLATU
1000,9.9078,9.9078,9.9078,9.9078,9.9078,2021-08-06 04:00:00,1,VLATU
500,10.0,10.0,10.0,10.0,10.0,2021-08-13 04:00:00,1,VLATU
101,9.92,9.92,9.92,9.92,9.92,2021-08-16 04:00:00,2,VLATU
10180,9.9,9.9,9.9,9.9,9.9,2021-08-23 04:00:00,18,VLATU
1440,9.8988,9.9,9.92,9.92,9.89,2021-08-24 04:00:00,21,VLATU
1742,9.85,9.85,9.85,9.85,9.85,2021-08-25 04:00:00,7,VLATU
2966,9.8692,9.85,9.88,9.88,9.85,2021-08-30 04:00:00,16,VLATU
237,9.9,9.9,9.9,9.9,9.9,2021-09-01 04:00:00,2,VLATU
250,9.9,9.9,9.9,9.9,9.9,2021-09-02 04:00:00,1,VLATU
6500,9.8562,9.85,9.87,9.87,9.85,2021-09-09 04:00:00,14,VLATU
5000,9.9001,9.9,9.9001,9.9001,9.9,2021-09-10 04:00:00,8,VLATU
5004,9.9196,9.92,9.92,9.92,9.91,2021-09-13 04:00:00,16,VLATU
4500,9.8567,9.85,9.88,9.88,9.85,2021-09-15 04:00:00,11,VLATU
5700,9.8389,9.85,9.88,9.88,9.8,2021-09-17 04:00:00,16,VLATU
6941,9.899000000000001,9.9,9.9,9.9,9.89,2021-09-20 04:00:00,73,VLATU
3000,9.92,9.92,9.92,9.92,9.92,2021-09-21 04:00:00,2,VLATU
5321,9.92,9.92,9.92,9.92,9.92,2021-09-24 04:00:00,16,VLATU
9284,9.9303,9.92,9.94,9.95,9.92,2021-09-27 04:00:00,42,VLATU
720,9.9456,9.94,9.95,9.95,9.94,2021-09-30 04:00:00,6,VLATU
1082,9.95,9.95,9.95,9.95,9.95,2021-10-01 04:00:00,8,VLATU
28775,9.9638,8.995,9.96,10.0014,8.995,2021-10-04 04:00:00,42,VLATU
209,9.9355,9.9355,9.9355,9.9355,9.9355,2021-10-06 04:00:00,1,VLATU
1000,9.8855,9.91,9.87,9.91,9.87,2021-10-07 04:00:00,12,VLATU
200,9.91,9.91,9.91,9.91,9.91,2021-10-12 04:00:00,2,VLATU
78117,9.9498,9.94,9.95,9.95,9.93,2021-10-18 04:00:00,87,VLATU
2500,9.8759,9.885,9.88,9.885,9.8213,2021-10-21 04:00:00,23,VLATU
203,9.9294,9.93,9.93,9.93,9.93,2021-10-25 04:00:00,3,VLATU
10000,9.95,9.95,9.95,9.95,9.95,2021-10-26 04:00:00,4,VLATU
648,9.956900000000001,9.97,9.925,9.97,9.925,2021-10-27 04:00:00,11,VLATU
1000,9.895,9.895,9.895,9.895,9.895,2021-10-29 04:00:00,10,VLATU
1600,9.915,9.915,9.915,9.915,9.915,2021-11-02 04:00:00,6,VLATU
10041,9.896,9.9,9.9,9.9001,9.89,2021-11-04 04:00:00,77,VLATU
976,9.893,9.9,9.9,9.9,9.9,2021-11-09 05:00:00,12,VLATU
70343,9.8976,9.92,9.9,9.95,9.885,2021-11-15 05:00:00,446,VLATU
46864,9.8801,9.88,9.9,9.9,9.87,2021-11-16 05:00:00,159,VLATU
1000,9.895,9.9,9.87,9.9,9.87,2021-11-22 05:00:00,12,VLATU
209,9.8797,9.89,9.8703,9.89,9.8703,2021-12-10 05:00:00,2,VLATU
4002,9.8608,9.88,9.85,9.88,9.85,2021-12-15 05:00:00,23,VLATU
3670,9.714,9.5,9.87,9.9,9.5,2021-12-20 05:00:00,9,VLATU
22263,9.8197,9.17,9.89,9.97,9.17,2021-12-21 05:00:00,113,VLATU
7477,9.8512,9.86,9.85,9.86,9.85,2021-12-22 05:00:00,6,VLATU
17641,9.8672,9.85,9.86,9.89,9.85,2021-12-23 05:00:00,20,VLATU
5100,9.8745,9.85,9.92,9.92,9.84,2021-12-28 05:00:00,18,VLATU
35900,9.895,9.895,9.895,9.895,9.895,2022-01-03 05:00:00,1,VLATU
500,9.9363,9.9363,9.9363,9.9363,9.9363,2022-01-05 05:00:00,1,VLATU
215,9.97,9.97,9.97,9.97,9.97,2022-01-10 05:00:00,2,VLATU
435,9.97,9.97,9.97,9.97,9.97,2022-01-11 05:00:00,4,VLATU
2529,9.9117,9.88,9.9,9.97,9.88,2022-01-20 05:00:00,35,VLATU
2392,9.8655,9.86,9.87,9.87,9.86,2022-02-11 05:00:00,34,VLATU
170,9.82,9.82,9.82,9.82,9.82,2022-02-16 05:00:00,1,VLATU
