volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
49682,22.6729,22.66,22.79,22.86,22.52,2020-02-20 05:00:00,482,VLGEA
55575,22.7095,22.7,22.66,22.87,22.61,2020-02-21 05:00:00,667,VLGEA
40307,22.5341,22.41,22.62,22.69,22.315,2020-02-24 05:00:00,534,VLGEA
92642,22.1251,22.63,21.97,22.63,21.8,2020-02-25 05:00:00,1011,VLGEA
34182,21.4148,21.99,21.26,22.0,21.12,2020-02-26 05:00:00,663,VLGEA
61117,20.9879,21.07,20.99,21.25,20.62,2020-02-27 05:00:00,654,VLGEA
78305,20.3955,20.69,20.55,20.89,20.07,2020-02-28 05:00:00,1135,VLGEA
39466,21.0599,20.7,21.17,21.295,20.58,2020-03-02 05:00:00,647,VLGEA
40284,20.9357,21.12,20.94,21.5703,20.56,2020-03-03 05:00:00,544,VLGEA
43796,21.1554,21.16,21.35,21.39,20.84,2020-03-04 05:00:00,540,VLGEA
86864,20.2804,20.91,20.0,21.64,19.95,2020-03-05 05:00:00,1114,VLGEA
73740,19.6407,19.61,20.09,20.135,19.24,2020-03-06 05:00:00,1206,VLGEA
76004,18.898,19.24,18.52,19.38,18.42,2020-03-09 04:00:00,1225,VLGEA
88331,18.6398,18.87,18.96,19.12,17.84,2020-03-10 04:00:00,1348,VLGEA
70282,17.8097,18.53,17.44,18.53,17.33,2020-03-11 04:00:00,1023,VLGEA
149861,16.9825,16.56,17.1,17.76,16.48,2020-03-12 04:00:00,1933,VLGEA
95511,18.2317,17.73,18.75,18.78,17.445,2020-03-13 04:00:00,1463,VLGEA
92933,19.3965,18.75,19.71,20.0096,18.75,2020-03-16 04:00:00,1269,VLGEA
150168,22.4976,19.51,23.69,23.93,19.51,2020-03-17 04:00:00,1926,VLGEA
155804,22.6836,23.24,22.3,23.92,21.585,2020-03-18 04:00:00,2172,VLGEA
110725,22.1571,22.61,21.57,23.46,21.37,2020-03-19 04:00:00,1599,VLGEA
122108,21.4987,21.65,21.71,21.95,20.08,2020-03-20 04:00:00,1921,VLGEA
80252,21.7301,21.8,21.92,22.7277,20.96,2020-03-23 04:00:00,1796,VLGEA
73309,22.6949,22.45,22.88,23.12,22.14,2020-03-24 04:00:00,1151,VLGEA
97521,22.2511,22.78,21.76,23.59,21.59,2020-03-25 04:00:00,1433,VLGEA
81457,22.7869,21.88,23.0,23.24,21.21,2020-03-26 04:00:00,1103,VLGEA
61801,22.4844,22.39,22.06,23.5,21.925,2020-03-27 04:00:00,920,VLGEA
107374,22.7971,22.56,23.04,23.46,22.03,2020-03-30 04:00:00,746,VLGEA
112475,23.9788,23.0,24.58,24.63,23.0,2020-03-31 04:00:00,1386,VLGEA
63114,23.384900000000002,23.82,23.45,24.43,22.91,2020-04-01 04:00:00,933,VLGEA
66438,22.7681,23.18,22.7,23.99,22.13,2020-04-02 04:00:00,1139,VLGEA
47920,22.6526,22.63,23.33,23.41,22.02,2020-04-03 04:00:00,668,VLGEA
55443,23.4363,23.74,23.5,24.04,22.865,2020-04-06 04:00:00,755,VLGEA
75559,22.7998,23.92,23.19,23.92,22.08,2020-04-07 04:00:00,1072,VLGEA
74299,22.3997,23.39,22.33,23.39,21.88,2020-04-08 04:00:00,1130,VLGEA
73486,22.3697,22.33,22.76,22.76,21.91,2020-04-09 04:00:00,1249,VLGEA
49811,22.1886,22.55,22.07,22.68,21.83,2020-04-13 04:00:00,740,VLGEA
96001,21.9473,22.37,21.98,22.4218,21.64,2020-04-14 04:00:00,1160,VLGEA
102428,21.349,21.83,21.29,21.83,21.0122,2020-04-15 04:00:00,1623,VLGEA
86450,21.9124,21.5,22.28,22.38,21.39,2020-04-16 04:00:00,1638,VLGEA
63672,22.3816,22.8,22.37,22.8,22.1,2020-04-17 04:00:00,1194,VLGEA
59471,22.444,22.13,22.49,22.84,22.01,2020-04-20 04:00:00,818,VLGEA
60071,22.2888,22.1,22.46,22.53,21.86,2020-04-21 04:00:00,1037,VLGEA
60897,22.551,22.65,22.61,22.84,22.15,2020-04-22 04:00:00,792,VLGEA
87177,22.8269,22.71,22.72,23.19,22.49,2020-04-23 04:00:00,1998,VLGEA
71225,23.5181,22.66,23.78,23.78,22.616,2020-04-24 04:00:00,986,VLGEA
54675,23.6705,23.89,23.63,24.05,23.26,2020-04-27 04:00:00,934,VLGEA
71222,23.6887,23.95,23.54,24.0,23.34,2020-04-28 04:00:00,1210,VLGEA
78284,24.0854,24.03,24.11,24.36,23.61,2020-04-29 04:00:00,1548,VLGEA
70298,23.9626,23.75,24.03,24.41,23.42,2020-04-30 04:00:00,1418,VLGEA
33136,23.8065,23.8,23.75,24.1678,23.6101,2020-05-01 04:00:00,1655,VLGEA
82851,23.2095,23.8,23.14,23.8,22.86,2020-05-04 04:00:00,1231,VLGEA
96492,23.1448,23.3,23.17,23.65,22.91,2020-05-05 04:00:00,1860,VLGEA
33315,22.6672,23.17,22.59,23.17,22.43,2020-05-06 04:00:00,684,VLGEA
58436,22.3265,22.69,22.43,22.69,22.135,2020-05-07 04:00:00,1602,VLGEA
72549,23.1701,22.61,23.37,23.44,22.48,2020-05-08 04:00:00,1370,VLGEA
49126,23.2194,23.17,23.29,23.48,22.82,2020-05-11 04:00:00,794,VLGEA
41329,23.1028,23.23,22.8,23.4,22.8,2020-05-12 04:00:00,691,VLGEA
65886,23.1871,22.8,23.52,23.585,22.7226,2020-05-13 04:00:00,1153,VLGEA
74287,23.0639,23.31,23.12,23.46,22.74,2020-05-14 04:00:00,1745,VLGEA
43592,23.2463,23.04,23.3,23.55,23.0,2020-05-15 04:00:00,898,VLGEA
57603,23.363,23.6,23.4,23.6,23.08,2020-05-18 04:00:00,1156,VLGEA
62124,23.134,23.32,22.83,23.46,22.75,2020-05-19 04:00:00,883,VLGEA
40873,23.124,23.09,23.09,23.39,22.9641,2020-05-20 04:00:00,891,VLGEA
46283,23.0136,23.1,23.08,23.27,22.9,2020-05-21 04:00:00,704,VLGEA
57921,23.0246,23.04,23.09,23.21,22.76,2020-05-22 04:00:00,609,VLGEA
50775,23.1842,23.45,23.1,23.45,22.94,2020-05-26 04:00:00,873,VLGEA
139969,23.2104,23.32,23.2,23.3776,22.98,2020-05-27 04:00:00,1629,VLGEA
61485,23.9761,23.3,23.95,24.39,23.3,2020-05-28 04:00:00,1143,VLGEA
48516,23.8304,23.91,23.93,24.12,23.32,2020-05-29 04:00:00,835,VLGEA
47480,23.9793,24.01,23.89,24.19,23.62,2020-06-01 04:00:00,796,VLGEA
27721,24.195,23.97,24.26,24.4,23.92,2020-06-02 04:00:00,468,VLGEA
103046,25.3531,24.48,25.46,25.98,24.344,2020-06-03 04:00:00,1721,VLGEA
53980,25.4813,25.5,25.51,25.66,25.19,2020-06-04 04:00:00,883,VLGEA
52715,25.2506,25.96,25.28,25.96,24.82,2020-06-05 04:00:00,980,VLGEA
37831,25.8015,25.44,26.11,26.13,25.39,2020-06-08 04:00:00,687,VLGEA
77341,26.1078,25.93,26.23,26.46,25.32,2020-06-09 04:00:00,1463,VLGEA
47633,26.3231,26.34,26.28,26.63,25.96,2020-06-10 04:00:00,1083,VLGEA
46860,25.5191,25.74,25.45,26.24,25.25,2020-06-11 04:00:00,1053,VLGEA
