volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
761265,168.8986,168.87,169.39,170.2,167.08,2020-02-20 05:00:00,11569,VRSK
911989,168.7078,168.69,168.69,170.16,167.51,2020-02-21 05:00:00,12167,VRSK
1097048,167.4139,166.26,167.58,169.15,165.59,2020-02-24 05:00:00,15366,VRSK
983734,164.5066,168.09,162.82,168.92,162.54,2020-02-25 05:00:00,17289,VRSK
903261,164.0805,164.29,163.53,165.955,162.61,2020-02-26 05:00:00,14403,VRSK
1053547,158.7554,161.97,155.79,162.91,155.79,2020-02-27 05:00:00,17278,VRSK
2169907,152.9318,152.47,155.11,155.46,148.71,2020-02-28 05:00:00,34067,VRSK
1516281,160.3775,154.92,163.13,163.28,154.35,2020-03-02 05:00:00,26464,VRSK
1232037,162.0934,163.29,160.4,166.42,159.5,2020-03-03 05:00:00,21859,VRSK
987758,166.9796,162.22,169.18,169.86,161.31,2020-03-04 05:00:00,16207,VRSK
1063269,164.7456,163.88,164.97,166.7,162.95,2020-03-05 05:00:00,19614,VRSK
1214531,161.318,159.17,163.37,164.46,157.89,2020-03-06 05:00:00,21975,VRSK
2051246,149.9159,150.63,147.92,156.66,145.15,2020-03-09 04:00:00,31137,VRSK
1486774,152.3792,151.07,156.74,156.76,147.07,2020-03-10 04:00:00,22762,VRSK
1407542,151.5509,152.17,151.68,155.18,148.57,2020-03-11 04:00:00,24642,VRSK
1788434,141.7407,142.25,139.49,149.06,132.0,2020-03-12 04:00:00,26421,VRSK
1761722,142.3965,145.29,145.61,147.99,133.605,2020-03-13 04:00:00,26518,VRSK
1402694,134.9534,132.54,130.06,142.45,128.71,2020-03-16 04:00:00,21200,VRSK
1620781,139.8232,131.95,144.71,148.61,130.8433,2020-03-17 04:00:00,26212,VRSK
1720790,130.0818,133.0,135.11,137.42,123.95,2020-03-18 04:00:00,24391,VRSK
1124590,137.1191,135.3,136.48,144.98,131.79,2020-03-19 04:00:00,19014,VRSK
1509208,128.1786,137.4,124.25,137.6,123.54,2020-03-20 04:00:00,20803,VRSK
1398756,120.8551,125.73,121.18,125.76,116.6101,2020-03-23 04:00:00,20315,VRSK
1300573,134.1479,126.86,137.28,138.06,125.37,2020-03-24 04:00:00,17548,VRSK
1663048,133.7145,134.61,134.3,138.9,128.0,2020-03-25 04:00:00,24026,VRSK
1248250,140.3225,135.54,142.1,143.48,135.54,2020-03-26 04:00:00,16755,VRSK
1234326,139.3605,139.1,137.77,143.47,136.98,2020-03-27 04:00:00,17985,VRSK
793886,144.8585,138.81,146.87,147.93,138.1,2020-03-30 04:00:00,13115,VRSK
1422243,141.0036,144.92,139.38,146.54,138.43,2020-03-31 04:00:00,18474,VRSK
1343565,139.9803,134.22,140.78,142.49,133.5,2020-04-01 04:00:00,18665,VRSK
1044393,140.8465,137.03,142.99,144.33,134.45,2020-04-02 04:00:00,15038,VRSK
815669,140.839,141.68,141.65,143.2928,138.17,2020-04-03 04:00:00,12388,VRSK
1243959,146.6953,146.2,147.74,148.81,144.88,2020-04-06 04:00:00,17282,VRSK
967182,149.458,151.51,147.17,152.89,146.57,2020-04-07 04:00:00,13947,VRSK
883772,148.858,147.84,148.7,150.9,147.17,2020-04-08 04:00:00,13776,VRSK
1076765,149.093,149.64,148.26,152.64,147.23,2020-04-09 04:00:00,18197,VRSK
704637,144.1008,146.15,144.16,148.0,142.46,2020-04-13 04:00:00,10789,VRSK
1070194,149.8712,147.88,150.3,150.85,146.81,2020-04-14 04:00:00,13760,VRSK
722305,147.1107,147.56,147.13,148.625,146.035,2020-04-15 04:00:00,10954,VRSK
912380,148.5206,148.31,149.11,149.94,146.2,2020-04-16 04:00:00,11307,VRSK
957963,152.915,153.48,153.79,154.03,151.4,2020-04-17 04:00:00,13753,VRSK
722070,149.8031,151.59,149.32,151.595,148.49,2020-04-20 04:00:00,10673,VRSK
