volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
878184,209.2716,210.27,209.06,210.945,205.68,2020-02-20 05:00:00,11719,VRSN
623533,205.9158,207.72,206.12,209.4,204.56,2020-02-21 05:00:00,10463,VRSN
783491,201.1605,203.2,200.41,204.0,198.695,2020-02-24 05:00:00,14361,VRSN
738133,196.0257,201.82,193.65,202.01,193.31,2020-02-25 05:00:00,13972,VRSN
960146,197.3284,195.56,195.85,200.39,195.56,2020-02-26 05:00:00,18179,VRSN
937053,193.3967,192.62,190.54,198.96,190.32,2020-02-27 05:00:00,17874,VRSN
1284292,187.9617,185.1,189.75,190.43,183.84,2020-02-28 05:00:00,24585,VRSN
901742,193.0337,188.27,196.85,196.86,187.09,2020-03-02 05:00:00,17860,VRSN
966204,192.1494,194.69,189.05,198.79,188.3,2020-03-03 05:00:00,19717,VRSN
793667,196.8349,191.95,199.78,199.9,189.99,2020-03-04 05:00:00,14957,VRSN
732898,192.5487,193.69,192.31,196.72,190.01,2020-03-05 05:00:00,13581,VRSN
959666,189.2605,186.06,192.01,193.2,185.68,2020-03-06 05:00:00,18313,VRSN
1023628,180.2728,181.05,176.81,185.75,176.29,2020-03-09 04:00:00,18181,VRSN
1401051,183.5329,182.94,186.06,186.32,176.08,2020-03-10 04:00:00,18556,VRSN
771253,178.2697,180.54,178.03,182.69,174.9652,2020-03-11 04:00:00,15036,VRSN
997675,167.6626,167.64,165.67,175.22,159.77,2020-03-12 04:00:00,20360,VRSN
1016595,174.8586,173.93,182.62,182.685,166.29,2020-03-13 04:00:00,19045,VRSN
1066912,168.61,165.61,160.28,179.72,158.99,2020-03-16 04:00:00,21006,VRSN
1163159,166.7897,164.41,176.19,177.21,153.45,2020-03-17 04:00:00,22805,VRSN
904687,160.6988,165.86,164.0,169.94,151.59,2020-03-18 04:00:00,16453,VRSN
872147,164.404,162.45,164.6,170.63,153.1,2020-03-19 04:00:00,17792,VRSN
1425324,159.9353,167.04,157.13,170.13,156.4,2020-03-20 04:00:00,16062,VRSN
1209965,152.4311,159.96,151.17,159.96,148.77,2020-03-23 04:00:00,18874,VRSN
1563508,168.1271,159.12,170.53,170.99,158.515,2020-03-24 04:00:00,18828,VRSN
825275,168.083,165.75,166.97,172.71,164.97,2020-03-25 04:00:00,15114,VRSN
900923,173.024,167.23,175.9,177.1,166.9,2020-03-26 04:00:00,14501,VRSN
795480,174.0645,171.91,173.91,178.93,169.265,2020-03-27 04:00:00,13778,VRSN
1031399,185.3358,176.05,188.55,190.16,174.02,2020-03-30 04:00:00,16396,VRSN
1121824,181.8942,184.6,180.09,190.9,178.89,2020-03-31 04:00:00,15227,VRSN
920555,175.8072,173.43,175.46,178.359,173.0148,2020-04-01 04:00:00,12926,VRSN
671293,179.5633,171.72,181.8,183.04,171.72,2020-04-02 04:00:00,11912,VRSN
666828,181.5089,180.61,182.69,184.5,179.02,2020-04-03 04:00:00,10154,VRSN
1266944,192.6914,191.83,195.85,196.74,186.77,2020-04-06 04:00:00,14257,VRSN
807424,194.4471,199.45,190.95,200.0,190.95,2020-04-07 04:00:00,12960,VRSN
574578,192.8652,191.38,193.2,194.77,189.78,2020-04-08 04:00:00,12504,VRSN
720471,195.694,193.7,196.07,197.36,192.75,2020-04-09 04:00:00,10895,VRSN
716701,197.0917,194.54,199.0,199.15,193.0,2020-04-13 04:00:00,10378,VRSN
607215,203.5907,201.46,204.34,204.69,200.63,2020-04-14 04:00:00,9837,VRSN
499176,201.3688,201.47,201.3,203.51,198.5,2020-04-15 04:00:00,8939,VRSN
1330653,205.5495,203.48,206.12,207.66,200.75,2020-04-16 04:00:00,11167,VRSN
633184,208.0311,208.65,209.93,210.27,204.55,2020-04-17 04:00:00,11752,VRSN
701092,210.9205,208.51,210.9,212.78,207.04,2020-04-20 04:00:00,8936,VRSN
635456,206.7766,207.99,206.75,209.59,203.255,2020-04-21 04:00:00,11455,VRSN
604522,214.2885,209.0,215.66,217.0,208.96,2020-04-22 04:00:00,10846,VRSN
946974,214.6906,215.0,213.0,217.6,212.2,2020-04-23 04:00:00,12822,VRSN
911632,211.8438,218.99,212.13,219.0,208.86,2020-04-24 04:00:00,14247,VRSN
593213,214.4013,213.4745,214.23,216.48,213.0,2020-04-27 04:00:00,10627,VRSN
898470,213.9873,218.02,211.07,218.06,210.725,2020-04-28 04:00:00,12317,VRSN
1140565,211.1545,214.19,211.39,214.77,208.92,2020-04-29 04:00:00,14871,VRSN
768915,210.1457,211.35,209.49,212.8,208.13,2020-04-30 04:00:00,11921,VRSN
630189,204.8972,206.18,205.02,208.6,202.535,2020-05-01 04:00:00,12449,VRSN
485455,207.4191,206.34,208.84,208.84,204.4,2020-05-04 04:00:00,9845,VRSN
477165,211.192,209.31,210.55,213.17,208.47,2020-05-05 04:00:00,9762,VRSN
421114,212.8141,210.2,212.42,214.79,210.2,2020-05-06 04:00:00,8960,VRSN
447676,212.872,215.58,211.78,215.9,210.94,2020-05-07 04:00:00,9742,VRSN
392445,211.1036,213.85,210.04,213.85,209.15,2020-05-08 04:00:00,8808,VRSN
465126,211.7938,210.4153,212.15,213.7,208.16,2020-05-11 04:00:00,10237,VRSN
467302,210.9725,211.71,208.86,213.32,208.62,2020-05-12 04:00:00,9553,VRSN
833205,210.1801,208.62,212.09,212.35,206.67,2020-05-13 04:00:00,15231,VRSN
752840,212.6853,209.38,214.96,215.425,208.98,2020-05-14 04:00:00,14744,VRSN
707948,216.055,212.85,217.25,217.5,210.89,2020-05-15 04:00:00,12190,VRSN
880527,217.5719,217.82,217.08,219.9,216.24,2020-05-18 04:00:00,13783,VRSN
589808,214.2631,217.45,212.41,219.4,211.46,2020-05-19 04:00:00,12181,VRSN
577506,215.3943,214.0,215.81,216.545,213.79,2020-05-20 04:00:00,10953,VRSN
518863,211.9462,215.66,211.06,216.66,210.58,2020-05-21 04:00:00,12100,VRSN
433422,212.8463,210.0,213.72,214.29,209.45,2020-05-22 04:00:00,8567,VRSN
630343,210.3062,217.28,208.22,217.28,207.91,2020-05-26 04:00:00,11499,VRSN
637512,207.965,207.9,209.98,210.21,205.115,2020-05-27 04:00:00,12231,VRSN
447544,212.6373,209.76,212.78,214.86,208.755,2020-05-28 04:00:00,9001,VRSN
1089179,217.312,214.78,219.01,219.56,211.79,2020-05-29 04:00:00,14425,VRSN
808512,218.7487,218.03,219.03,220.76,215.92,2020-06-01 04:00:00,14386,VRSN
725326,217.1762,220.91,217.39,221.3,214.5,2020-06-02 04:00:00,12545,VRSN
435329,214.2477,218.86,213.96,219.12,211.88,2020-06-03 04:00:00,9370,VRSN
792535,209.9949,213.3,210.23,214.69,207.64,2020-06-04 04:00:00,11267,VRSN
723232,211.1061,208.2,211.28,213.49,204.27,2020-06-05 04:00:00,14897,VRSN
678466,211.6166,208.12,214.45,214.48,205.795,2020-06-08 04:00:00,12248,VRSN
699244,213.9621,214.98,213.43,215.155,212.76,2020-06-09 04:00:00,11795,VRSN
797524,213.8473,214.16,213.15,216.14,212.43,2020-06-10 04:00:00,15128,VRSN
725733,206.7553,211.48,204.16,213.325,203.97,2020-06-11 04:00:00,14245,VRSN
