volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
24801780,37.5507,40.0,34.0,42.0,32.1,2020-06-04 04:00:00,128925,ZI
9110720,37.4024,36.5,38.89,40.0,34.6,2020-06-05 04:00:00,67851,ZI
9019771,44.2346,41.9,44.69,47.9,40.66,2020-06-08 04:00:00,66948,ZI
9200543,49.2069,46.93,50.0,51.75,44.7,2020-06-09 04:00:00,62938,ZI
18098689,56.3731,59.22,50.3,64.4,50.07,2020-06-10 04:00:00,137099,ZI
10137789,47.7017,48.09,49.5,49.82,44.5,2020-06-11 04:00:00,59962,ZI
5284161,52.1124,54.72,51.22,55.65,48.95,2020-06-12 04:00:00,33595,ZI
2753720,49.8325,49.85,49.97,51.2,48.75,2020-06-15 04:00:00,18739,ZI
4035539,48.6455,52.0,48.39,52.4,46.93,2020-06-16 04:00:00,27914,ZI
4158146,44.8405,48.5,43.51,48.5,43.25,2020-06-17 04:00:00,32099,ZI
2816635,45.7498,44.0,45.75,46.9,43.77,2020-06-18 04:00:00,18603,ZI
2366069,45.1838,47.2,45.37,47.31,43.79,2020-06-19 04:00:00,17100,ZI
4158940,47.946,45.25,49.41,50.5,44.0,2020-06-22 04:00:00,25963,ZI
2604580,50.0993,50.95,49.68,51.75,49.02,2020-06-23 04:00:00,17075,ZI
2461150,49.5267,49.25,50.98,51.68,47.22,2020-06-24 04:00:00,18571,ZI
2843614,52.7499,50.91,53.19,54.6,49.7,2020-06-25 04:00:00,19389,ZI
2546231,52.0427,53.99,51.57,55.0,50.22,2020-06-26 04:00:00,18159,ZI
2386809,49.525,51.51,50.72,51.9892,47.0,2020-06-29 04:00:00,18132,ZI
1729445,49.9289,51.23,51.03,51.4,48.47,2020-06-30 04:00:00,14131,ZI
1652278,49.1055,50.81,48.4,50.82,48.2,2020-07-01 04:00:00,12331,ZI
4063591,45.9488,49.48,45.05,49.53,44.78,2020-07-02 04:00:00,31697,ZI
2462244,46.0547,46.0,45.99,47.65,44.5,2020-07-06 04:00:00,15807,ZI
837078,45.5644,45.5,45.14,46.08,44.9101,2020-07-07 04:00:00,7541,ZI
1396099,44.4662,45.5,44.26,45.525,43.75,2020-07-08 04:00:00,12288,ZI
2432780,43.2542,44.89,44.69,44.9,42.13,2020-07-09 04:00:00,17382,ZI
1053623,43.7109,44.04,43.71,44.6,43.0,2020-07-10 04:00:00,7840,ZI
3214932,41.3386,44.0,40.33,44.05,39.07,2020-07-13 04:00:00,24609,ZI
1750599,39.8288,39.99,39.99,40.95,38.8001,2020-07-14 04:00:00,13343,ZI
1112426,39.7102,40.0,39.85,41.15,38.89,2020-07-15 04:00:00,9198,ZI
1433215,39.4961,39.55,40.38,40.4999,38.2,2020-07-16 04:00:00,10083,ZI
1773195,40.2115,41.0,41.16,41.42,38.4,2020-07-17 04:00:00,13545,ZI
2056394,41.243,40.76,42.48,42.89,39.58,2020-07-20 04:00:00,14410,ZI
1610274,42.8295,43.72,42.9,43.74,41.8,2020-07-21 04:00:00,11708,ZI
1031569,41.6326,42.44,41.66,42.9979,40.74,2020-07-22 04:00:00,9358,ZI
749673,41.2596,41.74,40.86,42.36,40.04,2020-07-23 04:00:00,7375,ZI
1243794,39.2051,39.74,39.59,40.475,38.32,2020-07-24 04:00:00,10303,ZI
